text256-rps3000-cpr0.1/,4.4,7.41,3.97,7.33,3.89,4.35,4.3,4.41,3.93,4.23,5.18,4.45,5.54,4.74,4.18,3.51,6.04,3.29,5,4.31,3.63,4.6,4.29,4.44,2.23,3.93,4.08,4.44,3.08,6.11,0,
text256-rps3000-cpr0.1/,1.73,0.83,1.54,2.21,3.29,3.55,1.89,2.12,1.73,1.74,2.54,1.53,3.13,2.13,1.57,3.22,1.79,1.78,2.95,1.7,2.7,1.66,1.68,1.65,0.77,1.75,1.61,2.91,0,1.02,0,
text256-rps3000-cpr0.1/,17.91,15.08,16.88,12.68,18.9,21.19,17.25,11.65,17.71,18.26,20.54,17.16,21.35,20.63,18.08,12.02,16.55,8.81,21.16,18.09,10.14,15.85,17.09,16.5,9,15.47,18,20.85,4.63,10.37,0,
text32/,4.7,4.21,5.17,3.89,4.5,3.94,4.26,4.36,4.19,4.44,6.26,5.16,4.79,4.76,3.34,2.59,4.55,4.04,4.22,4.2,3.04,4.03,4.19,4.56,6.07,3.73,4.28,4.83,4,4.92,0,
text32/,1.88,1.79,1.88,1.61,1.66,3.38,1.84,1.86,1.66,1.74,2.38,1.48,2.84,1.6,1.16,0.05,0.51,1.55,1.73,1.67,0.09,1.66,1.58,1.59,1.67,1.77,1.92,1.54,2.03,3.83,0,
text32/,14.07,13.44,16.07,12.53,14.84,16.02,13.06,12.45,12.79,13.71,16.55,15.39,16.24,15.2,9.1,6.38,12.18,13.32,13.65,13.62,7.49,13.49,13.69,13.67,13.9,12.44,13.97,14.24,13.32,13.73,0,
text2048/,3.26,3.85,3.09,3.97,3.72,3.9,4.47,5.5,4.59,5.18,4.07,4.91,5.04,3.83,3.46,5.58,4.75,6,5.16,5.09,4.3,5.25,3.96,3.66,5.14,4.51,4.2,3.75,3.13,3.88,0,
text2048/,1.35,1.15,1.6,1.78,1.39,1.62,0.93,1.08,0.88,0.81,1.64,1.2,0.83,1.62,0.03,0.65,0.99,0.61,1.43,0.44,0.8,0.89,1.9,1.05,0.74,0.68,1.13,2.15,1.73,2.24,0,
text2048/,29.82,22.63,30.43,9.86,38.53,34.66,37.89,38.59,38.83,40.18,31.88,28.01,37.5,34.75,15.41,28.48,36.43,37.24,40.73,39.64,40.67,21.54,35.27,19.58,40.17,38.5,38.72,37.67,37.29,36.6,0,
text4096/,2.92,2.65,4.05,2.68,3.37,2.79,3.2,3.29,2.25,0,3.24,3.36,3.38,5.16,6.11,2.98,0.89,3.24,2.39,3.96,3.54,3.67,3.55,4.55,5.46,2.63,3.18,2.92,2.9,3.48,0,
