# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 1610536435
#
# Overhead  Command          Shared Object             Symbol                                                                                                                                                                                                                                                                                                                                                                                                                
# ........  ...............  ........................  ......................................................................................................................................................................................................................................................................................................................................................................................................................
#
    43.08%  swapper          [kernel.kallsyms]         [k] intel_idle
     1.59%  ftdc             mongod                    [.] longest_match
     1.16%  ftdc             libc-2.27.so              [.] __nss_group_lookup
     1.03%  swapper          [kernel.kallsyms]         [k] menu_select
     0.89%  ftdc             mongod                    [.] mongo::FTDCCompressor::getCompressedSamples
     0.84%  swapper          [kernel.kallsyms]         [k] psi_task_change
     0.68%  swapper          [kernel.kallsyms]         [k] cpuidle_enter_state
     0.62%  swapper          [kernel.kallsyms]         [k] update_load_avg
     0.47%  ftdc             mongod                    [.] deflate_slow
     0.44%  consul           consul                    [.] runtime.stealWork
     0.43%  consul           [kernel.kallsyms]         [k] do_syscall_64
     0.42%  swapper          [kernel.kallsyms]         [k] update_blocked_averages
     0.38%  swapper          [kernel.kallsyms]         [k] __hrtimer_next_event_base
     0.38%  swapper          [kernel.kallsyms]         [k] load_new_mm_cr3
     0.37%  swapper          [kernel.kallsyms]         [k] native_write_msr
     0.37%  swapper          [kernel.kallsyms]         [k] __update_load_avg_cfs_rq
     0.36%  swapper          [kernel.kallsyms]         [k] __hrtimer_run_queues
     0.36%  swapper          [kernel.kallsyms]         [k] apic_timer_interrupt
     0.36%  swapper          [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.36%  ftdc             libc-2.27.so              [.] vfprintf
     0.36%  swapper          [kernel.kallsyms]         [k] __update_load_avg_se
     0.35%  ftdc             mongod                    [.] mongo::MetricTree::appendTo
     0.33%  ftdc             mongod                    [.] mongo::FTDCBSONUtil::(anonymous namespace)::extractMetricsFromDocument
     0.33%  ftdc             mongod                    [.] __wt_stat_connection_aggregate
     0.32%  swapper          [kernel.kallsyms]         [k] read_tsc
     0.31%  swapper          [kernel.kallsyms]         [k] find_next_bit
     0.30%  consul           [kernel.kallsyms]         [k] psi_task_change
     0.30%  swapper          [kernel.kallsyms]         [k] __schedule
     0.29%  swapper          [kernel.kallsyms]         [k] do_idle
     0.27%  consul           [kernel.kallsyms]         [k] update_cfs_group
     0.27%  consul           [vdso]                    [.] __vdso_clock_gettime
     0.26%  ftdc             [kernel.kallsyms]         [k] find_next_bit
     0.26%  swapper          [kernel.kallsyms]         [k] set_next_entity
     0.25%  consul           consul                    [.] runtime.findRunnable
     0.25%  ftdc             mongod                    [.] compress_block
     0.25%  ftdc             mongod                    [.] __curstat_next
     0.25%  swapper          [kernel.kallsyms]         [k] switch_mm_irqs_off
     0.23%  swapper          [kernel.kallsyms]         [k] enqueue_entity
     0.23%  swapper          [kernel.kallsyms]         [k] rb_next
     0.22%  ftdc             mongod                    [.] TCMallocImplementation::GetNumericProperty
     0.21%  swapper          [kernel.kallsyms]         [k] select_task_rq_fair
