# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 385K of event 'cycles'
# Event count (approx.): 792939460900
#
# Overhead  Command          Shared Object             Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                        
# ........  ...............  ........................  ..............................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     2.01%  swapper          [kernel.kallsyms]         [k] intel_idle
     0.86%  frontend         frontend                  [.] runtime.mallocgc
     0.64%  geo              geo                       [.] runtime.mapaccess2
     0.61%  containerd-shim  [kernel.kallsyms]         [k] do_syscall_64
     0.53%  search           search                    [.] runtime.mallocgc
     0.52%  profile          profile                   [.] runtime.scanobject
     0.51%  dockerd          [kernel.kallsyms]         [k] do_syscall_64
     0.50%  frontend         frontend                  [.] runtime.step
     0.50%  profile          profile                   [.] runtime.mallocgc
     0.47%  frontend         frontend                  [.] runtime.heapBitsSetType
     0.45%  frontend         frontend                  [.] runtime.scanobject
     0.40%  dockerd          dockerd                   [.] runtime.stealWork
     0.40%  profile          profile                   [.] runtime.step
     0.39%  geo              geo                       [.] runtime.mallocgc
     0.36%  dockerd          dockerd                   [.] github.com/docker/docker/daemon/logger/jsonfilelog/jsonlog.ffjsonWriteJSONBytesAsString
     0.36%  geo              geo                       [.] aeshashbody
     0.35%  geo              geo                       [.] github.com/hailocab/go-geoindex.(*PointsIndex).KNearest
     0.34%  frontend         frontend                  [.] runtime.pcvalue
     0.32%  swapper          [kernel.kallsyms]         [k] menu_select
     0.30%  swapper          [kernel.kallsyms]         [k] __schedule
     0.30%  rate             rate                      [.] runtime.mallocgc
     0.29%  search           search                    [.] runtime.heapBitsSetType
     0.28%  profile          profile                   [.] runtime.pcvalue
     0.28%  containerd-shim  [kernel.kallsyms]         [k] entry_SYSCALL_64
     0.28%  containerd-shim  [kernel.kallsyms]         [k] psi_task_change
     0.27%  search           search                    [.] runtime.step
     0.26%  frontend         [kernel.kallsyms]         [k] do_syscall_64
     0.25%  reservation      reservation               [.] runtime.mallocgc
     0.25%  profile          profile                   [.] runtime.heapBitsSetType
     0.24%  dockerd          [kernel.kallsyms]         [k] psi_task_change
     0.24%  search           [kernel.kallsyms]         [k] do_syscall_64
     0.24%  profile          profile                   [.] runtime.findObject
     0.23%  frontend         frontend                  [.] runtime.memmove
     0.23%  profile          [kernel.kallsyms]         [k] do_syscall_64
     0.23%  geo              geo                       [.] runtime.step
     0.22%  dockerd          dockerd                   [.] runtime.memmove
     0.22%  frontend         frontend                  [.] runtime.findObject
     0.22%  swapper          [kernel.kallsyms]         [k] switch_mm_irqs_off
     0.21%  dockerd          [kernel.kallsyms]         [k] entry_SYSCALL_64
     0.21%  swapper          [kernel.kallsyms]         [k] native_queued_spin_lock_slowpath
     0.21%  containerd-shim  [kernel.kallsyms]         [k] syscall_return_via_sysret
     0.21%  swapper          [kernel.kallsyms]         [k] set_next_entity
     0.20%  frontend         frontend                  [.] runtime.greyobject
     0.20%  swapper          [kernel.kallsyms]         [k] __update_load_avg_cfs_rq
     0.19%  search           search                    [.] runtime.pcvalue
     0.19%  swapper          [kernel.kallsyms]         [k] do_idle
     0.19%  frontend         frontend                  [.] runtime.gentraceback
     0.18%  dockerd          dockerd                   [.] time.Time.appendFormat
     0.18%  reservation      reservation               [.] runtime.step
     0.18%  rate             rate                      [.] runtime.step
     0.18%  swapper          [kernel.kallsyms]         [k] update_load_avg
     0.18%  geo              [kernel.kallsyms]         [k] do_syscall_64
     0.18%  profile          profile                   [.] runtime.gentraceback
     0.17%  dockerd          [kernel.kallsyms]         [k] syscall_return_via_sysret
     0.17%  geo              geo                       [.] runtime.heapBitsSetType
     0.17%  profile          profile                   [.] encoding/json.(*Decoder).readValue
     0.17%  profile          profile                   [.] runtime.greyobject
     0.16%  wrk              wrk                       [.] lj_str_new
