# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 138174030
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                                                                                                                                      
# ........  ...............  ..................  ............................................................................................................................................................................................................................................................................................................................................
#
    12.93%  ftdc             mongod              [.] longest_match
     9.67%  ftdc             mongod              [.] mongo::FTDCCompressor::getCompressedSamples
     7.98%  ftdc             libc-2.27.so        [.] __nss_group_lookup
     5.84%  mongod           [kernel.kallsyms]   [k] update_curr
     4.36%  ftdc             [kernel.kallsyms]   [k] format_decode
     3.26%  ftdc             mongod              [.] operator new
     3.23%  ftdc             mongod              [.] deflate_slow
     2.02%  ftdc             mongod              [.] mongo::FTDCBSONUtil::(anonymous namespace)::extractMetricsFromDocument
     1.86%  ftdc             mongod              [.] __wt_stat_connection_aggregate
     1.77%  ftdc             [kernel.kallsyms]   [k] diskstats_show
     1.67%  ftdc             mongod              [.] operator delete
     1.66%  ftdc             mongod              [.] mongo::BSONElement::computeSize
     1.63%  ftdc             mongod              [.] mongo::FTDCCompressor::addSample
     1.55%  ftdc             [kernel.kallsyms]   [k] kmem_cache_alloc
     1.46%  mongod           [kernel.kallsyms]   [k] do_syscall_64
     1.41%  ftdc             [kernel.kallsyms]   [k] snmp_fold_field
     1.32%  ftdc             mongod              [.] compress_block
     1.25%  ftdc             [kernel.kallsyms]   [k] irq_chip_ack_parent
     1.13%  ftdc             [kernel.kallsyms]   [k] __d_lookup
     1.07%  ftdc             mongod              [.] slide_hash
     1.03%  ftdc             [kernel.kallsyms]   [k] number
     1.01%  ftdc             mongod              [.] __wt_txn_get_pinned_timestamp
     1.00%  ftdc             mongod              [.] boost::detail::function::function_obj_invoker2<boost::algorithm::detail::token_finderF<mongo::procparser::parseProcNetstat(std::vector<mongo::StringData, std::allocator<mongo::StringData> > const&, mongo::StringData, mongo::BSONObjBuilder*)::{lambda(char)#3}>, boost::iterator_range<char const*>, char const, char const>::invoke
     0.94%  ftdc             [kernel.kallsyms]   [k] tcp_gro_receive
     0.94%  ftdc             [kernel.kallsyms]   [k] find_next_bit
     0.92%  ftdc             libc-2.27.so        [.] __vsnprintf_chk
     0.91%  ftdc             mongod              [.] mongo::TLSVersionCounts::get
     0.90%  ftdc             [kernel.kallsyms]   [k] seq_putc
     0.90%  ftdc             mongod              [.] tcmalloc::ThreadCache::GetThreadStats
     0.89%  ftdc             mongod              [.] mongo::DataType::Handler<mongo::FTDCVarInt, void>::store
     0.88%  ftdc             libc-2.27.so        [.] _IO_vfscanf
     0.88%  ftdc             mongod              [.] TCMallocImplementation::GetNumericProperty
     0.87%  ftdc             libc-2.27.so        [.] _IO_default_xsputn
     0.86%  ftdc             mongod              [.] mongo::MetricTree::appendTo
     0.85%  ftdc             mongod              [.] __wt_stat_connection_desc
     0.82%  ftdc             mongod              [.] mongo::CmdServerStatus::run
     0.82%  ftdc             mongod              [.] config_check
     0.82%  ftdc             [kernel.kallsyms]   [k] do_task_stat
