# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles'
# Event count (approx.): 2752739082
#
# Overhead  Command      Shared Object          Symbol                                        
# ........  ...........  .....................  ..............................................
#
     3.24%  mc-worker    [kernel.kallsyms]      [k] ipt_do_table
     2.37%  mc-lrumaint  [kernel.kallsyms]      [k] do_syscall_64
     2.33%  mc-lrumaint  memcached              [.] lru_maintainer_thread
     1.97%  mc-lrumaint  libc.so.6              [.] __pthread_mutex_lock
     1.77%  mc-lrumaint  [kernel.kallsyms]      [k] cpuacct_charge
     1.45%  mc-worker    [kernel.kallsyms]      [k] do_syscall_64
     1.40%  mc-lrumaint  libc.so.6              [.] __pthread_mutex_trylock
     1.08%  mc-worker    [kernel.kallsyms]      [k] ip_finish_output2
     0.95%  mc-lrumaint  [kernel.kallsyms]      [k] psi_task_change
     0.93%  mc-worker    libc.so.6              [.] __pthread_mutex_lock
     0.89%  mc-lrumaint  [kernel.kallsyms]      [k] visit_groups_merge
     0.84%  mc-worker    memcached              [.] resp_allocate.isra.0
     0.84%  mc-lrumaint  [kernel.kallsyms]      [k] __calc_delta
     0.78%  mc-worker    [kernel.kallsyms]      [k] fib_table_lookup
     0.78%  mc-worker    memcached              [.] drive_machine
     0.77%  mc-lrumaint  [kernel.kallsyms]      [k] entry_SYSCALL_64
     0.73%  mc-lrumaint  [kernel.kallsyms]      [k] update_cfs_group
     0.72%  mc-worker    [kernel.kallsyms]      [k] copy_user_generic_unrolled
     0.70%  mc-worker    [kernel.kallsyms]      [k] br_nf_pre_routing
     0.64%  mc-worker    libevent-2.1.so.7.0.1  [.] event_base_loop
     0.63%  mc-worker    libc.so.6              [.] __nss_database_lookup
     0.62%  mc-worker    [kernel.kallsyms]      [k] mlx5e_sq_xmit
     0.62%  mc-lrumaint  [kernel.kallsyms]      [k] syscall_return_via_sysret
     0.61%  mc-worker    [kernel.kallsyms]      [k] __dev_queue_xmit
     0.60%  mc-worker    [kernel.kallsyms]      [k] psi_task_change
     0.57%  mc-worker    [kernel.kallsyms]      [k] nf_conntrack_in
     0.57%  mc-worker    [kernel.kallsyms]      [k] _raw_spin_lock
     0.55%  mc-lrumaint  [kernel.kallsyms]      [k] newidle_balance
     0.55%  mc-worker    [kernel.kallsyms]      [k] vxlan_xmit_one
     0.54%  mc-worker    [kernel.kallsyms]      [k] tcp_sendmsg_locked
     0.54%  mc-lrumaint  [kernel.kallsyms]      [k] switch_fpu_return
     0.54%  mc-lrumaint  [kernel.kallsyms]      [k] __schedule
     0.53%  mc-worker    [kernel.kallsyms]      [k] update_curr
     0.51%  mc-worker    [kernel.kallsyms]      [k] entry_SYSCALL_64
     0.49%  mc-lrumaint  memcached              [.] MurmurHash3_x86_32
     0.48%  mc-worker    [kernel.kallsyms]      [k] nf_hook_slow
     0.48%  mc-lrumaint  memcached              [.] lru_pull_tail
     0.48%  mc-worker    libc.so.6              [.] __pthread_mutex_trylock
     0.47%  mc-worker    memcached              [.] process_command_ascii.part.0
     0.47%  mc-worker    [kernel.kallsyms]      [k] sock_poll
     0.47%  mc-worker    libevent-2.1.so.7.0.1  [.] event_strlcpy_
     0.46%  mc-worker    [kernel.kallsyms]      [k] __tcp_transmit_skb
     0.45%  mc-worker    [kernel.kallsyms]      [k] tcp_poll
     0.44%  mc-worker    [kernel.kallsyms]      [k] fdb_find_rcu
     0.44%  mc-worker    libevent-2.1.so.7.0.1  [.] evmap_io_active_
     0.43%  mc-worker    [kernel.kallsyms]      [k] nf_ct_get_tuple
     0.43%  mc-worker    [kernel.kallsyms]      [k] visit_groups_merge
     0.43%  mc-worker    [kernel.kallsyms]      [k] syscall_return_via_sysret
     0.42%  mc-lrumaint  [kernel.kallsyms]      [k] native_write_msr
     0.42%  mc-lrumaint  [kernel.kallsyms]      [k] update_curr
     0.42%  mc-worker    libc.so.6              [.] epoll_wait
     0.42%  mc-worker    [kernel.kallsyms]      [k] __fget_light
     0.40%  mc-worker    [kernel.kallsyms]      [k] br_handle_frame
     0.40%  mc-worker    [kernel.kallsyms]      [k] __local_bh_enable_ip
     0.40%  mc-worker    [kernel.kallsyms]      [k] cpuacct_charge
     0.39%  mc-worker    [kernel.kallsyms]      [k] mlx5e_features_check
     0.39%  mc-worker    libc.so.6              [.] __read
     0.38%  mc-lrumaint  [kernel.kallsyms]      [k] copy_user_generic_unrolled
     0.38%  mc-worker    [kernel.kallsyms]      [k] tcp_recvmsg
     0.37%  mc-lrumaint  [kernel.kallsyms]      [k] ctx_sched_in
     0.37%  mc-worker    [kernel.kallsyms]      [k] __inet_lookup_established
     0.37%  mc-worker    [kernel.kallsyms]      [k] native_write_msr
     0.35%  mc-worker    [kernel.kallsyms]      [k] update_cfs_group
