# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 30K of event 'cycles'
# Event count (approx.): 42137420497
#
# Overhead  Command      Shared Object       Symbol                                                                                                         
# ........  ...........  ..................  ...............................................................................................................
#
     2.42%  reservation  reservation         [.] runtime.mallocgc
     2.38%  reservation  reservation         [.] runtime.scanobject
     2.14%  reservation  reservation         [.] runtime.step
     2.03%  reservation  [kernel.kallsyms]   [k] do_syscall_64
     1.70%  reservation  reservation         [.] runtime.stealWork
     1.61%  reservation  reservation         [.] runtime.heapBitsSetType
     1.53%  reservation  reservation         [.] runtime.greyobject
     1.45%  reservation  reservation         [.] runtime.findObject
     1.29%  reservation  [kernel.kallsyms]   [k] ipt_do_table
     1.29%  reservation  reservation         [.] runtime.pcvalue
     1.00%  reservation  [kernel.kallsyms]   [k] psi_task_change
     0.98%  reservation  reservation         [.] runtime.nextFreeFast
     0.94%  reservation  reservation         [.] runtime.gentraceback
     0.80%  reservation  reservation         [.] runtime.memmove
     0.77%  reservation  [kernel.kallsyms]   [k] update_load_avg
     0.77%  reservation  reservation         [.] runtime.gcDrain
     0.75%  reservation  [kernel.kallsyms]   [k] entry_SYSCALL_64
     0.72%  reservation  reservation         [.] runtime.getStackMap
     0.67%  reservation  [kernel.kallsyms]   [k] syscall_return_via_sysret
     0.66%  reservation  reservation         [.] runtime.memclrNoHeapPointers
     0.64%  reservation  reservation         [.] runtime.findfunc
     0.57%  reservation  [kernel.kallsyms]   [k] update_cfs_group
     0.55%  reservation  reservation         [.] runtime.findrunnable
     0.53%  reservation  [kernel.kallsyms]   [k] _raw_spin_lock
     0.52%  reservation  reservation         [.] runtime.casgstatus
     0.51%  reservation  reservation         [.] runtime.wbBufFlush1
     0.50%  reservation  reservation         [.] runtime.checkTimers
     0.50%  reservation  reservation         [.] runtime.lock2
     0.48%  reservation  reservation         [.] runtime.mapassign_faststr
     0.47%  reservation  [vdso]              [.] __vdso_clock_gettime
     0.46%  reservation  reservation         [.] runtime.unlock2
     0.45%  reservation  reservation         [.] fmt.isSpace
     0.45%  reservation  [kernel.kallsyms]   [k] update_curr
     0.45%  reservation  reservation         [.] runtime.adjustpointers
     0.44%  reservation  [kernel.kallsyms]   [k] fib_table_lookup
     0.42%  reservation  reservation         [.] runtime.adjustframe
     0.42%  reservation  reservation         [.] runtime.getempty
     0.41%  reservation  reservation         [.] runtime.(*spanSet).pop
     0.41%  reservation  reservation         [.] runtime.gcDrainN
     0.40%  reservation  reservation         [.] fmt.(*stringReader).Read
     0.40%  reservation  reservation         [.] runtime.gcmarknewobject
     0.39%  reservation  reservation         [.] time.nextStdChunk
     0.39%  reservation  [kernel.kallsyms]   [k] try_to_wake_up
     0.39%  reservation  reservation         [.] runtime.scanblock
     0.39%  reservation  reservation         [.] time.Time.AppendFormat
     0.37%  reservation  [kernel.kallsyms]   [k] __dev_queue_xmit
     0.37%  reservation  reservation         [.] runtime.gcWriteBarrier
     0.37%  reservation  [kernel.kallsyms]   [k] __update_load_avg_cfs_rq
     0.36%  reservation  [kernel.kallsyms]   [k] ip_finish_output2
     0.36%  reservation  [kernel.kallsyms]   [k] visit_groups_merge
     0.36%  reservation  [kernel.kallsyms]   [k] native_write_msr
     0.35%  reservation  reservation         [.] runtime.newobject
     0.34%  reservation  [kernel.kallsyms]   [k] __fget_light
     0.33%  reservation  reservation         [.] io.ReadAtLeast
     0.32%  reservation  reservation         [.] runtime.(*lfstack).push
     0.32%  reservation  reservation         [.] runtime.growslice
     0.31%  reservation  [kernel.kallsyms]   [k] __update_load_avg_se
     0.30%  reservation  [kernel.kallsyms]   [k] enqueue_entity
     0.29%  reservation  reservation         [.] runtime.mapiternext
     0.28%  reservation  reservation         [.] runtime.selectgo
     0.27%  reservation  [kernel.kallsyms]   [k] enqueue_task_fair
     0.27%  reservation  reservation         [.] fmt.(*ss).ReadRune
     0.26%  reservation  [kernel.kallsyms]   [k] __netif_receive_skb_core
     0.26%  reservation  [kernel.kallsyms]   [k] __nf_conntrack_find_get
     0.26%  reservation  [kernel.kallsyms]   [k] cpuacct_charge
     0.26%  reservation  [kernel.kallsyms]   [k] nf_hook_slow
     0.26%  reservation  [kernel.kallsyms]   [k] vxlan_xmit_one
     0.25%  reservation  [kernel.kallsyms]   [k] dequeue_task_fair
     0.25%  reservation  reservation         [.] fmt.(*readRune).ReadRune
     0.25%  reservation  [kernel.kallsyms]   [k] prepare_exit_to_usermode
     0.25%  reservation  reservation         [.] runtime.runqgrab
     0.24%  reservation  reservation         [.] aeshashbody
     0.23%  reservation  reservation         [.] encoding/json.(*Decoder).readValue
     0.23%  reservation  reservation         [.] fmt.(*ss).advance
     0.23%  reservation  [kernel.kallsyms]   [k] reweight_entity
     0.23%  reservation  [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     0.23%  reservation  reservation         [.] runtime.(*sweepLocked).sweep
     0.23%  reservation  [kernel.kallsyms]   [k] __schedule
     0.23%  reservation  reservation         [.] time.appendInt
     0.22%  reservation  [kernel.kallsyms]   [k] native_queued_spin_lock_slowpath
     0.22%  reservation  reservation         [.] github.com/harlow/go-micro-services/services/reservation.(*Server).CheckAvailability
     0.22%  reservation  reservation         [.] time.parse
     0.22%  reservation  [kernel.kallsyms]   [k] select_task_rq_fair
     0.22%  reservation  [kernel.kallsyms]   [k] mlx5e_sq_xmit
     0.22%  reservation  [kernel.kallsyms]   [k] __tcp_transmit_skb
     0.21%  reservation  [kernel.kallsyms]   [k] update_cfs_rq_h_load
     0.21%  reservation  [kernel.kallsyms]   [k] nf_conntrack_tcp_packet
     0.21%  reservation  reservation         [.] runtime.schedule
     0.21%  reservation  reservation         [.] runtime.mapaccess1
     0.21%  reservation  [kernel.kallsyms]   [k] tcp_sendmsg_locked
     0.20%  reservation  reservation         [.] runtime.netpoll
     0.20%  reservation  [kernel.kallsyms]   [k] conntrack_mt_v3
     0.20%  reservation  [kernel.kallsyms]   [k] __calc_delta
     0.19%  reservation  reservation         [.] google.golang.org/grpc/transport.(*http2Server).itemHandler
     0.19%  reservation  [kernel.kallsyms]   [k] kmem_cache_alloc
     0.19%  reservation  [kernel.kallsyms]   [k] finish_task_switch
     0.18%  reservation  [kernel.kallsyms]   [k] _raw_spin_lock_bh
     0.18%  reservation  [kernel.kallsyms]   [k] read_tsc
     0.18%  reservation  reservation         [.] path/filepath.Clean
     0.18%  reservation  [kernel.kallsyms]   [k] br_handle_frame
     0.18%  reservation  reservation         [.] runtime.reentersyscall
     0.18%  reservation  [kernel.kallsyms]   [k] mlx5e_poll_tx_cq
     0.18%  reservation  reservation         [.] runtime.getitab
     0.17%  reservation  [kernel.kallsyms]   [k] ip_output
     0.17%  reservation  reservation         [.] runtime.checkTimersNoP
     0.17%  reservation  reservation         [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.17%  reservation  reservation         [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanWithOptions
     0.17%  reservation  reservation         [.] fmt.(*readRune).readByte
     0.17%  reservation  [kernel.kallsyms]   [k] nf_nat_inet_fn
     0.16%  reservation  [kernel.kallsyms]   [k] tcp_recvmsg
     0.16%  reservation  reservation         [.] runtime.(*itabTableType).find
     0.16%  reservation  reservation         [.] runtime.mapassign
     0.16%  reservation  [kernel.kallsyms]   [k] veth_xmit
     0.16%  reservation  reservation         [.] runtime.nanotime1.abi0
     0.16%  reservation  [kernel.kallsyms]   [k] kmem_cache_free
     0.15%  reservation  reservation         [.] runtime.pidleget
     0.15%  reservation  [kernel.kallsyms]   [k] eth_type_trans
     0.15%  reservation  reservation         [.] runtime.markroot
     0.15%  reservation  reservation         [.] runtime.bulkBarrierPreWrite
     0.15%  reservation  reservation         [.] fmt.indexRune
     0.15%  reservation  reservation         [.] internal/poll.(*FD).Read
     0.15%  reservation  [kernel.kallsyms]   [k] _raw_spin_lock_irqsave
     0.15%  reservation  [kernel.kallsyms]   [k] dequeue_entity
     0.15%  reservation  [kernel.kallsyms]   [k] switch_fpu_return
     0.15%  reservation  reservation         [.] fmt.(*ss).getRune
     0.15%  reservation  reservation         [.] runtime.mapaccess1_faststr
     0.14%  reservation  [kernel.kallsyms]   [k] netif_skb_features
     0.14%  reservation  [kernel.kallsyms]   [k] __local_bh_enable_ip
     0.14%  reservation  reservation         [.] github.com/bradfitz/gomemcache/memcache.(*Client).GetMulti
     0.14%  reservation  reservation         [.] runtime.duffzero
     0.14%  reservation  reservation         [.] runtime.(*mheap).allocSpan
     0.14%  reservation  [kernel.kallsyms]   [k] copy_user_generic_unrolled
     0.14%  reservation  reservation         [.] runtime.chansend
     0.14%  reservation  [kernel.kallsyms]   [k] common_file_perm
     0.14%  reservation  [kernel.kallsyms]   [k] __ksize
     0.14%  reservation  reservation         [.] strconv.ParseUint
     0.14%  reservation  reservation         [.] runtime.(*mcentral).cacheSpan
     0.14%  reservation  [kernel.kallsyms]   [k] futex_wake
     0.14%  reservation  [kernel.kallsyms]   [k] iptable_mangle_hook
     0.13%  reservation  reservation         [.] sync.(*Pool).Get
     0.13%  reservation  reservation         [.] runtime.(*spanSet).push
     0.13%  reservation  [kernel.kallsyms]   [k] __x64_sys_epoll_pwait
     0.13%  reservation  [kernel.kallsyms]   [k] mlx5e_xmit
     0.13%  reservation  reservation         [.] runtime.chanrecv
     0.13%  reservation  reservation         [.] runtime.stackfree
     0.13%  reservation  [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.13%  reservation  [kernel.kallsyms]   [k] native_sched_clock
     0.13%  reservation  reservation         [.] unicode/utf8.DecodeRuneInString
     0.13%  reservation  reservation         [.] runtime.mapiterinit
     0.13%  reservation  [kernel.kallsyms]   [k] __x86_indirect_thunk_rax
     0.13%  reservation  [kernel.kallsyms]   [k] update_min_vruntime
     0.13%  reservation  [kernel.kallsyms]   [k] newidle_balance
     0.13%  reservation  [kernel.kallsyms]   [k] mlx5e_features_check
     0.12%  reservation  [kernel.kallsyms]   [k] __kmalloc_node_track_caller
     0.12%  reservation  reservation         [.] runtime.sweepone
     0.12%  reservation  reservation         [.] runtime.(*mcache).refill
     0.12%  reservation  reservation         [.] indexbytebody
     0.12%  reservation  reservation         [.] runtime.trygetfull
     0.12%  reservation  [kernel.kallsyms]   [k] ip_route_input_slow
     0.12%  reservation  [kernel.kallsyms]   [k] ip_forward
     0.12%  reservation  reservation         [.] runtime.acquireSudog
     0.12%  reservation  [kernel.kallsyms]   [k] br_nf_pre_routing
     0.12%  reservation  reservation         [.] runtime.newMarkBits
