# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 79592502
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                                                                                                                                     
# ........  ...............  ..................  ...........................................................................................................................................................................................................................................................................................................................................
#
    15.33%  ftdc             mongod              [.] longest_match
    10.57%  ftdc             mongod              [.] mongo::FTDCCompressor::getCompressedSamples
    10.48%  ftdc             mongod              [.] deflate_slow
     8.68%  ftdc             libc-2.27.so        [.] __nss_group_lookup
     5.65%  ftdc             mongod              [.] mongo::FTDCBSONUtil::(anonymous namespace)::extractMetricsFromDocument
     3.35%  ftdc             [kernel.kallsyms]   [k] put_dec_trunc8
     2.71%  ftdc             [kernel.kallsyms]   [k] seq_put_decimal_ull_width
     2.57%  ftdc             [kernel.kallsyms]   [k] memcpy_erms
     2.55%  ftdc             libpthread-2.27.so  [.] _pthread_cleanup_push_defer
     2.50%  ftdc             mongod              [.] std::vector<unsigned long, std::allocator<unsigned long> >::emplace_back<long long>
     2.48%  ftdc             [kernel.kallsyms]   [k] thread_group_cputime
     2.41%  ftdc             [kernel.kallsyms]   [k] mlx5_eq_comp_int
     2.41%  ftdc             [kernel.kallsyms]   [k] entry_SYSCALL_64
     2.41%  ftdc             mongod              [.] mongo::MetricTree::appendTo
     2.34%  ftdc             [kernel.kallsyms]   [k] dquot_initialize
     2.18%  ftdc             mongod              [.] operator delete
     1.93%  ftdc             [kernel.kallsyms]   [k] vmstat_show
     1.72%  ftdc             [kernel.kallsyms]   [k] memset_erms
     1.67%  ftdc             mongod              [.] tcmalloc::PageHeap::CheckAndHandlePreMerge
     1.62%  ftdc             mongod              [.] __wt_conn_stat_init
     1.60%  ftdc             mongod              [.] mongo::BasicBufBuilder<mongo::SharedBufferAllocator>::grow
     1.45%  mongod           [kernel.kallsyms]   [k] native_sched_clock
     1.40%  ftdc             [kernel.kallsyms]   [k] exit_to_usermode_loop
     0.99%  ftdc             mongod              [.] mongo::FTDCCompressor::addSample
     0.92%  ftdc             libpthread-2.27.so  [.] pthread_mutex_trylock
     0.89%  ftdc             mongod              [.] __wt_stat_connection_aggregate
     0.87%  ftdc             mongod              [.] std::__find_if<char const*, __gnu_cxx::__ops::_Iter_pred<mongo::procparser::parseProcNetstat(std::vector<mongo::StringData, std::allocator<mongo::StringData> > const&, mongo::StringData, mongo::BSONObjBuilder*)::{lambda(char)#2}> >
     0.81%  ftdc             [kernel.kallsyms]   [k] timerqueue_add
     0.71%  mongod           mongod              [.] __wt_cond_auto_wait_signal
