# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 2617358776
#
# Overhead  Command      Shared Object          Symbol                                        
# ........  ...........  .....................  ..............................................
#
     3.79%  mc-lrumaint  libc.so.6              [.] __pthread_mutex_trylock
     3.74%  mc-lrumaint  libc.so.6              [.] __pthread_mutex_lock
     3.51%  mc-lrumaint  memcached              [.] lru_maintainer_thread
     2.01%  mc-worker    [kernel.kallsyms]      [k] ipt_do_table
     1.57%  mc-lrumaint  [kernel.kallsyms]      [k] update_cfs_group
     1.51%  mc-lrumaint  memcached              [.] pthread_mutex_lock@plt
     1.44%  mc-worker    [kernel.kallsyms]      [k] do_syscall_64
     1.20%  mc-lrumaint  [kernel.kallsyms]      [k] cpuacct_charge
     1.17%  mc-lrumaint  [kernel.kallsyms]      [k] update_curr
     1.16%  mc-worker    [kernel.kallsyms]      [k] copy_user_generic_unrolled
     1.16%  mc-lrumaint  [kernel.kallsyms]      [k] visit_groups_merge
     1.08%  mc-lrumaint  [kernel.kallsyms]      [k] psi_task_change
     0.90%  mc-worker    libc.so.6              [.] __pthread_mutex_lock
     0.89%  mc-lrumaint  [kernel.kallsyms]      [k] __put_user_4
     0.89%  mc-worker    [kernel.kallsyms]      [k] __kmalloc
     0.85%  mc-worker    [kernel.kallsyms]      [k] psi_task_change
     0.82%  mc-lrumaint  [kernel.kallsyms]      [k] __perf_event_task_sched_in
     0.78%  mc-lrumaint  [kernel.kallsyms]      [k] native_write_msr
     0.76%  mc-worker    [kernel.kallsyms]      [k] nf_hook_slow
     0.76%  mc-worker    libc.so.6              [.] __pthread_mutex_trylock
     0.75%  mc-worker    [kernel.kallsyms]      [k] kfree
     0.75%  mc-lrumaint  memcached              [.] slabs_available_chunks
     0.70%  mc-lrumaint  memcached              [.] lru_pull_tail
     0.69%  mc-worker    memcached              [.] drive_machine
     0.68%  mc-worker    [kernel.kallsyms]      [k] entry_SYSCALL_64
     0.65%  mc-worker    memcached              [.] resp_allocate.isra.0
     0.63%  mc-worker    memcached              [.] _transmit_post
     0.61%  mc-worker    [kernel.kallsyms]      [k] update_load_avg
     0.60%  mc-lrumaint  [kernel.kallsyms]      [k] do_syscall_64
     0.59%  mc-lrumaint  [kernel.kallsyms]      [k] reweight_entity
     0.58%  mc-worker    [kernel.kallsyms]      [k] veth_xmit
     0.58%  mc-lrumaint  libc.so.6              [.] __libc_alloca_cutoff
     0.58%  mc-lrumaint  libc.so.6              [.] clock_nanosleep
     0.56%  mc-worker    [kernel.kallsyms]      [k] update_curr
     0.54%  mc-worker    [kernel.kallsyms]      [k] __put_user_4
     0.53%  mc-lrumaint  [kernel.kallsyms]      [k] perf_event_update_userpage
     0.53%  mc-lrumaint  [kernel.kallsyms]      [k] entry_SYSCALL_64
     0.53%  mc-lrumaint  [kernel.kallsyms]      [k] dequeue_task_fair
     0.52%  mc-lrumaint  [kernel.kallsyms]      [k] __calc_delta
     0.51%  mc-worker    [kernel.kallsyms]      [k] apparmor_socket_recvmsg
     0.51%  mc-worker    memcached              [.] process_get_command.constprop.0
     0.50%  mc-worker    [kernel.kallsyms]      [k] __dev_queue_xmit
     0.50%  mc-lrumaint  [kernel.kallsyms]      [k] update_load_avg
     0.49%  mc-worker    [kernel.kallsyms]      [k] __netif_receive_skb_core
     0.49%  mc-worker    libc.so.6              [.] __nss_database_lookup
     0.48%  mc-lrumaint  [kernel.kallsyms]      [k] switch_fpu_return
     0.47%  mc-worker    [kernel.kallsyms]      [k] tcp_write_xmit
     0.46%  mc-worker    [kernel.kallsyms]      [k] update_cfs_group
     0.46%  mc-lrumaint  [kernel.kallsyms]      [k] timerqueue_add
     0.45%  mc-lrumaint  [kernel.kallsyms]      [k] __perf_event_task_sched_out
     0.45%  mc-lrumaint  [kernel.kallsyms]      [k] _copy_from_user
     0.44%  mc-worker    [kernel.kallsyms]      [k] br_handle_frame
     0.44%  mc-lrumaint  memcached              [.] usleep@plt
     0.43%  mc-worker    libevent-2.1.so.7.0.1  [.] event_strlcpy_
     0.42%  mc-lrumaint  [kernel.kallsyms]      [k] copy_user_generic_unrolled
     0.42%  mc-worker    [kernel.kallsyms]      [k] visit_groups_merge
     0.42%  mc-worker    memcached              [.] assoc_find
     0.41%  mc-worker    [kernel.kallsyms]      [k] ipv4_dst_check
     0.41%  mc-worker    [kernel.kallsyms]      [k] __nf_conntrack_find_get
     0.41%  mc-worker    [kernel.kallsyms]      [k] syscall_return_via_sysret
     0.40%  mc-lrumaint  memcached              [.] item_trylock
     0.39%  mc-worker    [kernel.kallsyms]      [k] cpuacct_charge
     0.39%  mc-lrumaint  [kernel.kallsyms]      [k] kmem_cache_free
     0.38%  mc-worker    [kernel.kallsyms]      [k] __fget_light
     0.38%  mc-lrumaint  [kernel.kallsyms]      [k] __x64_sys_clock_nanosleep
     0.38%  mc-worker    [kernel.kallsyms]      [k] ep_send_events_proc
     0.38%  mc-lrumaint  [kernel.kallsyms]      [k] native_sched_clock
     0.38%  mc-worker    [kernel.kallsyms]      [k] ip_finish_output2
     0.37%  mc-worker    memcached              [.] process_command_ascii.part.0
     0.36%  mc-worker    [kernel.kallsyms]      [k] tcp_rcv_established
     0.36%  mc-worker    libc.so.6              [.] __libc_alloca_cutoff
     0.35%  mc-lrumaint  [kernel.kallsyms]      [k] clear_buddies
     0.35%  mc-worker    [kernel.kallsyms]      [k] __tcp_transmit_skb
     0.35%  mc-worker    [kernel.kallsyms]      [k] __br_forward
     0.34%  mc-lrumaint  memcached              [.] MurmurHash3_x86_32
     0.34%  mc-worker    libevent-2.1.so.7.0.1  [.] event_reinit
     0.34%  mc-worker    [kernel.kallsyms]      [k] mod_timer
     0.33%  mc-lrumaint  [kernel.kallsyms]      [k] ktime_get
     0.32%  mc-worker    [kernel.kallsyms]      [k] br_forward
     0.32%  mc-worker    [kernel.kallsyms]      [k] enqueue_entity
     0.32%  mc-worker    [kernel.kallsyms]      [k] enqueue_task_fair
     0.32%  mc-worker    [kernel.kallsyms]      [k] __update_load_avg_cfs_rq
     0.32%  mc-worker    [kernel.kallsyms]      [k] __cgroup_bpf_run_filter_skb
     0.31%  mc-worker    [kernel.kallsyms]      [k] fput_many
     0.31%  mc-worker    [kernel.kallsyms]      [k] tcp_clean_rtx_queue
     0.30%  mc-worker    [kernel.kallsyms]      [k] __virt_addr_valid
     0.29%  mc-lrumaint  libc.so.6              [.] usleep
     0.29%  mc-worker    [kernel.kallsyms]      [k] memcmp
     0.28%  mc-worker    libevent-2.1.so.7.0.1  [.] event_changelist_remove_all_
     0.27%  mc-worker    [kernel.kallsyms]      [k] sock_poll
     0.27%  mc-worker    [kernel.kallsyms]      [k] read_tsc
     0.27%  mc-lrumaint  [kernel.kallsyms]      [k] dequeue_entity
     0.27%  mc-worker    [kernel.kallsyms]      [k] tcp_recvmsg
     0.27%  mc-lrumaint  [kernel.kallsyms]      [k] flexible_sched_in
     0.27%  mc-worker    libc.so.6              [.] epoll_wait
     0.27%  mc-lrumaint  [kernel.kallsyms]      [k] hrtimer_nanosleep
     0.27%  mc-lrumaint  [kernel.kallsyms]      [k] amd_clear_divider
     0.26%  mc-worker    [kernel.kallsyms]      [k] _copy_from_iter_full
