# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 26K of event 'cycles'
# Event count (approx.): 41462566372
#
# Overhead  Command  Shared Object       Symbol                                                                                             
# ........  .......  ..................  ...................................................................................................
#
     2.84%  rate     [kernel.kallsyms]   [k] do_syscall_64
     2.50%  rate     rate                [.] runtime.stealWork
     2.33%  rate     rate                [.] runtime.mallocgc
     1.81%  rate     rate                [.] runtime.scanobject
     1.47%  rate     rate                [.] runtime.step
     1.46%  rate     rate                [.] runtime.heapBitsSetType
     1.28%  rate     [kernel.kallsyms]   [k] entry_SYSCALL_64
     1.26%  rate     [kernel.kallsyms]   [k] psi_task_change
     1.10%  rate     rate                [.] runtime.pcvalue
     0.95%  rate     [kernel.kallsyms]   [k] syscall_return_via_sysret
     0.93%  rate     [kernel.kallsyms]   [k] update_load_avg
     0.91%  rate     rate                [.] runtime.nextFreeFast
     0.88%  rate     rate                [.] runtime.memmove
     0.87%  rate     rate                [.] runtime.gcDrain
     0.85%  rate     [kernel.kallsyms]   [k] update_cfs_group
     0.77%  rate     rate                [.] runtime.memclrNoHeapPointers
     0.75%  rate     [kernel.kallsyms]   [k] ipt_do_table
     0.74%  rate     rate                [.] runtime.gentraceback
     0.73%  rate     rate                [.] runtime.findrunnable
     0.68%  rate     [kernel.kallsyms]   [k] visit_groups_merge
     0.64%  rate     rate                [.] runtime.greyobject
     0.59%  rate     [kernel.kallsyms]   [k] enqueue_entity
     0.58%  rate     [kernel.kallsyms]   [k] update_curr
     0.57%  rate     [kernel.kallsyms]   [k] _raw_spin_lock
     0.55%  rate     rate                [.] runtime.getStackMap
     0.54%  rate     [kernel.kallsyms]   [k] enqueue_task_fair
     0.53%  rate     rate                [.] runtime.findObject
     0.53%  rate     rate                [.] runtime.findfunc
     0.53%  rate     rate                [.] runtime.selectgo
     0.51%  rate     rate                [.] encoding/json.unquoteBytes
     0.50%  rate     rate                [.] runtime.newobject
     0.49%  rate     rate                [.] encoding/json.(*Decoder).readValue
     0.48%  rate     [kernel.kallsyms]   [k] reweight_entity
     0.48%  rate     [vdso]              [.] __vdso_clock_gettime
     0.48%  rate     rate                [.] runtime.lock2
     0.47%  rate     [kernel.kallsyms]   [k] select_task_rq_fair
     0.47%  rate     [kernel.kallsyms]   [k] __update_load_avg_cfs_rq
