# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 2468276506
#
# Overhead  Command      Shared Object          Symbol                                        
# ........  ...........  .....................  ..............................................
#
     3.75%  mc-lrumaint  libc.so.6              [.] __pthread_mutex_lock
     3.46%  mc-lrumaint  memcached              [.] lru_maintainer_thread
     2.70%  mc-lrumaint  libc.so.6              [.] __pthread_mutex_trylock
     1.71%  mc-worker    libc.so.6              [.] __pthread_mutex_lock
     1.61%  mc-lrumaint  [kernel.kallsyms]      [k] do_syscall_64
     1.55%  mc-worker    [kernel.kallsyms]      [k] do_syscall_64
     1.34%  mc-worker    [kernel.kallsyms]      [k] ipt_do_table
     1.23%  mc-lrumaint  [kernel.kallsyms]      [k] update_load_avg
     1.23%  mc-lrumaint  [kernel.kallsyms]      [k] visit_groups_merge
     0.98%  mc-worker    [kernel.kallsyms]      [k] fib_table_lookup
     0.98%  mc-lrumaint  [kernel.kallsyms]      [k] do_nanosleep
     0.96%  mc-lrumaint  libc.so.6              [.] usleep
     0.94%  mc-lrumaint  [kernel.kallsyms]      [k] update_cfs_group
     0.91%  mc-lrumaint  [kernel.kallsyms]      [k] syscall_return_via_sysret
     0.90%  mc-lrumaint  memcached              [.] lru_pull_tail
     0.90%  mc-lrumaint  [kernel.kallsyms]      [k] __x64_sys_clock_nanosleep
     0.87%  mc-worker    memcached              [.] drive_machine
     0.85%  mc-worker    memcached              [.] resp_allocate.isra.0
     0.83%  mc-worker    [kernel.kallsyms]      [k] ip_finish_output2
     0.80%  mc-worker    libevent-2.1.so.7.0.1  [.] event_strlcpy_
     0.80%  mc-lrumaint  [kernel.kallsyms]      [k] update_curr
     0.79%  mc-worker    libc.so.6              [.] __nss_database_lookup
     0.75%  mc-lrumaint  [kernel.kallsyms]      [k] psi_task_change
     0.72%  mc-worker    [kernel.kallsyms]      [k] copy_user_generic_unrolled
     0.69%  mc-lrumaint  [kernel.kallsyms]      [k] read_tsc
     0.68%  mc-worker    [kernel.kallsyms]      [k] mlx5e_sq_xmit
     0.66%  mc-worker    [kernel.kallsyms]      [k] br_handle_frame
     0.66%  mc-worker    [kernel.kallsyms]      [k] entry_SYSCALL_64
     0.65%  mc-lrumaint  [kernel.kallsyms]      [k] switch_fpu_return
     0.65%  mc-worker    [kernel.kallsyms]      [k] psi_task_change
     0.65%  mc-lrumaint  [kernel.kallsyms]      [k] entry_SYSCALL_64
     0.65%  mc-lrumaint  libc.so.6              [.] clock_nanosleep
     0.64%  mc-lrumaint  [kernel.kallsyms]      [k] ctx_sched_in
     0.64%  mc-worker    [kernel.kallsyms]      [k] visit_groups_merge
     0.63%  mc-worker    [kernel.kallsyms]      [k] vxlan_xmit_one
     0.57%  mc-worker    [kernel.kallsyms]      [k] sock_poll
     0.56%  mc-worker    memcached              [.] assoc_find
     0.56%  mc-worker    [kernel.kallsyms]      [k] __vxlan_find_mac
     0.55%  mc-lrumaint  memcached              [.] bipbuf_peek_all
     0.54%  mc-lrumaint  [kernel.kallsyms]      [k] put_prev_entity
     0.54%  mc-lrumaint  [kernel.kallsyms]      [k] __perf_event_task_sched_in
     0.51%  mc-worker    [kernel.kallsyms]      [k] nf_conntrack_tcp_packet
     0.50%  mc-worker    libc.so.6              [.] __pthread_mutex_trylock
     0.49%  mc-worker    [kernel.kallsyms]      [k] __fget_light
     0.49%  mc-worker    [kernel.kallsyms]      [k] __nf_conntrack_find_get
     0.48%  mc-worker    [kernel.kallsyms]      [k] update_curr
     0.47%  mc-worker    libevent-2.1.so.7.0.1  [.] event_reinit
     0.45%  mc-worker    [kernel.kallsyms]      [k] nf_hook_slow
     0.44%  mc-worker    [kernel.kallsyms]      [k] tcp_event_new_data_sent
     0.42%  mc-worker    [kernel.kallsyms]      [k] tcp_recvmsg
     0.42%  mc-lrumaint  [kernel.kallsyms]      [k] cpuacct_charge
     0.42%  mc-worker    [kernel.kallsyms]      [k] __dev_queue_xmit
