# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 729376050
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                                                                                                                                                            
# ........  ...............  ..................  ..................................................................................................................................................................................................................................................................................................................................................................
#
     4.01%  conn31           mongod              [.] __wt_btcur_next
     3.34%  conn39           mongod              [.] __wt_btcur_next
     2.10%  conn39           mongod              [.] mongo::PathMatchExpression::matches
     1.84%  conn31           mongod              [.] __wt_struct_unpackv
     1.67%  conn31           mongod              [.] __wt_cursor_get_keyv
     1.61%  conn31           mongod              [.] mongo::WiredTigerRecordStoreCursorBase::next
     1.56%  conn39           libc-2.27.so        [.] __nss_group_lookup
     1.55%  conn39           mongod              [.] mongo::(anonymous namespace)::runCommandImpl
     1.39%  conn31           mongod              [.] mongo::BSONObj::getField
     1.39%  conn31           mongod              [.] __curfile_next
     1.38%  conn31           mongod              [.] __wt_txn_read
     1.38%  conn31           mongod              [.] mongo::BSONElementIterator::more
     1.30%  mongod           [kernel.kallsyms]   [k] native_sched_clock
     1.15%  conn39           mongod              [.] __wt_struct_unpackv
     1.09%  ftdc             mongod              [.] longest_match
     1.07%  conn31           mongod              [.] __wt_cursor_get_valuev
     1.06%  conn31           mongod              [.] __wt_txn_read_upd_list_internal
     1.04%  conn31           mongod              [.] operator delete
     1.02%  conn31           libc-2.27.so        [.] __nss_group_lookup
     1.01%  conn31           mongod              [.] mongo::Document::toBson
     0.96%  conn31           mongod              [.] mongo::CollectionScan::doWork
     0.95%  conn39           mongod              [.] mongo::WorkingSetMember::resetDocument
     0.92%  conn31           mongod              [.] mongo::DocumentStorage::reset
     0.92%  conn31           mongod              [.] mongo::BSONElement::numberDouble
     0.91%  conn39           mongod              [.] mongo::DbResponse::~DbResponse
     0.85%  conn31           mongod              [.] mongo::WorkingSetMember::resetDocument
     0.81%  conn39           mongod              [.] mongo::CollectionScan::doWork
     0.78%  conn31           mongod              [.] mongo::BSONObjIterator::next
     0.75%  conn31           mongod              [.] mongo::PathMatchExpression::matches
     0.74%  ftdc             mongod              [.] mongo::FTDCCompressor::addSample
     0.73%  ftdc             libc-2.27.so        [.] __nss_group_lookup
     0.72%  conn31           mongod              [.] mongo::BSONElementIterator::subCursorHasMore
     0.72%  WTCheck.tThread  mongod              [.] __wt_rec_upd_select
     0.72%  conn31           mongod              [.] mongo::WorkingSet::free
     0.71%  conn31           mongod              [.] mongo::DocumentMetadataFields::operator=
     0.71%  conn31           mongod              [.] mongo::WiredTigerRecoveryUnit::getSession
     0.71%  conn31           mongod              [.] mongo::getFieldDottedOrArray
     0.71%  conn31           mongod              [.] mongo::WiredTigerRecordStoreStandardCursor::hasWrongPrefix
     0.70%  conn39           mongod              [.] mongo::PlanYieldPolicy::shouldYieldOrInterrupt
     0.70%  conn31           mongod              [.] mongo::BSONElement::computeSize
     0.70%  conn39           mongod              [.] __wt_txn_read_upd_list_internal
     0.70%  ftdc             mongod              [.] __wt_stat_connection_aggregate
     0.69%  conn31           [kernel.kallsyms]   [k] mlx5e_skb_from_cqe_linear
     0.69%  conn39           mongod              [.] mongo::getFieldDottedOrArray
     0.69%  conn39           mongod              [.] __curfile_next
     0.69%  ftdc             [kernel.kallsyms]   [k] find_next_bit
     0.65%  WTCheck.tThread  mongod              [.] snappy::ByteArraySource::Available
     0.64%  conn31           mongod              [.] mongo::(anonymous namespace)::compareElementStringValues
     0.63%  conn31           mongod              [.] mongo::PlanStage::work
     0.62%  conn31           mongod              [.] __wt_btcur_insert
     0.62%  conn39           mongod              [.] mongo::WorkingSet::free
     0.61%  conn31           mongod              [.] mongo::repl::ReplicationCoordinatorImpl::getReplicationMode
     0.60%  conn39           mongod              [.] mongo::canonicalizeBSONType
     0.59%  conn39           mongod              [.] mongo::BSONElementIterator::more
     0.58%  conn31           mongod              [.] mongo::FailPoint::shouldFail<decltype(nullptr)>
     0.57%  conn31           mongod              [.] mongo::ScopedTimer::~ScopedTimer
     0.56%  WTCheck.tThread  mongod              [.] snappy::internal::CompressFragment
     0.55%  conn31           mongod              [.] mongo::canonicalizeBSONType
     0.54%  ftdc             mongod              [.] deflate_slow
     0.48%  conn39           mongod              [.] __wt_value_return_buf
     0.48%  ftdc             [kernel.kallsyms]   [k] diskstats_show
     0.48%  ftdc             mongod              [.] mongo::FTDCBSONUtil::(anonymous namespace)::extractMetricsFromDocument
     0.47%  conn39           mongod              [.] mongo::WorkingSetMember::clear
     0.46%  conn39           [kernel.kallsyms]   [k] do_syscall_64
     0.46%  conn31           mongod              [.] operator new
     0.39%  conn31           [kernel.kallsyms]   [k] entry_SYSCALL_64
     0.39%  conn31           mongod              [.] mongo::AndMatchExpression::matches
     0.38%  conn39           mongod              [.] mongo::BSONObj::getField
     0.36%  conn39           mongod              [.] mongo::write_ops::Insert::parseProtected
     0.35%  conn31           mongod              [.] mongo::ComparisonMatchExpression::matchesSingleElement
     0.35%  conn31           mongod              [.] __config_next
     0.35%  conn31           mongod              [.] mongo::WorkingSetMatchableDocument::releaseIterator
     0.35%  conn31           mongod              [.] absl::hash_internal::AbslHashValue<absl::hash_internal::CityHashState>
     0.35%  conn31           mongod              [.] mongo::AuthorizationManagerImpl::logOp
     0.35%  conn39           mongod              [.] mongo::WorkingSet::transitionToRecordIdAndObj
     0.35%  conn31           mongod              [.] mongo::BSONElement::compareElements
     0.35%  conn39           mongod              [.] mongo::WorkingSetMatchableDocument::allocateIterator
     0.35%  conn39           mongod              [.] mongo::PlanStage::work
     0.35%  conn31           mongod              [.] mongo::DecorationRegistry<mongo::OperationContext>::constructAt<mongo::(anonymous namespace)::OperationTimeTrackerHolder>
     0.35%  conn31           mongod              [.] std::vector<mongo::OpMsg::DocumentSequence, std::allocator<mongo::OpMsg::DocumentSequence> >::_M_realloc_insert<mongo::OpMsg::DocumentSequence>
     0.35%  conn39           mongod              [.] __wt_cursor_get_key
     0.35%  conn31           mongod              [.] __wt_value_return
     0.35%  conn31           mongod              [.] __txn_get_snapshot_int
     0.35%  conn31           [kernel.kallsyms]   [k] ip_vs_in.part.0
     0.35%  conn31           [kernel.kallsyms]   [k] tcp_v4_rcv
     0.35%  conn39           mongod              [.] operator delete
     0.35%  conn31           mongod              [.] mongo::BackgroundThreadClockSource::now
     0.35%  conn39           [kernel.kallsyms]   [k] native_apic_msr_eoi_write
     0.35%  conn31           mongod              [.] mongo::PlanExecutorImpl::getOpCtx
     0.35%  conn39           mongod              [.] mongo::LockerImpl::inAWriteUnitOfWork
     0.35%  conn39           mongod              [.] __wt_cursor_get_keyv
     0.35%  conn39           mongod              [.] mongo::DocumentMetadataFields::operator=
     0.35%  conn39           [kernel.kallsyms]   [k] __get_xps_queue_idx
     0.35%  conn31           mongod              [.] mongo::BSONElementIterator::~BSONElementIterator
     0.35%  conn39           [kernel.kallsyms]   [k] __br_forward
     0.35%  conn39           mongod              [.] mongo::BSONElement::computeSize
     0.35%  conn31           mongod              [.] mongo::CollectionScan::returnIfMatches
     0.35%  conn39           mongod              [.] mongo::AndMatchExpression::matches
     0.35%  conn39           [kernel.kallsyms]   [k] conntrack_mt
     0.35%  conn39           mongod              [.] mongo::BSONElement::numberDouble
     0.35%  conn39           mongod              [.] mongo::WiredTigerRecordStoreCursorBase::next
     0.35%  conn39           mongod              [.] mongo::ComparisonMatchExpression::matchesSingleElement
     0.34%  conn31           mongod              [.] mongo::(anonymous namespace)::receivedCommands(mongo::OperationContext*, mongo::Message const&, mongo::ServiceEntryPointCommon::Hooks const&)::{lambda()#1}::operator()
     0.34%  conn31           mongod              [.] mongo::WriteConcernOptions::extractWCFromCommand
     0.34%  conn31           mongod              [.] mongo::latch_detail::Mutex::Mutex
     0.34%  conn39           mongod              [.] mongo::CollectionScan::returnIfMatches
     0.34%  conn31           mongod              [.] __wt_value_return_buf
     0.33%  ftdc             mongod              [.] mongo::BSONObjBuilder::appendNumber
     0.32%  conn39           mongod              [.] mongo::BSONElementIterator::BSONElementIterator
     0.31%  conn39           mongod              [.] operator new
     0.31%  ftdc             mongod              [.] __config_getraw.constprop.1
     0.30%  conn39           mongod              [.] mongo::latch_detail::Mutex::_onQuickLock
