# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 144K of event 'cycles'
# Event count (approx.): 161207679977
#
# Overhead  Command          Shared Object             Symbol                                                                                                                                                                                                                     
# ........  ...............  ........................  ...........................................................................................................................................................................................................................
#
     2.60%  swapper          [kernel.kallsyms]         [k] intel_idle
     2.47%  dockerd          dockerd                   [.] runtime.scanobject
     1.74%  frontend         frontend                  [.] runtime.mallocgc
     1.24%  dockerd          dockerd                   [.] runtime.findObject
     1.19%  dockerd          dockerd                   [.] runtime.mallocgc
     1.12%  mongod           mongod                    [.] 0x0000000001104120
     1.09%  frontend         frontend                  [.] runtime.step
     0.87%  frontend         frontend                  [.] runtime.heapBitsSetType
     0.85%  frontend         frontend                  [.] runtime.scanobject
     0.82%  frontend         frontend                  [.] runtime.pcvalue
     0.72%  dockerd          [kernel.kallsyms]         [k] do_syscall_64
     0.64%  frontend         [kernel.kallsyms]         [k] do_syscall_64
     0.63%  dockerd          dockerd                   [.] runtime.greyobject
     0.60%  dockerd          dockerd                   [.] runtime.stealWork
     0.57%  frontend         frontend                  [.] runtime.nextFreeFast
     0.56%  dockerd          dockerd                   [.] encoding/binary.Read
     0.52%  frontend         frontend                  [.] runtime.gentraceback
     0.52%  wrk              wrk                       [.] lj_str_new
     0.52%  docker-proxy     [kernel.kallsyms]         [k] do_syscall_64
     0.49%  containerd-shim  [kernel.kallsyms]         [k] do_syscall_64
     0.48%  swapper          [kernel.kallsyms]         [k] menu_select
     0.47%  dockerd          dockerd                   [.] runtime.heapBitsForAddr
     0.45%  wrk              [kernel.kallsyms]         [k] do_syscall_64
     0.45%  frontend         frontend                  [.] runtime.findObject
     0.45%  frontend         frontend                  [.] runtime.memmove
     0.44%  frontend         frontend                  [.] runtime.greyobject
     0.35%  frontend         frontend                  [.] runtime.findfunc
     0.32%  dockerd          dockerd                   [.] runtime.memmove
     0.32%  dockerd          dockerd                   [.] io.ReadAtLeast
     0.30%  swapper          [kernel.kallsyms]         [k] __schedule
     0.30%  frontend         frontend                  [.] runtime.memclrNoHeapPointers
     0.28%  dockerd          [kernel.kallsyms]         [k] entry_SYSCALL_64
     0.27%  wrk              libc-2.31.so              [.] __memset_avx2_erms
     0.26%  frontend         frontend                  [.] encoding/json.(*Decoder).readValue
     0.26%  dockerd          [kernel.kallsyms]         [k] ctnetlink_dump_table
     0.26%  dockerd          dockerd                   [.] bytes.(*Reader).Read
     0.26%  dockerd          [kernel.kallsyms]         [k] psi_task_change
     0.26%  swapper          [kernel.kallsyms]         [k] switch_mm_irqs_off
     0.25%  wrk              wrk                       [.] http_parser_execute
     0.25%  dockerd          [kernel.kallsyms]         [k] syscall_return_via_sysret
     0.25%  wrk              wrk                       [.] lj_BC_TGETS
     0.24%  frontend         frontend                  [.] runtime.mapiternext
     0.24%  dockerd          dockerd                   [.] runtime.memclrNoHeapPointers
     0.24%  wrk              libc-2.31.so              [.] __printf_fp_l
     0.24%  mongod           mongod                    [.] 0x000000000110411c
     0.23%  frontend         frontend                  [.] runtime.getStackMap
     0.22%  docker-proxy     [kernel.kallsyms]         [k] entry_SYSCALL_64
     0.22%  frontend         [kernel.kallsyms]         [k] syscall_return_via_sysret
     0.22%  swapper          [kernel.kallsyms]         [k] do_idle
     0.22%  frontend         [kernel.kallsyms]         [k] entry_SYSCALL_64
     0.22%  dockerd          dockerd                   [.] github.com/docker/docker/daemon/logger/jsonfilelog/jsonlog.ffjsonWriteJSONBytesAsString
     0.22%  docker-proxy     docker-proxy              [.] runtime.stealWork
     0.22%  wrk              wrk                       [.] aeProcessEvents
     0.21%  docker-proxy     [kernel.kallsyms]         [k] psi_task_change
     0.21%  swapper          [kernel.kallsyms]         [k] set_next_entity
     0.21%  containerd-shim  [kernel.kallsyms]         [k] entry_SYSCALL_64
     0.20%  frontend         frontend                  [.] runtime.adjustframe
     0.20%  wrk              [kernel.kallsyms]         [k] entry_SYSCALL_64
     0.20%  frontend         frontend                  [.] fmt.(*pp).doPrintf
     0.20%  swapper          [kernel.kallsyms]         [k] __update_load_avg_cfs_rq
     0.19%  dockerd          dockerd                   [.] runtime.makeslice
     0.19%  mongod           mongod                    [.] 0x0000000001104110
     0.19%  swapper          [kernel.kallsyms]         [k] update_load_avg
     0.19%  frontend         frontend                  [.] runtime.newobject
     0.19%  frontend         frontend                  [.] runtime.scanblock
     0.18%  dockerd          [kernel.kallsyms]         [k] memcpy_erms
     0.18%  frontend         frontend                  [.] runtime.mapassign_faststr
     0.18%  wrk              [kernel.kallsyms]         [k] psi_task_change
     0.18%  docker-proxy     [kernel.kallsyms]         [k] syscall_return_via_sysret
     0.18%  frontend         frontend                  [.] net/url.unescape
     0.17%  dockerd          [kernel.kallsyms]         [k] memset_erms
     0.17%  frontend         frontend                  [.] indexbytebody
     0.17%  containerd-shim  [kernel.kallsyms]         [k] syscall_return_via_sysret
     0.17%  containerd-shim  [kernel.kallsyms]         [k] psi_task_change
     0.16%  frontend         frontend                  [.] runtime.casgstatus
     0.16%  frontend         [vdso]                    [.] __vdso_clock_gettime
     0.16%  dockerd          dockerd                   [.] runtime.findRunnable
     0.16%  frontend         frontend                  [.] runtime.mapaccess1_faststr
     0.16%  frontend         frontend                  [.] time.Time.AppendFormat
     0.16%  frontend         frontend                  [.] path/filepath.Clean
     0.16%  docker-proxy     [kernel.kallsyms]         [k] __fget_light
     0.15%  frontend         [kernel.kallsyms]         [k] psi_task_change
     0.15%  frontend         frontend                  [.] time.nextStdChunk
     0.15%  kworker/u32:3+n  [kernel.kallsyms]         [k] nf_ct_iterate_cleanup
     0.15%  wrk              [kernel.kallsyms]         [k] syscall_return_via_sysret
     0.15%  wrk              [kernel.kallsyms]         [k] __fget_light
     0.15%  swapper          [kernel.kallsyms]         [k] native_write_msr
     0.15%  wrk              libc-2.31.so              [.] __mpn_divrem
     0.15%  swapper          [kernel.kallsyms]         [k] psi_task_change
     0.15%  dockerd          dockerd                   [.] runtime.writeHeapBits.flush
     0.14%  dockerd          dockerd                   [.] runtime.step
     0.14%  dockerd          dockerd                   [.] encoding/binary.(*decoder).value
     0.14%  swapper          [kernel.kallsyms]         [k] read_tsc
     0.13%  dockerd          [kernel.kallsyms]         [k] __fget_light
     0.13%  swapper          [kernel.kallsyms]         [k] pick_next_entity
     0.13%  wrk              libc-2.31.so              [.] __vfprintf_internal
     0.13%  dockerd          dockerd                   [.] time.Time.appendFormat
     0.13%  frontend         frontend                  [.] encoding/json.(*decodeState).object
     0.13%  frontend         frontend                  [.] encoding/json.stateInString
     0.13%  swapper          [kernel.kallsyms]         [k] cpuidle_enter_state
     0.13%  wrk              [vdso]                    [.] gettimeofday
     0.12%  swapper          [kernel.kallsyms]         [k] __switch_to_asm
     0.12%  frontend         frontend                  [.] fmt.(*pp).printArg
     0.12%  frontend         frontend                  [.] runtime.growslice
     0.12%  dockerd          [kernel.kallsyms]         [k] update_load_avg
     0.12%  frontend         [kernel.kallsyms]         [k] __fget_light
     0.12%  frontend         frontend                  [.] encoding/json.unquoteBytes
     0.12%  frontend         frontend                  [.] time.parse
     0.12%  frontend         frontend                  [.] aeshashbody
     0.12%  frontend         frontend                  [.] runtime.adjustpointers
     0.11%  dockerd          dockerd                   [.] runtime.pcvalue
     0.11%  dockerd          dockerd                   [.] runtime.duffcopy
     0.11%  frontend         frontend                  [.] runtime.(*spanSet).pop
     0.11%  dockerd          dockerd                   [.] runtime.heapBitsSetType
     0.11%  dockerd          dockerd                   [.] github.com/vishvananda/netlink.parseNfAttrTL
     0.11%  dockerd          dockerd                   [.] runtime.casgstatus
     0.11%  swapper          [kernel.kallsyms]         [k] apic_timer_interrupt
     0.11%  swapper          [kernel.kallsyms]         [k] load_new_mm_cr3
     0.11%  frontend         frontend                  [.] runtime.mapassign
     0.11%  wrk              wrk                       [.] lj_alloc_malloc
     0.11%  dockerd          [kernel.kallsyms]         [k] update_cfs_group
     0.11%  frontend         frontend                  [.] fmt.(*fmt).fmtInteger
     0.10%  dockerd          dockerd                   [.] runtime.checkTimers
     0.10%  dockerd          dockerd                   [.] runtime.deductAssistCredit
     0.10%  frontend         frontend                  [.] memeqbody
     0.10%  frontend         frontend                  [.] encoding/json.(*decodeState).rescanLiteral
     0.10%  frontend         frontend                  [.] runtime.lock2
     0.10%  swapper          [kernel.kallsyms]         [k] native_queued_spin_lock_slowpath
     0.10%  swapper          [kernel.kallsyms]         [k] __switch_to
     0.10%  frontend         frontend                  [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.10%  dockerd          dockerd                   [.] runtime.lock2
