# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 150K of event 'cycles'
# Event count (approx.): 203462796398
#
# Overhead  Command          Shared Object            Symbol                                                                                                                                                                                                                                                                                                                                                                                                                
# ........  ...............  .......................  ......................................................................................................................................................................................................................................................................................................................................................................................................................
#
     3.69%  frontend         frontend                 [.] runtime.memclrNoHeapPointers
     2.50%  search           search                   [.] runtime.memclrNoHeapPointers
     2.24%  swapper          [kernel.kallsyms]        [k] intel_idle
     1.05%  frontend         frontend                 [.] runtime.mallocgc
     0.90%  search           search                   [.] runtime.mallocgc
     0.69%  frontend         frontend                 [.] runtime.heapBitsSetType
     0.56%  containerd-shim  [kernel.kallsyms]        [k] do_syscall_64
     0.53%  search           search                   [.] runtime.heapBitsSetType
     0.52%  frontend         frontend                 [.] runtime.scanobject
     0.45%  frontend         frontend                 [.] runtime.step
     0.44%  search           search                   [.] runtime.scanobject
     0.44%  swapper          [kernel.kallsyms]        [k] menu_select
     0.42%  dockerd          [kernel.kallsyms]        [k] do_syscall_64
     0.41%  search           search                   [.] runtime.step
     0.39%  wrk              wrk                      [.] lj_str_new
     0.39%  frontend         frontend                 [.] runtime.nextFreeFast
     0.37%  frontend         [kernel.kallsyms]        [k] do_syscall_64
     0.35%  search           [kernel.kallsyms]        [k] do_syscall_64
     0.35%  frontend         frontend                 [.] runtime.memmove
     0.34%  docker-proxy     [kernel.kallsyms]        [k] do_syscall_64
     0.34%  swapper          [kernel.kallsyms]        [k] __schedule
     0.33%  search           search                   [.] runtime.nextFreeFast
     0.32%  dockerd          dockerd                  [.] runtime.stealWork
     0.30%  frontend         frontend                 [.] runtime.pcvalue
     0.29%  wrk              [kernel.kallsyms]        [k] do_syscall_64
     0.29%  search           search                   [.] runtime.pcvalue
     0.26%  geo              geo                      [.] runtime.step
     0.25%  containerd-shim  [kernel.kallsyms]        [k] psi_task_change
     0.24%  frontend         frontend                 [.] compress/flate.(*huffmanEncoder).bitCounts
     0.24%  search           search                   [.] runtime.memmove
     0.23%  dockerd          [kernel.kallsyms]        [k] psi_task_change
     0.23%  wrk              libc-2.31.so             [.] __memset_avx2_erms
     0.23%  swapper          [kernel.kallsyms]        [k] do_idle
     0.23%  swapper          [kernel.kallsyms]        [k] switch_mm_irqs_off
     0.23%  containerd-shim  [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.22%  swapper          [kernel.kallsyms]        [k] set_next_entity
