# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 57K of event 'cycles'
# Event count (approx.): 130772258060
#
# Overhead  Command  Shared Object       Symbol                                                                                             
# ........  .......  ..................  ...................................................................................................
#
     9.44%  profile  profile             [.] runtime.scanobject
     3.71%  profile  profile             [.] runtime.findObject
     3.38%  profile  profile             [.] runtime.greyobject
     2.77%  profile  profile             [.] runtime.mallocgc
     2.34%  profile  profile             [.] runtime.step
     1.90%  profile  profile             [.] runtime.gcDrain
     1.89%  profile  [kernel.kallsyms]   [k] do_syscall_64
     1.65%  profile  profile             [.] runtime.pcvalue
     1.57%  profile  profile             [.] runtime.heapBitsSetType
     1.15%  profile  profile             [.] runtime.wbBufFlush1
     1.13%  profile  profile             [.] runtime.gentraceback
     1.07%  profile  profile             [.] runtime.scanblock
     1.00%  profile  profile             [.] runtime.memmove
     0.89%  profile  profile             [.] runtime.stealWork
     0.88%  profile  profile             [.] runtime.(*spanSet).pop
     0.87%  profile  profile             [.] runtime.memclrNoHeapPointers
     0.81%  profile  [kernel.kallsyms]   [k] psi_task_change
     0.80%  profile  profile             [.] encoding/json.(*Decoder).readValue
     0.79%  profile  profile             [.] encoding/json.unquoteBytes
     0.79%  profile  profile             [.] runtime.gcWriteBarrier
     0.75%  profile  profile             [.] runtime.findfunc
     0.70%  profile  [kernel.kallsyms]   [k] entry_SYSCALL_64
     0.70%  profile  profile             [.] runtime.getStackMap
     0.64%  profile  profile             [.] runtime.lock2
     0.61%  profile  profile             [.] runtime.(*sweepLocked).sweep
     0.59%  profile  profile             [.] encoding/json.stateInString
     0.57%  profile  profile             [.] runtime.gcmarknewobject
     0.57%  profile  profile             [.] runtime.unlock2
     0.56%  profile  profile             [.] encoding/json.(*decodeState).rescanLiteral
     0.51%  profile  profile             [.] runtime.adjustframe
     0.50%  profile  [kernel.kallsyms]   [k] syscall_return_via_sysret
     0.44%  profile  [kernel.kallsyms]   [k] update_load_avg
     0.43%  profile  profile             [.] time.Time.AppendFormat
     0.40%  profile  profile             [.] runtime.(*spanSet).push
     0.40%  profile  profile             [.] runtime.adjustpointers
     0.39%  profile  profile             [.] encoding/json.(*decodeState).object
     0.38%  profile  profile             [.] runtime.sweepone
     0.36%  profile  profile             [.] runtime.bulkBarrierPreWrite
     0.36%  profile  profile             [.] runtime.(*lfstack).push
     0.36%  profile  profile             [.] time.nextStdChunk
     0.36%  profile  [kernel.kallsyms]   [k] visit_groups_merge
     0.36%  profile  [vdso]              [.] __vdso_clock_gettime
     0.36%  profile  profile             [.] runtime.newobject
     0.35%  profile  profile             [.] runtime.markroot
     0.34%  profile  profile             [.] runtime.newMarkBits
     0.33%  profile  profile             [.] time.parse
     0.32%  profile  profile             [.] runtime.casgstatus
     0.31%  profile  profile             [.] github.com/rs/zerolog/internal/json.appendStringComplex
     0.31%  profile  profile             [.] runtime.getempty
     0.30%  profile  profile             [.] fmt.(*pp).doPrintf
     0.30%  profile  profile             [.] path/filepath.Clean
     0.29%  profile  profile             [.] encoding/json.checkValid
     0.29%  profile  profile             [.] runtime.selectgo
     0.27%  profile  profile             [.] runtime.growslice
     0.27%  profile  [kernel.kallsyms]   [k] update_cfs_group
     0.27%  profile  profile             [.] runtime.gcDrainN
     0.27%  profile  [kernel.kallsyms]   [k] native_queued_spin_lock_slowpath
     0.25%  profile  profile             [.] memeqbody
     0.24%  profile  profile             [.] encoding/json.stateEndValue
     0.24%  profile  profile             [.] runtime.forEachG
     0.24%  profile  profile             [.] path/filepath.Rel
     0.24%  profile  profile             [.] runtime.mapiternext
     0.23%  profile  profile             [.] runtime.findrunnable
     0.22%  profile  profile             [.] runtime.mapaccess2_faststr
     0.22%  profile  profile             [.] runtime.(*consistentHeapStats).acquire
     0.22%  profile  profile             [.] encoding/json.(*decodeState).literalStore
     0.22%  profile  profile             [.] runtime.(*itabTableType).find
     0.21%  profile  [kernel.kallsyms]   [k] __update_load_avg_cfs_rq
     0.21%  profile  profile             [.] encoding/json.indirect
     0.21%  profile  profile             [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.21%  profile  [kernel.kallsyms]   [k] update_curr
     0.20%  profile  profile             [.] runtime.checkTimers
     0.20%  profile  profile             [.] runtime.(*mheap).allocSpan
     0.20%  profile  [kernel.kallsyms]   [k] prepare_exit_to_usermode
     0.20%  profile  [kernel.kallsyms]   [k] select_task_rq_fair
     0.19%  profile  [kernel.kallsyms]   [k] _raw_spin_lock
     0.19%  profile  [kernel.kallsyms]   [k] enqueue_entity
     0.19%  profile  [kernel.kallsyms]   [k] __fget_light
     0.19%  profile  profile             [.] runtime.mapassign
     0.18%  profile  profile             [.] aeshashbody
     0.18%  profile  profile             [.] runtime.procyield.abi0
     0.18%  profile  [kernel.kallsyms]   [k] _raw_spin_lock_irqsave
     0.18%  profile  profile             [.] fmt.(*pp).printArg
     0.18%  profile  profile             [.] runtime.mapaccess1_faststr
     0.17%  profile  [kernel.kallsyms]   [k] try_to_wake_up
     0.17%  profile  [kernel.kallsyms]   [k] reweight_entity
     0.17%  profile  profile             [.] time.appendInt
     0.17%  profile  profile             [.] runtime.(*spanSet).reset
     0.17%  profile  [kernel.kallsyms]   [k] available_idle_cpu
     0.17%  profile  [kernel.kallsyms]   [k] switch_fpu_return
     0.16%  profile  profile             [.] runtime.schedule
     0.16%  profile  [kernel.kallsyms]   [k] perf_event_update_userpage
     0.16%  profile  [kernel.kallsyms]   [k] native_write_msr
     0.16%  profile  profile             [.] runtime.(*mcentral).cacheSpan
     0.16%  profile  [kernel.kallsyms]   [k] kmem_cache_alloc
     0.16%  profile  profile             [.] runtime.(*pallocBits).summarize
     0.16%  profile  profile             [.] runtime.(*mcache).refill
     0.16%  profile  [kernel.kallsyms]   [k] __update_load_avg_se
     0.16%  profile  [kernel.kallsyms]   [k] memset_erms
     0.15%  profile  profile             [.] runtime.runqgrab
     0.15%  profile  [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.15%  profile  profile             [.] runtime.(*consistentHeapStats).release
     0.15%  profile  profile             [.] runtime.mapaccess1
     0.15%  profile  profile             [.] sync.(*Pool).getSlow
     0.15%  profile  [kernel.kallsyms]   [k] nf_conntrack_tcp_packet
     0.15%  profile  [kernel.kallsyms]   [k] nf_hook_slow
     0.15%  profile  [kernel.kallsyms]   [k] ipt_do_table
     0.14%  profile  [kernel.kallsyms]   [k] __schedule
     0.14%  profile  profile             [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.14%  profile  [kernel.kallsyms]   [k] swapgs_restore_regs_and_return_to_usermode
     0.14%  profile  profile             [.] runtime.(*headTailIndex).incTail
     0.14%  profile  [kernel.kallsyms]   [k] enqueue_task_fair
     0.14%  profile  [kernel.kallsyms]   [k] native_sched_clock
     0.14%  profile  [kernel.kallsyms]   [k] reschedule_interrupt
     0.13%  profile  [kernel.kallsyms]   [k] cpuacct_charge
     0.13%  profile  [kernel.kallsyms]   [k] kmem_cache_free
