# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 18K of event 'cycles'
# Event count (approx.): 33701115651
#
# Overhead  Command         Shared Object       Symbol                                                                                                                
# ........  ..............  ..................  ......................................................................................................................
#
     3.72%  recommendation  recommendation      [.] runtime.scanobject
     2.86%  recommendation  recommendation      [.] runtime.mallocgc
     2.30%  recommendation  recommendation      [.] runtime.step
     2.30%  recommendation  [kernel.kallsyms]   [k] do_syscall_64
     1.86%  recommendation  recommendation      [.] runtime.stealWork
     1.65%  recommendation  [kernel.kallsyms]   [k] psi_task_change
     1.53%  recommendation  recommendation      [.] runtime.heapBitsSetType
     1.50%  recommendation  recommendation      [.] runtime.findObject
     1.40%  recommendation  recommendation      [.] runtime.pcvalue
     1.30%  recommendation  [kernel.kallsyms]   [k] entry_SYSCALL_64
     1.20%  recommendation  recommendation      [.] runtime.gentraceback
     1.14%  recommendation  recommendation      [.] runtime.mapiternext
     1.04%  recommendation  [kernel.kallsyms]   [k] visit_groups_merge
     0.96%  recommendation  recommendation      [.] runtime.greyobject
     0.83%  recommendation  recommendation      [.] math.pow
     0.79%  recommendation  recommendation      [.] github.com/harlow/go-micro-services/services/recommendation.(*Server).GetRecommendations
     0.78%  recommendation  recommendation      [.] runtime.gcDrain
     0.75%  recommendation  recommendation      [.] runtime.memmove
     0.70%  recommendation  recommendation      [.] math.sin
     0.68%  recommendation  [kernel.kallsyms]   [k] syscall_return_via_sysret
     0.67%  recommendation  recommendation      [.] runtime.lock2
     0.65%  recommendation  recommendation      [.] runtime.findrunnable
     0.61%  recommendation  [kernel.kallsyms]   [k] update_load_avg
     0.61%  recommendation  recommendation      [.] math.cos
     0.60%  recommendation  recommendation      [.] runtime.scanblock
     0.59%  recommendation  [kernel.kallsyms]   [k] update_cfs_group
     0.56%  recommendation  recommendation      [.] runtime.findfunc
     0.56%  recommendation  recommendation      [.] runtime.getStackMap
     0.55%  recommendation  recommendation      [.] runtime.unlock2
     0.53%  recommendation  recommendation      [.] github.com/hailocab/go-geoindex.distance
     0.53%  recommendation  recommendation      [.] runtime.adjustframe
     0.50%  recommendation  recommendation      [.] runtime.newobject
     0.49%  recommendation  [kernel.kallsyms]   [k] __update_load_avg_cfs_rq
     0.47%  recommendation  recommendation      [.] runtime.adjustpointers
     0.45%  recommendation  recommendation      [.] runtime.memclrNoHeapPointers
     0.44%  recommendation  recommendation      [.] encoding/json.unquoteBytes
     0.42%  recommendation  [kernel.kallsyms]   [k] cpuacct_charge
     0.41%  recommendation  [kernel.kallsyms]   [k] enqueue_task_fair
     0.41%  recommendation  [kernel.kallsyms]   [k] switch_fpu_return
     0.40%  recommendation  [kernel.kallsyms]   [k] native_write_msr
     0.40%  recommendation  [kernel.kallsyms]   [k] update_curr
     0.38%  recommendation  recommendation      [.] math.ldexp
     0.38%  recommendation  [kernel.kallsyms]   [k] native_queued_spin_lock_slowpath
     0.37%  recommendation  recommendation      [.] runtime.selectgo
     0.36%  recommendation  [kernel.kallsyms]   [k] _raw_spin_lock
     0.36%  recommendation  [vdso]              [.] __vdso_clock_gettime
     0.35%  recommendation  [kernel.kallsyms]   [k] __fget_light
     0.35%  recommendation  [kernel.kallsyms]   [k] select_idle_sibling.part.0
     0.33%  recommendation  [kernel.kallsyms]   [k] __schedule
     0.32%  recommendation  recommendation      [.] runtime.casgstatus
     0.32%  recommendation  [kernel.kallsyms]   [k] _raw_spin_lock_irqsave
     0.31%  recommendation  recommendation      [.] runtime.(*spanSet).pop
     0.31%  recommendation  [kernel.kallsyms]   [k] __update_load_avg_se
     0.31%  recommendation  [kernel.kallsyms]   [k] available_idle_cpu
     0.30%  recommendation  [kernel.kallsyms]   [k] ctx_sched_in
     0.30%  recommendation  recommendation      [.] encoding/json.(*Decoder).readValue
     0.29%  recommendation  [kernel.kallsyms]   [k] ipt_do_table
     0.28%  recommendation  [kernel.kallsyms]   [k] perf_swevent_add
     0.28%  recommendation  recommendation      [.] runtime.growslice
     0.27%  recommendation  [kernel.kallsyms]   [k] rb_next
     0.27%  recommendation  [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     0.26%  recommendation  [kernel.kallsyms]   [k] perf_event_update_userpage
     0.25%  recommendation  recommendation      [.] runtime.mapassign
     0.25%  recommendation  recommendation      [.] runtime.futex.abi0
     0.25%  recommendation  [kernel.kallsyms]   [k] smp_call_function_many
     0.25%  recommendation  recommendation      [.] runtime.schedule
     0.24%  recommendation  [kernel.kallsyms]   [k] timerqueue_add
     0.24%  recommendation  recommendation      [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.24%  recommendation  recommendation      [.] runtime.sysmon
     0.24%  recommendation  recommendation      [.] aeshashbody
     0.23%  recommendation  recommendation      [.] runtime.exitsyscall
     0.23%  recommendation  recommendation      [.] runtime.(*sweepLocked).sweep
     0.23%  recommendation  recommendation      [.] runtime.mDoFixup
     0.22%  recommendation  recommendation      [.] runtime.checkTimers
     0.22%  recommendation  recommendation      [.] runtime.retake
     0.22%  recommendation  recommendation      [.] runtime.mapassign_faststr
     0.22%  recommendation  [kernel.kallsyms]   [k] select_task_rq_fair
     0.21%  recommendation  recommendation      [.] memeqbody
     0.21%  recommendation  recommendation      [.] time.Time.AppendFormat
     0.21%  recommendation  recommendation      [.] math.frexp
     0.21%  recommendation  recommendation      [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.21%  recommendation  recommendation      [.] runtime.nanotime1.abi0
     0.21%  recommendation  recommendation      [.] runtime.mapaccess2
     0.21%  recommendation  recommendation      [.] path/filepath.Clean
     0.20%  recommendation  recommendation      [.] math.satan
     0.20%  recommendation  [kernel.kallsyms]   [k] __nf_conntrack_find_get
     0.20%  recommendation  recommendation      [.] runtime.usleep.abi0
     0.20%  recommendation  [kernel.kallsyms]   [k] nf_conntrack_in
     0.20%  recommendation  [kernel.kallsyms]   [k] __tcp_transmit_skb
     0.20%  recommendation  recommendation      [.] runtime.chansend
     0.20%  recommendation  recommendation      [.] fmt.(*pp).doPrintf
     0.20%  recommendation  [kernel.kallsyms]   [k] native_sched_clock
     0.20%  recommendation  recommendation      [.] runtime.netpoll
     0.20%  recommendation  [kernel.kallsyms]   [k] pick_next_task_fair
     0.19%  recommendation  recommendation      [.] runtime.mapaccess1
     0.19%  recommendation  [kernel.kallsyms]   [k] __x64_sys_futex
     0.19%  recommendation  recommendation      [.] runtime.mapaccess1_faststr
     0.19%  recommendation  recommendation      [.] runtime.mapiterinit
     0.19%  recommendation  recommendation      [.] google.golang.org/grpc/transport.(*http2Server).itemHandler
     0.19%  recommendation  recommendation      [.] fmt.(*pp).printArg
     0.19%  recommendation  [kernel.kallsyms]   [k] tcp_sendmsg_locked
     0.18%  recommendation  [kernel.kallsyms]   [k] read_tsc
     0.18%  recommendation  [kernel.kallsyms]   [k] native_flush_tlb_one_user
     0.18%  recommendation  recommendation      [.] math.modf
     0.18%  recommendation  [kernel.kallsyms]   [k] do_futex
     0.18%  recommendation  [kernel.kallsyms]   [k] futex_wake
     0.18%  recommendation  [kernel.kallsyms]   [k] dequeue_task_fair
     0.18%  recommendation  recommendation      [.] io.ReadAtLeast
     0.18%  recommendation  [kernel.kallsyms]   [k] enqueue_entity
     0.17%  recommendation  recommendation      [.] encoding/json.stateInString
     0.17%  recommendation  recommendation      [.] runtime.funcMaxSPDelta
     0.17%  recommendation  recommendation      [.] github.com/hailocab/go-geoindex.(*GeoPoint).Lat
     0.17%  recommendation  [kernel.kallsyms]   [k] __netif_receive_skb_core
     0.17%  recommendation  [kernel.kallsyms]   [k] __update_idle_core
     0.17%  recommendation  [kernel.kallsyms]   [k] find_next_bit
     0.17%  recommendation  recommendation      [.] internal/poll.(*FD).Write
     0.17%  recommendation  recommendation      [.] context.(*cancelCtx).Done
     0.16%  recommendation  recommendation      [.] runtime.pidleput
     0.16%  recommendation  [kernel.kallsyms]   [k] update_blocked_averages
     0.16%  recommendation  [kernel.kallsyms]   [k] interrupt_entry
     0.16%  recommendation  [kernel.kallsyms]   [k] prepare_exit_to_usermode
     0.16%  recommendation  recommendation      [.] net/url.unescape
     0.16%  recommendation  recommendation      [.] runtime.timeSleepUntil
     0.16%  recommendation  [kernel.kallsyms]   [k] try_to_wake_up
     0.15%  recommendation  recommendation      [.] google.golang.org/grpc/transport.(*inFlow).onRead
     0.15%  recommendation  recommendation      [.] math.atan2
     0.15%  recommendation  [kernel.kallsyms]   [k] reweight_entity
     0.15%  recommendation  recommendation      [.] runtime.systemstack.abi0
     0.15%  recommendation  recommendation      [.] runtime.checkTimersNoP
     0.15%  recommendation  [kernel.kallsyms]   [k] __perf_event_task_sched_out
     0.15%  recommendation  [kernel.kallsyms]   [k] futex_wait
     0.15%  recommendation  recommendation      [.] encoding/json.(*decodeState).object
     0.15%  recommendation  [kernel.kallsyms]   [k] cpumask_next_wrap
     0.15%  recommendation  [kernel.kallsyms]   [k] ep_poll
     0.15%  recommendation  recommendation      [.] runtime.markroot
     0.15%  recommendation  recommendation      [.] context.(*cancelCtx).Value
     0.15%  recommendation  [kernel.kallsyms]   [k] tcp_write_xmit
     0.15%  recommendation  [kernel.kallsyms]   [k] veth_xmit
     0.14%  recommendation  recommendation      [.] runtime.(*consistentHeapStats).release
     0.14%  recommendation  [kernel.kallsyms]   [k] __inet_lookup_established
     0.14%  recommendation  [kernel.kallsyms]   [k] update_min_vruntime
     0.14%  recommendation  [kernel.kallsyms]   [k] account_entity_dequeue
     0.14%  recommendation  recommendation      [.] runtime.notesleep
     0.14%  recommendation  recommendation      [.] time.parse
     0.14%  recommendation  [kernel.kallsyms]   [k] place_entity
     0.14%  recommendation  recommendation      [.] strconv.ParseUint
     0.14%  recommendation  recommendation      [.] indexbytebody
     0.14%  recommendation  recommendation      [.] runtime.runqgrab
     0.14%  recommendation  recommendation      [.] github.com/uber/jaeger-client-go.(*textMapPropagator).Extract
     0.14%  recommendation  recommendation      [.] runtime.(*spanSet).reset
     0.14%  recommendation  [kernel.kallsyms]   [k] fpregs_assert_state_consistent
     0.14%  recommendation  [kernel.kallsyms]   [k] newidle_balance
     0.14%  recommendation  [kernel.kallsyms]   [k] __perf_event_task_sched_in
     0.14%  recommendation  recommendation      [.] sync.(*Pool).Get
     0.14%  recommendation  [kernel.kallsyms]   [k] ktime_get
     0.13%  recommendation  recommendation      [.] runtime.copystack
     0.13%  recommendation  [kernel.kallsyms]   [k] kmem_cache_alloc_node
     0.13%  recommendation  [kernel.kallsyms]   [k] rb_erase
     0.13%  recommendation  [kernel.kallsyms]   [k] nf_hook_slow
     0.13%  recommendation  [kernel.kallsyms]   [k] nf_conntrack_tcp_packet
     0.13%  recommendation  recommendation      [.] time.nextStdChunk
     0.13%  recommendation  recommendation      [.] runtime.makeslice
     0.13%  recommendation  recommendation      [.] runtime.newMarkBits
     0.13%  recommendation  recommendation      [.] runtime.sweepone
     0.13%  recommendation  [kernel.kallsyms]   [k] __calc_delta
     0.13%  recommendation  recommendation      [.] runtime.selunlock
     0.13%  recommendation  recommendation      [.] runtime.getitab
     0.13%  recommendation  recommendation      [.] runtime.exitsyscallfast
     0.13%  recommendation  recommendation      [.] runtime.resolveTypeOff
