# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cycles'
# Event count (approx.): 32091812202
#
# Overhead  Command         Shared Object      Symbol                                                                                                                
# ........  ..............  .................  ......................................................................................................................
#
     2.88%  recommendation  recommendation     [.] runtime.mallocgc
     2.64%  recommendation  recommendation     [.] runtime.stealWork
     2.48%  recommendation  recommendation     [.] runtime.step
     2.23%  recommendation  [kernel.kallsyms]  [k] do_syscall_64
     1.81%  recommendation  [kernel.kallsyms]  [k] psi_task_change
     1.36%  recommendation  [kernel.kallsyms]  [k] entry_SYSCALL_64
     1.35%  recommendation  recommendation     [.] runtime.pcvalue
     1.32%  recommendation  recommendation     [.] runtime.mapiternext
     1.25%  recommendation  recommendation     [.] runtime.heapBitsSetType
     1.04%  recommendation  [kernel.kallsyms]  [k] visit_groups_merge
     1.03%  recommendation  recommendation     [.] math.pow
     0.97%  recommendation  recommendation     [.] runtime.memmove
     0.89%  recommendation  recommendation     [.] runtime.gentraceback
     0.87%  recommendation  recommendation     [.] math.cos
     0.85%  recommendation  recommendation     [.] math.sin
     0.84%  recommendation  [kernel.kallsyms]  [k] update_cfs_group
     0.83%  recommendation  recommendation     [.] runtime.selectgo
     0.82%  recommendation  [kernel.kallsyms]  [k] update_load_avg
     0.77%  recommendation  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.70%  recommendation  [kernel.kallsyms]  [k] update_curr
     0.68%  recommendation  recommendation     [.] runtime.scanobject
     0.60%  recommendation  recommendation     [.] github.com/harlow/go-micro-services/services/recommendation.(*Server).GetRecommendations
     0.59%  recommendation  recommendation     [.] runtime.findrunnable
     0.57%  recommendation  recommendation     [.] github.com/hailocab/go-geoindex.distance
     0.57%  recommendation  recommendation     [.] runtime.adjustframe
     0.56%  recommendation  recommendation     [.] runtime.findfunc
     0.55%  recommendation  [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.49%  recommendation  [kernel.kallsyms]  [k] cpuacct_charge
     0.44%  recommendation  recommendation     [.] runtime.getStackMap
     0.44%  recommendation  [kernel.kallsyms]  [k] native_write_msr
     0.44%  recommendation  recommendation     [.] runtime.memclrNoHeapPointers
     0.44%  recommendation  recommendation     [.] runtime.adjustpointers
     0.43%  recommendation  [kernel.kallsyms]  [k] switch_fpu_return
     0.40%  recommendation  [kernel.kallsyms]  [k] ipt_do_table
     0.40%  recommendation  [kernel.kallsyms]  [k] __fget_light
     0.39%  recommendation  [kernel.kallsyms]  [k] select_task_rq_fair
     0.39%  recommendation  recommendation     [.] runtime.newobject
     0.38%  recommendation  [kernel.kallsyms]  [k] native_sched_clock
     0.38%  recommendation  [vdso]             [.] __vdso_clock_gettime
     0.38%  recommendation  recommendation     [.] runtime.sysmon
     0.38%  recommendation  [kernel.kallsyms]  [k] available_idle_cpu
     0.37%  recommendation  [kernel.kallsyms]  [k] ctx_sched_in
     0.36%  recommendation  [kernel.kallsyms]  [k] perf_swevent_add
     0.34%  recommendation  recommendation     [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.34%  recommendation  recommendation     [.] runtime.lock2
     0.33%  recommendation  [kernel.kallsyms]  [k] timerqueue_add
     0.33%  recommendation  [kernel.kallsyms]  [k] enqueue_task_fair
     0.33%  recommendation  recommendation     [.] runtime.growslice
     0.33%  recommendation  recommendation     [.] runtime.mapaccess1
     0.33%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*http2Server).itemHandler
     0.32%  recommendation  [kernel.kallsyms]  [k] enqueue_entity
     0.32%  recommendation  recommendation     [.] runtime.casgstatus
