# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 24K of event 'cycles'
# Event count (approx.): 60185330682
#
# Overhead  Command  Shared Object      Symbol                                                                                     
# ........  .......  .................  ...........................................................................................
#
     3.39%  rate     rate               [.] runtime.mallocgc
     2.41%  rate     rate               [.] runtime.step
     2.28%  rate     [kernel.kallsyms]  [k] do_syscall_64
     1.70%  rate     rate               [.] runtime.scanobject
     1.66%  rate     rate               [.] runtime.heapBitsSetType
     1.65%  rate     rate               [.] runtime.stealWork
     1.64%  rate     [kernel.kallsyms]  [k] psi_task_change
     1.53%  rate     rate               [.] runtime.pcvalue
     1.11%  rate     [kernel.kallsyms]  [k] entry_SYSCALL_64
     0.97%  rate     rate               [.] runtime.memmove
     0.84%  rate     rate               [.] runtime.gentraceback
     0.78%  rate     [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.77%  rate     rate               [.] runtime.memclrNoHeapPointers
     0.71%  rate     [kernel.kallsyms]  [k] update_load_avg
     0.70%  rate     [kernel.kallsyms]  [k] visit_groups_merge
     0.63%  rate     rate               [.] encoding/json.(*Decoder).readValue
     0.61%  rate     rate               [.] encoding/json.unquoteBytes
     0.56%  rate     rate               [.] runtime.selectgo
     0.54%  rate     rate               [.] runtime.lock2
     0.53%  rate     rate               [.] encoding/json.stateInString
     0.52%  rate     rate               [.] runtime.findfunc
     0.51%  rate     rate               [.] runtime.getStackMap
     0.50%  rate     [vdso]             [.] __vdso_clock_gettime
     0.50%  rate     rate               [.] runtime.newobject
     0.50%  rate     rate               [.] runtime.findrunnable
     0.49%  rate     [kernel.kallsyms]  [k] available_idle_cpu
     0.48%  rate     [kernel.kallsyms]  [k] update_curr
     0.47%  rate     rate               [.] runtime.findObject
     0.47%  rate     rate               [.] runtime.adjustframe
     0.46%  rate     [kernel.kallsyms]  [k] _raw_spin_lock
     0.45%  rate     [kernel.kallsyms]  [k] update_cfs_group
     0.41%  rate     [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.41%  rate     rate               [.] fmt.(*pp).doPrintf
     0.40%  rate     rate               [.] runtime.growslice
     0.40%  rate     rate               [.] runtime.adjustpointers
     0.39%  rate     rate               [.] encoding/json.(*decodeState).rescanLiteral
     0.39%  rate     [kernel.kallsyms]  [k] __fget_light
     0.39%  rate     rate               [.] time.parse
     0.38%  rate     rate               [.] encoding/json.(*decodeState).object
     0.38%  rate     rate               [.] time.Time.AppendFormat
     0.38%  rate     rate               [.] runtime.greyobject
     0.37%  rate     [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.37%  rate     [kernel.kallsyms]  [k] __nf_conntrack_find_get
     0.36%  rate     [kernel.kallsyms]  [k] enqueue_task_fair
     0.36%  rate     [kernel.kallsyms]  [k] native_write_msr
     0.35%  rate     rate               [.] runtime.casgstatus
     0.35%  rate     rate               [.] runtime.unlock2
     0.34%  rate     rate               [.] runtime.gcDrain
     0.33%  rate     rate               [.] runtime.(*itabTableType).find
     0.32%  rate     rate               [.] runtime.checkTimers
     0.32%  rate     rate               [.] aeshashbody
     0.32%  rate     [kernel.kallsyms]  [k] select_task_rq_fair
     0.32%  rate     [kernel.kallsyms]  [k] reweight_entity
     0.32%  rate     rate               [.] runtime.mapiternext
     0.32%  rate     [kernel.kallsyms]  [k] switch_fpu_return
     0.31%  rate     [kernel.kallsyms]  [k] __tcp_transmit_skb
     0.31%  rate     rate               [.] time.nextStdChunk
