# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 80K of event 'cycles'
# Event count (approx.): 144895019115
#
# Overhead  Command   Shared Object       Symbol                                                                                                          
# ........  ........  ..................  ................................................................................................................
#
     4.48%  frontend  frontend            [.] runtime.mallocgc
     2.96%  frontend  frontend            [.] runtime.scanobject
     2.51%  frontend  frontend            [.] runtime.heapBitsSetType
     2.44%  frontend  frontend            [.] runtime.step
     2.13%  frontend  frontend            [.] runtime.greyobject
     1.78%  frontend  [kernel.kallsyms]   [k] do_syscall_64
     1.56%  frontend  frontend            [.] runtime.pcvalue
     1.37%  frontend  frontend            [.] runtime.findObject
     1.16%  frontend  frontend            [.] runtime.memmove
     0.96%  frontend  frontend            [.] runtime.selectgo
     0.91%  frontend  frontend            [.] runtime.gentraceback
     0.84%  frontend  [kernel.kallsyms]   [k] psi_task_change
     0.78%  frontend  frontend            [.] runtime.memclrNoHeapPointers
     0.78%  frontend  [kernel.kallsyms]   [k] entry_SYSCALL_64
     0.62%  frontend  frontend            [.] runtime.newobject
     0.59%  frontend  frontend            [.] encoding/json.(*Decoder).readValue
     0.57%  frontend  [kernel.kallsyms]   [k] syscall_return_via_sysret
     0.57%  frontend  frontend            [.] aeshashbody
     0.52%  frontend  frontend            [.] runtime.findfunc
     0.51%  frontend  frontend            [.] runtime.casgstatus
     0.48%  frontend  frontend            [.] runtime.growslice
     0.47%  frontend  frontend            [.] time.nextStdChunk
     0.47%  frontend  frontend            [.] fmt.(*pp).doPrintf
     0.46%  frontend  [kernel.kallsyms]   [k] __fget_light
     0.45%  frontend  frontend            [.] runtime.mapiternext
     0.45%  frontend  frontend            [.] runtime.unlock2
     0.43%  frontend  frontend            [.] path/filepath.Clean
     0.43%  frontend  [kernel.kallsyms]   [k] update_load_avg
     0.42%  frontend  frontend            [.] runtime.lock2
     0.42%  frontend  frontend            [.] time.Time.AppendFormat
     0.40%  frontend  frontend            [.] runtime.mapaccess1_faststr
     0.38%  frontend  frontend            [.] runtime.scanblock
     0.37%  frontend  frontend            [.] runtime.mapaccess1
     0.36%  frontend  [vdso]              [.] __vdso_clock_gettime
     0.36%  frontend  frontend            [.] runtime.mapassign_faststr
     0.36%  frontend  frontend            [.] time.parse
     0.35%  frontend  frontend            [.] runtime.mapassign
     0.35%  frontend  [kernel.kallsyms]   [k] nf_hook_slow
     0.35%  frontend  frontend            [.] encoding/json.unquoteBytes
     0.34%  frontend  [kernel.kallsyms]   [k] ipt_do_table
     0.34%  frontend  [kernel.kallsyms]   [k] __nf_conntrack_find_get
     0.31%  frontend  frontend            [.] runtime.gcDrainN
     0.30%  frontend  frontend            [.] path/filepath.Rel
     0.30%  frontend  frontend            [.] encoding/json.(*decodeState).object
     0.30%  frontend  [kernel.kallsyms]   [k] update_cfs_group
     0.29%  frontend  frontend            [.] google.golang.org/grpc/transport.(*http2Client).NewStream
     0.28%  frontend  frontend            [.] runtime.stealWork
     0.28%  frontend  frontend            [.] runtime.(*itabTableType).find
     0.28%  frontend  frontend            [.] memeqbody
     0.28%  frontend  [kernel.kallsyms]   [k] tcp_recvmsg
     0.28%  frontend  frontend            [.] runtime.schedule
     0.28%  frontend  frontend            [.] encoding/json.(*decodeState).rescanLiteral
     0.27%  frontend  frontend            [.] golang.org/x/net/http2/hpack.AppendHuffmanString
     0.27%  frontend  [kernel.kallsyms]   [k] veth_xmit
     0.27%  frontend  [kernel.kallsyms]   [k] __tcp_transmit_skb
     0.26%  frontend  frontend            [.] runtime.getStackMap
     0.26%  frontend  frontend            [.] encoding/json.stateInString
     0.26%  frontend  frontend            [.] fmt.(*pp).printArg
     0.26%  frontend  [kernel.kallsyms]   [k] try_to_wake_up
     0.25%  frontend  frontend            [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.25%  frontend  frontend            [.] runtime.mapaccess2
     0.25%  frontend  frontend            [.] indexbytebody
     0.25%  frontend  [kernel.kallsyms]   [k] __netif_receive_skb_core
     0.25%  frontend  [kernel.kallsyms]   [k] native_queued_spin_lock_slowpath
     0.25%  frontend  [kernel.kallsyms]   [k] enqueue_task_fair
     0.24%  frontend  frontend            [.] google.golang.org/grpc/transport.(*http2Client).itemHandler
     0.24%  frontend  [kernel.kallsyms]   [k] nf_conntrack_tcp_packet
     0.24%  frontend  [kernel.kallsyms]   [k] _raw_spin_lock
     0.24%  frontend  [kernel.kallsyms]   [k] select_task_rq_fair
     0.24%  frontend  frontend            [.] runtime.findrunnable
     0.23%  frontend  frontend            [.] runtime.reentersyscall
     0.23%  frontend  [kernel.kallsyms]   [k] enqueue_entity
     0.23%  frontend  [kernel.kallsyms]   [k] _raw_spin_lock_irqsave
     0.23%  frontend  frontend            [.] fmt.(*fmt).fmtInteger
     0.23%  frontend  [kernel.kallsyms]   [k] tcp_ack
     0.23%  frontend  frontend            [.] net/url.unescape
     0.22%  frontend  frontend            [.] runtime.wbBufFlush1
     0.22%  frontend  [kernel.kallsyms]   [k] tcp_in_window
     0.22%  frontend  [kernel.kallsyms]   [k] tcp_sendmsg_locked
     0.22%  frontend  [kernel.kallsyms]   [k] nf_conntrack_in
     0.21%  frontend  [kernel.kallsyms]   [k] available_idle_cpu
     0.21%  frontend  [kernel.kallsyms]   [k] br_nf_pre_routing
     0.21%  frontend  [kernel.kallsyms]   [k] tcp_write_xmit
     0.20%  frontend  [kernel.kallsyms]   [k] ip_finish_output2
     0.20%  frontend  [kernel.kallsyms]   [k] __update_load_avg_cfs_rq
     0.20%  frontend  frontend            [.] time.appendInt
     0.20%  frontend  [kernel.kallsyms]   [k] update_curr
     0.20%  frontend  [kernel.kallsyms]   [k] select_idle_sibling.part.0
     0.19%  frontend  [kernel.kallsyms]   [k] kmem_cache_alloc
     0.19%  frontend  frontend            [.] runtime.(*spanSet).pop
     0.18%  frontend  [kernel.kallsyms]   [k] br_handle_frame
     0.18%  frontend  [kernel.kallsyms]   [k] memset_erms
     0.18%  frontend  frontend            [.] runtime.exitsyscall
     0.18%  frontend  frontend            [.] github.com/rs/zerolog.ConsoleWriter.writePart
     0.18%  frontend  frontend            [.] runtime.mapiterinit
     0.17%  frontend  frontend            [.] context.(*cancelCtx).Done
     0.17%  frontend  frontend            [.] runtime.sellock
     0.17%  frontend  frontend            [.] internal/poll.(*FD).Write
     0.17%  frontend  [kernel.kallsyms]   [k] ip_rcv_core.isra.0
     0.17%  frontend  frontend            [.] github.com/rs/zerolog.ConsoleWriter.Write
     0.17%  frontend  [kernel.kallsyms]   [k] visit_groups_merge
     0.17%  frontend  frontend            [.] internal/poll.(*FD).Read
     0.17%  frontend  [kernel.kallsyms]   [k] reweight_entity
     0.16%  frontend  [kernel.kallsyms]   [k] __dev_queue_xmit
     0.16%  frontend  frontend            [.] bufio.(*Reader).Read
     0.16%  frontend  frontend            [.] google.golang.org/grpc.newClientStream
     0.16%  frontend  frontend            [.] runtime.mapaccess2_faststr
     0.16%  frontend  frontend            [.] google.golang.org/grpc/transport.loopyWriter
     0.16%  frontend  frontend            [.] runtime.(*spanSet).push
     0.16%  frontend  [kernel.kallsyms]   [k] _raw_spin_lock_bh
     0.16%  frontend  frontend            [.] runtime.chansend
     0.16%  frontend  [kernel.kallsyms]   [k] tcp_clean_rtx_queue
     0.16%  frontend  frontend            [.] reflect.Value.assignTo
     0.16%  frontend  frontend            [.] runtime.netpoll
     0.15%  frontend  [kernel.kallsyms]   [k] tcp_rcv_established
     0.15%  frontend  frontend            [.] runtime.typedmemmove
     0.15%  frontend  [kernel.kallsyms]   [k] ipv4_dst_check
     0.15%  frontend  [kernel.kallsyms]   [k] __inet_lookup_established
     0.15%  frontend  [kernel.kallsyms]   [k] kmem_cache_free
     0.15%  frontend  [kernel.kallsyms]   [k] __virt_addr_valid
     0.15%  frontend  [kernel.kallsyms]   [k] tcp_v4_rcv
