# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 21K of event 'cycles'
# Event count (approx.): 54619642632
#
# Overhead  Command      Shared Object      Symbol                                                                                                         
# ........  ...........  .................  ...............................................................................................................
#
     3.50%  reservation  reservation        [.] runtime.mallocgc
     2.40%  reservation  reservation        [.] runtime.step
     2.21%  reservation  [kernel.kallsyms]  [k] do_syscall_64
     2.15%  reservation  reservation        [.] runtime.stealWork
     1.92%  reservation  [kernel.kallsyms]  [k] psi_task_change
     1.87%  reservation  reservation        [.] runtime.heapBitsSetType
     1.66%  reservation  reservation        [.] runtime.pcvalue
     1.06%  reservation  [kernel.kallsyms]  [k] entry_SYSCALL_64
     1.06%  reservation  reservation        [.] runtime.memmove
     0.98%  reservation  reservation        [.] runtime.gentraceback
     0.86%  reservation  [kernel.kallsyms]  [k] update_load_avg
     0.82%  reservation  reservation        [.] runtime.adjustframe
     0.77%  reservation  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.74%  reservation  reservation        [.] fmt.isSpace
     0.72%  reservation  reservation        [.] time.Time.AppendFormat
     0.69%  reservation  reservation        [.] runtime.findfunc
     0.67%  reservation  reservation        [.] runtime.getStackMap
     0.67%  reservation  reservation        [.] runtime.lock2
     0.66%  reservation  reservation        [.] runtime.checkTimers
     0.64%  reservation  reservation        [.] runtime.findrunnable
     0.59%  reservation  reservation        [.] runtime.selectgo
     0.59%  reservation  [kernel.kallsyms]  [k] update_cfs_group
     0.54%  reservation  reservation        [.] runtime.mapassign_faststr
     0.53%  reservation  reservation        [.] runtime.adjustpointers
     0.53%  reservation  [kernel.kallsyms]  [k] visit_groups_merge
     0.53%  reservation  reservation        [.] runtime.casgstatus
     0.52%  reservation  reservation        [.] io.ReadAtLeast
     0.52%  reservation  [vdso]             [.] __vdso_clock_gettime
     0.52%  reservation  reservation        [.] runtime.newobject
     0.50%  reservation  reservation        [.] fmt.(*ss).ReadRune
     0.49%  reservation  [kernel.kallsyms]  [k] update_curr
     0.46%  reservation  reservation        [.] time.nextStdChunk
     0.46%  reservation  reservation        [.] runtime.memclrNoHeapPointers
     0.45%  reservation  [kernel.kallsyms]  [k] _raw_spin_lock
     0.42%  reservation  [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.42%  reservation  [kernel.kallsyms]  [k] ipt_do_table
     0.41%  reservation  [kernel.kallsyms]  [k] switch_fpu_return
     0.40%  reservation  [kernel.kallsyms]  [k] __nf_conntrack_find_get
     0.39%  reservation  reservation        [.] fmt.(*ss).advance
     0.38%  reservation  [kernel.kallsyms]  [k] select_task_rq_fair
     0.37%  reservation  [kernel.kallsyms]  [k] veth_xmit
     0.36%  reservation  [kernel.kallsyms]  [k] available_idle_cpu
     0.36%  reservation  reservation        [.] unicode/utf8.DecodeRuneInString
     0.36%  reservation  reservation        [.] runtime.mapiternext
     0.35%  reservation  reservation        [.] runtime.netpoll
     0.35%  reservation  [kernel.kallsyms]  [k] __fget_light
     0.34%  reservation  [kernel.kallsyms]  [k] enqueue_entity
     0.33%  reservation  reservation        [.] runtime.checkTimersNoP
     0.32%  reservation  reservation        [.] aeshashbody
     0.32%  reservation  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.32%  reservation  reservation        [.] runtime.growslice
     0.31%  reservation  [kernel.kallsyms]  [k] native_write_msr
     0.30%  reservation  [kernel.kallsyms]  [k] __tcp_transmit_skb
     0.30%  reservation  reservation        [.] time.parse
     0.30%  reservation  [kernel.kallsyms]  [k] nf_hook_slow
     0.29%  reservation  [kernel.kallsyms]  [k] nf_conntrack_in
     0.29%  reservation  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.29%  reservation  [kernel.kallsyms]  [k] tcp_sendmsg_locked
     0.29%  reservation  [kernel.kallsyms]  [k] cpuacct_charge
     0.28%  reservation  reservation        [.] runtime.mapassign
     0.28%  reservation  [kernel.kallsyms]  [k] tcp_in_window
     0.27%  reservation  reservation        [.] github.com/harlow/go-micro-services/services/reservation.(*Server).CheckAvailability
     0.27%  reservation  reservation        [.] fmt.(*stringReader).Read
     0.27%  reservation  [kernel.kallsyms]  [k] enqueue_task_fair
     0.27%  reservation  reservation        [.] runtime.sysmon
     0.27%  reservation  reservation        [.] runtime.schedule
     0.27%  reservation  reservation        [.] encoding/json.(*Decoder).readValue
     0.27%  reservation  [kernel.kallsyms]  [k] timerqueue_add
     0.26%  reservation  [kernel.kallsyms]  [k] select_idle_sibling.part.0
     0.26%  reservation  [kernel.kallsyms]  [k] dequeue_task_fair
     0.26%  reservation  reservation        [.] google.golang.org/grpc/transport.(*http2Server).itemHandler
     0.26%  reservation  [kernel.kallsyms]  [k] update_cfs_rq_h_load
     0.26%  reservation  [kernel.kallsyms]  [k] reweight_entity
     0.26%  reservation  reservation        [.] fmt.(*readRune).readByte
     0.26%  reservation  reservation        [.] time.appendInt
     0.25%  reservation  reservation        [.] runtime.runqgrab
     0.25%  reservation  [kernel.kallsyms]  [k] __schedule
     0.25%  reservation  reservation        [.] fmt.(*readRune).ReadRune
     0.25%  reservation  [kernel.kallsyms]  [k] __netif_receive_skb_core
     0.24%  reservation  [kernel.kallsyms]  [k] native_sched_clock
     0.24%  reservation  reservation        [.] runtime.unlock2
     0.24%  reservation  reservation        [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.23%  reservation  [kernel.kallsyms]  [k] ip_finish_output2
     0.23%  reservation  reservation        [.] runtime.mapaccess1_faststr
     0.23%  reservation  [kernel.kallsyms]  [k] tcp_ack
     0.22%  reservation  [kernel.kallsyms]  [k] nf_conntrack_tcp_packet
     0.22%  reservation  [kernel.kallsyms]  [k] tcp_clean_rtx_queue
