# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1222491779
#
# Overhead  Command  Shared Object      Symbol                                                                                  
# ........  .......  .................  ........................................................................................
#
     3.94%  user     user               [.] runtime.mallocgc
     2.38%  user     [kernel.kallsyms]  [k] do_syscall_64
     2.31%  user     user               [.] runtime.newobject
     1.84%  user     [kernel.kallsyms]  [k] __perf_event_task_sched_in
     1.79%  user     user               [.] runtime.mapdelete_fast32
     1.76%  user     [kernel.kallsyms]  [k] __lock_text_start
     1.75%  user     [kernel.kallsyms]  [k] __softirqentry_text_start
     1.73%  user     [kernel.kallsyms]  [k] switch_fpu_return
     1.61%  user     user               [.] runtime.runqput
     1.59%  user     [kernel.kallsyms]  [k] entry_SYSCALL_64
     1.58%  user     [kernel.kallsyms]  [k] enqueue_entity
     1.55%  user     user               [.] runtime.heapBitsSetType
     1.49%  user     [kernel.kallsyms]  [k] syscall_return_via_sysret
     1.46%  user     user               [.] runtime.step
     1.46%  user     user               [.] github.com/rs/zerolog.(*Event).msg
     1.45%  user     [kernel.kallsyms]  [k] psi_task_change
     1.42%  user     [kernel.kallsyms]  [k] visit_groups_merge
     1.41%  user     [kernel.kallsyms]  [k] ctx_sched_out
     1.36%  user     user               [.] runtime.adjustframe
     1.33%  user     user               [.] runtime.checkTimers
     1.31%  user     [kernel.kallsyms]  [k] get_l4proto
     1.31%  user     [kernel.kallsyms]  [k] __tcp_v4_send_check
     1.29%  user     user               [.] golang.org/x/net/http2.validWireHeaderFieldName
     1.23%  user     [kernel.kallsyms]  [k] update_load_avg
     1.23%  user     [kernel.kallsyms]  [k] ep_send_events_proc
     1.21%  user     user               [.] runtime.selectgo
     1.19%  user     user               [.] runtime.mapassign_fast32
     1.19%  user     [kernel.kallsyms]  [k] update_cfs_rq_h_load
     1.15%  user     user               [.] runtime.getStackMap
     1.15%  user     [kernel.kallsyms]  [k] ovl_same_sb
     1.12%  user     user               [.] runtime.stackalloc
     1.11%  user     user               [.] runtime.convT2I
     1.08%  user     user               [.] reflect.resolveTypeOff
     1.07%  user     user               [.] github.com/uber/jaeger-client-go/thrift-gen/jaeger.(*SpanRef).writeField2
     1.06%  user     user               [.] runtime.notetsleep_internal
     1.04%  user     [kernel.kallsyms]  [k] __fsnotify_parent
     1.00%  user     [kernel.kallsyms]  [k] available_idle_cpu
     0.93%  user     [kernel.kallsyms]  [k] tcp_ack_update_rtt.isra.0
     0.91%  user     [kernel.kallsyms]  [k] br_nf_dev_queue_xmit
     0.84%  user     user               [.] runtime.resetspinning
     0.81%  user     [kernel.kallsyms]  [k] __update_load_avg_se
     0.81%  user     [kernel.kallsyms]  [k] __fdget_pos
     0.81%  user     user               [.] runtime.memclrNoHeapPointers
     0.74%  user     user               [.] github.com/rs/zerolog.ConsoleWriter.writePart
     0.69%  user     user               [.] runtime.save
     0.68%  user     user               [.] golang.org/x/net/http2.(*HeadersFrame).Header
     0.68%  user     [kernel.kallsyms]  [k] veth_xmit
     0.60%  user     user               [.] runtime.findfunc
     0.60%  user     user               [.] runtime.stealWork
     0.58%  user     user               [.] time.nextStdChunk
     0.56%  user     user               [.] google.golang.org/grpc.(*Server).processUnaryRPC
     0.56%  user     [kernel.kallsyms]  [k] skb_release_data
     0.55%  user     [kernel.kallsyms]  [k] update_curr
     0.53%  user     user               [.] reflect.(*rtype).Elem
     0.52%  user     user               [.] runtime.unlock2
     0.46%  user     [kernel.kallsyms]  [k] dequeue_task_fair
