# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles'
# Event count (approx.): 28292410085
#
# Overhead  Command         Shared Object      Symbol                                                                                                                
# ........  ..............  .................  ......................................................................................................................
#
     3.21%  recommendation  recommendation     [.] runtime.mallocgc
     2.65%  recommendation  [kernel.kallsyms]  [k] do_syscall_64
     2.45%  recommendation  recommendation     [.] runtime.step
     2.04%  recommendation  recommendation     [.] runtime.heapBitsSetType
     1.87%  recommendation  [kernel.kallsyms]  [k] psi_task_change
     1.70%  recommendation  recommendation     [.] runtime.mapiternext
     1.66%  recommendation  recommendation     [.] runtime.stealWork
     1.53%  recommendation  recommendation     [.] runtime.pcvalue
     1.26%  recommendation  [kernel.kallsyms]  [k] entry_SYSCALL_64
     1.01%  recommendation  recommendation     [.] math.pow
     0.98%  recommendation  recommendation     [.] runtime.gentraceback
     0.93%  recommendation  [kernel.kallsyms]  [k] visit_groups_merge
     0.89%  recommendation  recommendation     [.] runtime.memmove
     0.89%  recommendation  [kernel.kallsyms]  [k] update_load_avg
     0.88%  recommendation  recommendation     [.] math.cos
     0.83%  recommendation  recommendation     [.] runtime.adjustframe
     0.80%  recommendation  recommendation     [.] math.sin
     0.77%  recommendation  recommendation     [.] github.com/hailocab/go-geoindex.distance
     0.68%  recommendation  recommendation     [.] runtime.selectgo
     0.68%  recommendation  recommendation     [.] runtime.adjustpointers
     0.64%  recommendation  recommendation     [.] runtime.findrunnable
     0.59%  recommendation  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.59%  recommendation  recommendation     [.] runtime.findfunc
     0.58%  recommendation  [kernel.kallsyms]  [k] switch_fpu_return
     0.58%  recommendation  recommendation     [.] github.com/harlow/go-micro-services/services/recommendation.(*Server).GetRecommendations
     0.53%  recommendation  recommendation     [.] runtime.getStackMap
     0.51%  recommendation  [kernel.kallsyms]  [k] update_cfs_group
     0.50%  recommendation  recommendation     [.] runtime.mapaccess1
     0.48%  recommendation  [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.46%  recommendation  [kernel.kallsyms]  [k] native_write_msr
     0.45%  recommendation  [kernel.kallsyms]  [k] update_curr
     0.45%  recommendation  recommendation     [.] runtime.memclrNoHeapPointers
     0.44%  recommendation  [kernel.kallsyms]  [k] __tcp_transmit_skb
     0.44%  recommendation  [kernel.kallsyms]  [k] available_idle_cpu
     0.43%  recommendation  [kernel.kallsyms]  [k] enqueue_entity
