# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1147615356
#
# Overhead  Command  Shared Object      Symbol                                                                             
# ........  .......  .................  ...................................................................................
#
     3.03%  user     [kernel.kallsyms]  [k] do_syscall_64
     2.92%  user     user               [.] runtime.memmove
     2.66%  user     user               [.] runtime.checkTimers
     2.61%  user     user               [.] runtime.stealWork
     2.39%  user     user               [.] runtime.step
     2.30%  user     [kernel.kallsyms]  [k] visit_groups_merge
     2.13%  user     user               [.] runtime.(*itabTableType).find
     2.08%  user     [kernel.kallsyms]  [k] syscall_return_via_sysret
     2.02%  user     user               [.] runtime.epollwait.abi0
     2.01%  user     [kernel.kallsyms]  [k] __fget_light
     1.83%  user     [kernel.kallsyms]  [k] psi_task_change
     1.78%  user     [kernel.kallsyms]  [k] put_prev_entity
     1.76%  user     user               [.] reflect.cvtBytesString
     1.72%  user     [kernel.kallsyms]  [k] put_prev_task_fair
     1.69%  user     user               [.] fmt.(*fmt).fmtSbx
     1.65%  user     [kernel.kallsyms]  [k] nf_conntrack_in
     1.62%  user     [kernel.kallsyms]  [k] __calc_delta
     1.59%  user     user               [.] runtime.casgstatus
     1.58%  user     [kernel.kallsyms]  [k] fsnotify
     1.57%  user     [kernel.kallsyms]  [k] perf_swevent_add
     1.52%  user     [kernel.kallsyms]  [k] ctx_sched_in
     1.41%  user     [kernel.kallsyms]  [k] event_sched_in.isra.0
     1.41%  user     [kernel.kallsyms]  [k] trigger_dyntick_cpu.isra.0
     1.37%  user     user               [.] runtime.heapBitsSetType
     1.36%  user     user               [.] runtime.gentraceback
     1.35%  user     user               [.] path/filepath.Clean
     1.31%  user     user               [.] github.com/rs/zerolog.(*Event).Msgf
     1.31%  user     [kernel.kallsyms]  [k] futex_wait_setup
     1.29%  user     user               [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     1.27%  user     user               [.] runtime.newobject
     1.22%  user     [kernel.kallsyms]  [k] timerqueue_add
     1.20%  user     user               [.] runtime.mallocgc
     1.18%  user     [kernel.kallsyms]  [k] native_sched_clock
     1.17%  user     [kernel.kallsyms]  [k] entry_SYSCALL_64
     1.15%  user     [kernel.kallsyms]  [k] update_curr
     1.06%  user     user               [.] runtime.deductSweepCredit
     0.96%  user     [kernel.kallsyms]  [k] ipv4_mtu
     0.88%  user     user               [.] runtime.selectgo
