# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 37K of event 'cycles'
# Event count (approx.): 84489284583
#
# Overhead  Command  Shared Object      Symbol                                                                                             
# ........  .......  .................  ...................................................................................................
#
     4.15%  profile  profile            [.] runtime.mallocgc
     3.17%  profile  profile            [.] runtime.step
     2.07%  profile  [kernel.kallsyms]  [k] do_syscall_64
     1.96%  profile  profile            [.] runtime.pcvalue
     1.75%  profile  profile            [.] runtime.heapBitsSetType
     1.74%  profile  profile            [.] runtime.stealWork
     1.53%  profile  profile            [.] runtime.memmove
     1.35%  profile  [kernel.kallsyms]  [k] psi_task_change
     1.30%  profile  profile            [.] runtime.gentraceback
     1.28%  profile  profile            [.] encoding/json.(*Decoder).readValue
     1.14%  profile  profile            [.] encoding/json.unquoteBytes
     1.02%  profile  [kernel.kallsyms]  [k] entry_SYSCALL_64
     0.87%  profile  profile            [.] encoding/json.stateInString
     0.83%  profile  profile            [.] runtime.findfunc
     0.76%  profile  [kernel.kallsyms]  [k] update_load_avg
     0.74%  profile  profile            [.] encoding/json.(*decodeState).rescanLiteral
     0.68%  profile  profile            [.] runtime.memclrNoHeapPointers
     0.65%  profile  profile            [.] encoding/json.(*decodeState).object
     0.65%  profile  profile            [.] runtime.newobject
     0.64%  profile  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.63%  profile  profile            [.] runtime.adjustframe
     0.62%  profile  profile            [.] time.Time.AppendFormat
     0.59%  profile  profile            [.] time.nextStdChunk
     0.58%  profile  profile            [.] runtime.getStackMap
     0.57%  profile  profile            [.] runtime.adjustpointers
     0.54%  profile  profile            [.] runtime.selectgo
     0.52%  profile  profile            [.] path/filepath.Clean
     0.52%  profile  profile            [.] encoding/json.checkValid
     0.51%  profile  [kernel.kallsyms]  [k] update_cfs_group
     0.49%  profile  profile            [.] github.com/rs/zerolog/internal/json.appendStringComplex
     0.48%  profile  profile            [.] time.parse
     0.45%  profile  [vdso]             [.] __vdso_clock_gettime
     0.45%  profile  profile            [.] runtime.casgstatus
     0.42%  profile  profile            [.] runtime.checkTimers
     0.41%  profile  profile            [.] runtime.findrunnable
     0.40%  profile  profile            [.] fmt.(*pp).doPrintf
     0.39%  profile  [kernel.kallsyms]  [k] available_idle_cpu
     0.38%  profile  profile            [.] runtime.lock2
     0.38%  profile  [kernel.kallsyms]  [k] __fget_light
     0.37%  profile  profile            [.] runtime.growslice
     0.36%  profile  [kernel.kallsyms]  [k] visit_groups_merge
     0.36%  profile  [kernel.kallsyms]  [k] select_task_rq_fair
     0.35%  profile  profile            [.] runtime.mapassign
     0.35%  profile  profile            [.] runtime.mapiternext
     0.34%  profile  profile            [.] memeqbody
     0.34%  profile  [kernel.kallsyms]  [k] nf_hook_slow
     0.33%  profile  profile            [.] path/filepath.Rel
     0.33%  profile  [kernel.kallsyms]  [k] update_curr
     0.32%  profile  profile            [.] encoding/json.stateEndValue
     0.31%  profile  profile            [.] runtime.(*itabTableType).find
     0.30%  profile  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.29%  profile  profile            [.] aeshashbody
     0.29%  profile  profile            [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.29%  profile  [kernel.kallsyms]  [k] select_idle_sibling.part.0
     0.29%  profile  [kernel.kallsyms]  [k] try_to_wake_up
     0.28%  profile  [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.28%  profile  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.28%  profile  profile            [.] runtime.mapaccess2_faststr
     0.28%  profile  [kernel.kallsyms]  [k] _raw_spin_lock
     0.27%  profile  profile            [.] runtime.mapaccess1_faststr
     0.27%  profile  profile            [.] runtime.mapaccess1
     0.27%  profile  [kernel.kallsyms]  [k] enqueue_entity
     0.27%  profile  profile            [.] runtime.unlock2
     0.27%  profile  [kernel.kallsyms]  [k] native_write_msr
     0.25%  profile  [kernel.kallsyms]  [k] enqueue_task_fair
     0.25%  profile  profile            [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.25%  profile  profile            [.] encoding/json.indirect
     0.25%  profile  profile            [.] encoding/json.(*decodeState).literalStore
     0.25%  profile  [kernel.kallsyms]  [k] reweight_entity
     0.24%  profile  profile            [.] runtime.reentersyscall
     0.23%  profile  profile            [.] syscall.Getwd
     0.23%  profile  profile            [.] fmt.(*pp).printArg
     0.23%  profile  profile            [.] google.golang.org/grpc/transport.(*http2Server).itemHandler
     0.23%  profile  [kernel.kallsyms]  [k] __update_load_avg_se
     0.23%  profile  profile            [.] reflect.Value.assignTo
     0.23%  profile  [kernel.kallsyms]  [k] switch_fpu_return
     0.23%  profile  profile            [.] time.appendInt
     0.23%  profile  [kernel.kallsyms]  [k] __nf_conntrack_find_get
     0.23%  profile  [kernel.kallsyms]  [k] ipt_do_table
     0.23%  profile  [kernel.kallsyms]  [k] nf_conntrack_tcp_packet
     0.22%  profile  profile            [.] runtime.(*mheap).allocSpan
     0.22%  profile  profile            [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.21%  profile  profile            [.] runtime.retake
     0.21%  profile  profile            [.] runtime.getitab
     0.21%  profile  [kernel.kallsyms]  [k] kmem_cache_free
     0.21%  profile  profile            [.] google.golang.org/grpc/transport.loopyWriter
     0.21%  profile  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.21%  profile  [kernel.kallsyms]  [k] veth_xmit
     0.21%  profile  [kernel.kallsyms]  [k] cpuacct_charge
     0.20%  profile  profile            [.] runtime.checkTimersNoP
     0.20%  profile  profile            [.] runtime.runqgrab
     0.20%  profile  profile            [.] runtime.netpoll
     0.20%  profile  [kernel.kallsyms]  [k] timerqueue_add
     0.20%  profile  profile            [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanWithOptions
     0.19%  profile  profile            [.] runtime.mapassign_faststr
     0.19%  profile  [kernel.kallsyms]  [k] tcp_sendmsg_locked
     0.19%  profile  [kernel.kallsyms]  [k] __dev_queue_xmit
     0.19%  profile  profile            [.] github.com/rs/zerolog.ConsoleWriter.writePart
     0.19%  profile  profile            [.] google.golang.org/grpc/transport.(*decodeState).processHeaderField
     0.19%  profile  profile            [.] github.com/rs/zerolog.ConsoleWriter.Write
     0.18%  profile  profile            [.] runtime.sysmon
     0.18%  profile  [kernel.kallsyms]  [k] dequeue_task_fair
     0.18%  profile  [kernel.kallsyms]  [k] memset_erms
     0.18%  profile  [kernel.kallsyms]  [k] __virt_addr_valid
     0.18%  profile  [kernel.kallsyms]  [k] tcp_recvmsg
     0.18%  profile  [kernel.kallsyms]  [k] __schedule
     0.18%  profile  [kernel.kallsyms]  [k] nf_conntrack_in
     0.18%  profile  profile            [.] runtime.slicebytetostring
     0.17%  profile  [kernel.kallsyms]  [k] path_init
     0.17%  profile  [kernel.kallsyms]  [k] __calc_delta
     0.17%  profile  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.17%  profile  profile            [.] runtime.nanotime1.abi0
     0.17%  profile  [kernel.kallsyms]  [k] __tcp_transmit_skb
     0.16%  profile  profile            [.] fmt.isSpace
     0.16%  profile  profile            [.] sync.(*Pool).Get
     0.16%  profile  profile            [.] github.com/golang/protobuf/proto.(*Buffer).enc_struct
     0.16%  profile  [kernel.kallsyms]  [k] perf_swevent_add
     0.16%  profile  profile            [.] indexbytebody
     0.16%  profile  profile            [.] syscall.Getenv
     0.16%  profile  [kernel.kallsyms]  [k] native_sched_clock
     0.16%  profile  [kernel.kallsyms]  [k] __netif_receive_skb_core
     0.15%  profile  [kernel.kallsyms]  [k] tcp_in_window
     0.15%  profile  [kernel.kallsyms]  [k] __perf_event_task_sched_in
     0.15%  profile  profile            [.] runtime.chansend
     0.15%  profile  profile            [.] fmt.(*fmt).fmtInteger
     0.15%  profile  [kernel.kallsyms]  [k] __inet_lookup_established
     0.15%  profile  [kernel.kallsyms]  [k] newidle_balance
     0.15%  profile  profile            [.] golang.org/x/net/http2.(*Framer).ReadFrame
     0.15%  profile  [kernel.kallsyms]  [k] ip_finish_output2
     0.14%  profile  profile            [.] github.com/harlow/go-micro-services/services/profile.(*Server).GetProfiles
