# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 22K of event 'cycles'
# Event count (approx.): 54359753671
#
# Overhead  Command  Shared Object      Symbol                                                                                             
# ........  .......  .................  ...................................................................................................
#
     3.61%  rate     rate               [.] runtime.mallocgc
     2.43%  rate     rate               [.] runtime.step
     2.34%  rate     rate               [.] runtime.stealWork
     2.24%  rate     [kernel.kallsyms]  [k] do_syscall_64
     1.71%  rate     rate               [.] runtime.pcvalue
     1.61%  rate     [kernel.kallsyms]  [k] psi_task_change
     1.60%  rate     rate               [.] runtime.heapBitsSetType
     1.06%  rate     rate               [.] runtime.gentraceback
     0.99%  rate     rate               [.] runtime.memmove
     0.93%  rate     [kernel.kallsyms]  [k] entry_SYSCALL_64
     0.89%  rate     [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.79%  rate     rate               [.] encoding/json.unquoteBytes
     0.71%  rate     rate               [.] encoding/json.(*Decoder).readValue
     0.70%  rate     rate               [.] runtime.findfunc
     0.70%  rate     [kernel.kallsyms]  [k] update_load_avg
     0.67%  rate     [kernel.kallsyms]  [k] update_cfs_group
     0.63%  rate     rate               [.] runtime.adjustframe
     0.61%  rate     [kernel.kallsyms]  [k] visit_groups_merge
     0.60%  rate     rate               [.] runtime.selectgo
     0.56%  rate     [vdso]             [.] __vdso_clock_gettime
     0.54%  rate     rate               [.] runtime.findrunnable
     0.54%  rate     rate               [.] runtime.casgstatus
     0.52%  rate     rate               [.] runtime.getStackMap
     0.51%  rate     rate               [.] encoding/json.stateInString
     0.49%  rate     rate               [.] runtime.adjustpointers
     0.48%  rate     rate               [.] runtime.memclrNoHeapPointers
     0.48%  rate     [kernel.kallsyms]  [k] update_curr
     0.47%  rate     rate               [.] fmt.(*pp).doPrintf
     0.46%  rate     [kernel.kallsyms]  [k] available_idle_cpu
     0.45%  rate     rate               [.] encoding/json.(*decodeState).object
     0.45%  rate     rate               [.] runtime.newobject
     0.45%  rate     rate               [.] encoding/json.(*decodeState).rescanLiteral
     0.44%  rate     rate               [.] time.Time.AppendFormat
     0.42%  rate     rate               [.] runtime.lock2
     0.40%  rate     [kernel.kallsyms]  [k] _raw_spin_lock
     0.39%  rate     [kernel.kallsyms]  [k] ipt_do_table
     0.39%  rate     rate               [.] path/filepath.Clean
     0.39%  rate     [kernel.kallsyms]  [k] select_task_rq_fair
     0.37%  rate     [kernel.kallsyms]  [k] enqueue_task_fair
     0.37%  rate     rate               [.] runtime.growslice
     0.37%  rate     [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.36%  rate     rate               [.] time.nextStdChunk
     0.36%  rate     rate               [.] runtime.unlock2
     0.35%  rate     [kernel.kallsyms]  [k] try_to_wake_up
     0.35%  rate     rate               [.] runtime.mapassign
     0.35%  rate     rate               [.] fmt.isSpace
     0.34%  rate     rate               [.] memeqbody
     0.33%  rate     [kernel.kallsyms]  [k] enqueue_entity
     0.33%  rate     [kernel.kallsyms]  [k] __fget_light
     0.33%  rate     [kernel.kallsyms]  [k] timerqueue_add
     0.32%  rate     [kernel.kallsyms]  [k] switch_fpu_return
     0.32%  rate     rate               [.] runtime.checkTimers
     0.32%  rate     rate               [.] time.parse
     0.31%  rate     [kernel.kallsyms]  [k] __update_load_avg_se
     0.31%  rate     [kernel.kallsyms]  [k] nf_hook_slow
     0.31%  rate     rate               [.] fmt.(*pp).printArg
     0.30%  rate     [kernel.kallsyms]  [k] native_write_msr
     0.30%  rate     [kernel.kallsyms]  [k] tcp_recvmsg
     0.29%  rate     rate               [.] runtime.checkTimersNoP
     0.29%  rate     rate               [.] path/filepath.Rel
     0.29%  rate     [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.29%  rate     rate               [.] runtime.mapiternext
     0.29%  rate     [kernel.kallsyms]  [k] reweight_entity
     0.28%  rate     rate               [.] runtime.mapaccess1
     0.28%  rate     [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.27%  rate     rate               [.] runtime.(*itabTableType).find
     0.27%  rate     rate               [.] encoding/json.checkValid
     0.27%  rate     [kernel.kallsyms]  [k] cpuacct_charge
     0.27%  rate     [kernel.kallsyms]  [k] __nf_conntrack_find_get
     0.27%  rate     rate               [.] github.com/rs/zerolog/internal/json.appendStringComplex
     0.27%  rate     rate               [.] runtime.mapaccess1_faststr
     0.26%  rate     rate               [.] io.ReadAtLeast
     0.26%  rate     [kernel.kallsyms]  [k] select_idle_sibling.part.0
     0.26%  rate     [kernel.kallsyms]  [k] read_tsc
     0.25%  rate     [kernel.kallsyms]  [k] __tcp_transmit_skb
     0.25%  rate     rate               [.] runtime.mapaccess2_faststr
     0.25%  rate     rate               [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.24%  rate     [kernel.kallsyms]  [k] perf_swevent_add
