# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1217817808
#
# Overhead  Command  Shared Object      Symbol                                                                                     
# ........  .......  .................  ...........................................................................................
#
     3.48%  user     user               [.] runtime.pcvalue
     3.30%  user     [kernel.kallsyms]  [k] do_syscall_64
     2.57%  user     user               [.] runtime.stealWork
     2.31%  user     user               [.] runtime.gentraceback
     2.10%  user     [kernel.kallsyms]  [k] visit_groups_merge
     1.95%  user     user               [.] runtime.step
     1.87%  user     [kernel.kallsyms]  [k] syscall_return_via_sysret
     1.82%  user     user               [.] runtime.findfunc
     1.72%  user     user               [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders
     1.65%  user     [kernel.kallsyms]  [k] ip_finish_output2
     1.59%  user     [kernel.kallsyms]  [k] update_load_avg
     1.51%  user     [kernel.kallsyms]  [k] page_fault
     1.42%  user     user               [.] github.com/uber/jaeger-client-go.(*Tracer).randomID
     1.40%  user     user               [.] encoding/json.(*decodeState).scanWhile
     1.34%  user     [kernel.kallsyms]  [k] prepare_exit_to_usermode
     1.34%  user     [kernel.kallsyms]  [k] aa_sk_perm
     1.34%  user     [kernel.kallsyms]  [k] __perf_event_task_sched_out
     1.33%  user     [kernel.kallsyms]  [k] policy_nodemask
     1.32%  user     [kernel.kallsyms]  [k] __perf_event_task_sched_in
     1.30%  user     [kernel.kallsyms]  [k] update_curr
     1.24%  user     user               [.] github.com/rs/zerolog.(*LevelWriterAdapter).WriteLevel
     1.19%  user     user               [.] runtime.mallocgc
     1.17%  user     [kernel.kallsyms]  [k] amd_clear_divider
     1.17%  user     user               [.] encoding/json.stateInString
     1.15%  user     user               [.] runtime.exitsyscall
     1.15%  user     [kernel.kallsyms]  [k] perf_event_set_state.part.0
     1.15%  user     user               [.] runtime.stackalloc
     1.14%  user     user               [.] internal/poll.(*FD).Read
     1.11%  user     [kernel.kallsyms]  [k] futex_wait
     1.09%  user     user               [.] google.golang.org/grpc.(*Server).serveStreams.func1
     1.08%  user     [kernel.kallsyms]  [k] __mark_inode_dirty
     1.06%  user     user               [.] encoding/json.(*Decoder).tokenPrepareForDecode
     1.04%  user     [kernel.kallsyms]  [k] get_futex_value_locked
     1.01%  user     user               [.] sync.runtime_procUnpin
     1.01%  user     [kernel.kallsyms]  [k] tcp_ack_update_rtt.isra.0
     0.96%  user     user               [.] runtime.netpoll
     0.94%  user     user               [.] google.golang.org/grpc/transport.(*bdpEstimator).calculate
     0.94%  user     user               [.] runtime.updateTimerPMask
     0.93%  user     user               [.] net.(*netFD).Read
     0.88%  user     [kernel.kallsyms]  [k] enqueue_entity
     0.88%  user     [kernel.kallsyms]  [k] tcp_rcv_established
     0.86%  user     [kernel.kallsyms]  [k] dequeue_task_fair
     0.84%  user     [kernel.kallsyms]  [k] nf_hook_slow
     0.83%  user     [kernel.kallsyms]  [k] perf_event_update_userpage
     0.80%  user     user               [.] runtime.mapdelete
     0.73%  user     user               [.] io.ReadAtLeast
     0.70%  user     [kernel.kallsyms]  [k] entry_SYSCALL_64
     0.69%  user     [kernel.kallsyms]  [k] override_creds
     0.65%  user     user               [.] sync.(*RWMutex).Unlock
     0.64%  user     [kernel.kallsyms]  [k] memcmp
     0.63%  user     user               [.] runtime.adjustframe
     0.62%  user     [kernel.kallsyms]  [k] psi_task_change
     0.62%  user     user               [.] runtime.heapBitsSetType
     0.61%  user     [kernel.kallsyms]  [k] switch_fpu_return
     0.53%  user     [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.51%  user     [kernel.kallsyms]  [k] group_sched_in
