# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 82K of event 'cycles'
# Event count (approx.): 143709593444
#
# Overhead  Command   Shared Object       Symbol                                                                                                          
# ........  ........  ..................  ................................................................................................................
#
     4.71%  frontend  frontend            [.] runtime.mallocgc
     2.64%  frontend  frontend            [.] runtime.step
     2.52%  frontend  frontend            [.] runtime.heapBitsSetType
     2.12%  frontend  frontend            [.] runtime.scanobject
     1.86%  frontend  [kernel.kallsyms]   [k] do_syscall_64
     1.69%  frontend  frontend            [.] runtime.pcvalue
     1.24%  frontend  frontend            [.] runtime.memmove
     1.01%  frontend  frontend            [.] runtime.greyobject
     1.00%  frontend  frontend            [.] runtime.gentraceback
     0.99%  frontend  frontend            [.] runtime.selectgo
     0.96%  frontend  frontend            [.] runtime.findObject
     0.82%  frontend  [kernel.kallsyms]   [k] psi_task_change
     0.78%  frontend  [kernel.kallsyms]   [k] entry_SYSCALL_64
     0.78%  frontend  frontend            [.] runtime.memclrNoHeapPointers
     0.68%  frontend  frontend            [.] runtime.newobject
     0.65%  frontend  frontend            [.] encoding/json.(*Decoder).readValue
     0.59%  frontend  [kernel.kallsyms]   [k] syscall_return_via_sysret
     0.58%  frontend  frontend            [.] runtime.findfunc
     0.55%  frontend  frontend            [.] runtime.casgstatus
     0.53%  frontend  frontend            [.] aeshashbody
     0.50%  frontend  frontend            [.] runtime.unlock2
     0.49%  frontend  frontend            [.] runtime.scanblock
     0.48%  frontend  [kernel.kallsyms]   [k] update_load_avg
     0.48%  frontend  [kernel.kallsyms]   [k] __fget_light
     0.46%  frontend  frontend            [.] path/filepath.Clean
     0.46%  frontend  frontend            [.] runtime.mapiternext
     0.46%  frontend  frontend            [.] runtime.growslice
     0.45%  frontend  frontend            [.] runtime.lock2
     0.44%  frontend  frontend            [.] time.Time.AppendFormat
     0.43%  frontend  frontend            [.] runtime.mapaccess1_faststr
     0.43%  frontend  frontend            [.] runtime.mapaccess1
     0.42%  frontend  frontend            [.] time.nextStdChunk
     0.42%  frontend  frontend            [.] fmt.(*pp).doPrintf
     0.40%  frontend  frontend            [.] time.parse
