# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles'
# Event count (approx.): 1386273947
#
# Overhead  Command  Shared Object      Symbol                                                                                     
# ........  .......  .................  ...........................................................................................
#
     3.45%  user     [kernel.kallsyms]  [k] psi_task_change
     3.19%  user     [kernel.kallsyms]  [k] do_syscall_64
     2.98%  user     user               [.] runtime.step
     2.12%  user     user               [.] crypto/sha256.block.abi0
     1.83%  user     user               [.] runtime.mapaccess1
     1.77%  user     user               [.] runtime.heapBitsSetType
     1.75%  user     [kernel.kallsyms]  [k] update_load_avg
     1.74%  user     [kernel.kallsyms]  [k] syscall_return_via_sysret
     1.72%  user     user               [.] golang.org/x/net/http2/hpack.huffmanDecode
     1.54%  user     user               [.] syscall.Getwd
     1.50%  user     user               [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     1.50%  user     [kernel.kallsyms]  [k] inet6_sendmsg
     1.50%  user     user               [.] runtime.memclrNoHeapPointers
     1.45%  user     user               [.] runtime.adjustframe
     1.41%  user     [kernel.kallsyms]  [k] select_idle_sibling.part.0
     1.40%  user     user               [.] runtime.notetsleep
     1.40%  user     user               [.] reflect.Value.Pointer
     1.39%  user     user               [.] encoding/json.(*Decoder).readValue
     1.38%  user     user               [.] sync.(*Mutex).Unlock
     1.37%  user     [kernel.kallsyms]  [k] __schedule
     1.35%  user     [kernel.kallsyms]  [k] put_prev_entity
     1.34%  user     [kernel.kallsyms]  [k] update_blocked_averages
     1.33%  user     [kernel.kallsyms]  [k] ep_poll
     1.33%  user     [kernel.kallsyms]  [k] resched_curr
     1.32%  user     user               [.] runtime.goready.func1
     1.32%  user     [kernel.kallsyms]  [k] visit_groups_merge
     1.30%  user     [kernel.kallsyms]  [k] select_estimate_accuracy
     1.24%  user     [kernel.kallsyms]  [k] sched_clock
     1.21%  user     user               [.] runtime.adjustpointers
     1.19%  user     user               [.] runtime.checkTimersNoP
     1.19%  user     user               [.] runtime.acquirep
     1.17%  user     user               [.] runtime.memmove
     1.16%  user     [kernel.kallsyms]  [k] native_write_msr
     1.11%  user     user               [.] runtime.selectgo
     1.07%  user     [kernel.kallsyms]  [k] cpuacct_charge
     1.05%  user     user               [.] runtime.stealWork
     1.04%  user     user               [.] runtime.stackalloc
     1.04%  user     [kernel.kallsyms]  [k] kfree
     1.03%  user     user               [.] runtime.ready
     1.00%  user     user               [.] strconv.FormatInt
     1.00%  user     user               [.] runtime.findfunc
     1.00%  user     [kernel.kallsyms]  [k] __kmalloc_node_track_caller
     0.99%  user     [kernel.kallsyms]  [k] check_cfs_rq_runtime
     0.97%  user     [kernel.kallsyms]  [k] nf_ct_seq_offset
     0.96%  user     user               [.] internal/poll.(*fdMutex).rwlock
     0.93%  user     user               [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders.func1
     0.92%  user     user               [.] runtime.netpollblock
     0.88%  user     [kernel.kallsyms]  [k] rmqueue
     0.87%  user     [kernel.kallsyms]  [k] __update_load_avg_se
     0.81%  user     user               [.] runtime.mallocgc
     0.72%  user     user               [.] runtime.funcspdelta
     0.71%  user     user               [.] runtime.selectnbsend
     0.69%  user     [kernel.kallsyms]  [k] nf_hook_slow
     0.68%  user     user               [.] runtime.(*itabTableType).find
     0.61%  user     user               [.] runtime.pcvalue
     0.56%  user     [kernel.kallsyms]  [k] __ip_local_out
     0.53%  user     [kernel.kallsyms]  [k] switch_fpu_return
     0.44%  user     [kernel.kallsyms]  [k] update_cfs_group
     0.44%  user     [kernel.kallsyms]  [k] __netif_receive_skb_core
     0.42%  user     [kernel.kallsyms]  [k] schedule_hrtimeout_range_clock
