# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles'
# Event count (approx.): 29345699138
#
# Overhead  Command         Shared Object      Symbol                                                                                                                
# ........  ..............  .................  ......................................................................................................................
#
     3.01%  recommendation  recommendation     [.] runtime.mallocgc
     2.71%  recommendation  recommendation     [.] runtime.step
     2.58%  recommendation  [kernel.kallsyms]  [k] do_syscall_64
     2.21%  recommendation  recommendation     [.] runtime.stealWork
     2.07%  recommendation  recommendation     [.] runtime.heapBitsSetType
     1.97%  recommendation  [kernel.kallsyms]  [k] psi_task_change
     1.64%  recommendation  recommendation     [.] runtime.mapiternext
     1.54%  recommendation  recommendation     [.] runtime.pcvalue
     1.15%  recommendation  recommendation     [.] math.sin
     1.03%  recommendation  recommendation     [.] runtime.gentraceback
     0.94%  recommendation  [kernel.kallsyms]  [k] entry_SYSCALL_64
     0.93%  recommendation  [kernel.kallsyms]  [k] visit_groups_merge
     0.91%  recommendation  recommendation     [.] runtime.memmove
     0.88%  recommendation  recommendation     [.] math.pow
     0.83%  recommendation  recommendation     [.] runtime.findfunc
     0.81%  recommendation  [kernel.kallsyms]  [k] update_load_avg
     0.80%  recommendation  recommendation     [.] math.cos
     0.79%  recommendation  recommendation     [.] github.com/harlow/go-micro-services/services/recommendation.(*Server).GetRecommendations
     0.77%  recommendation  recommendation     [.] runtime.selectgo
     0.69%  recommendation  recommendation     [.] runtime.adjustframe
     0.67%  recommendation  recommendation     [.] runtime.getStackMap
     0.60%  recommendation  [kernel.kallsyms]  [k] update_cfs_group
     0.57%  recommendation  recommendation     [.] github.com/hailocab/go-geoindex.distance
     0.56%  recommendation  recommendation     [.] runtime.lock2
     0.53%  recommendation  [kernel.kallsyms]  [k] enqueue_entity
     0.50%  recommendation  recommendation     [.] runtime.adjustpointers
     0.49%  recommendation  [kernel.kallsyms]  [k] available_idle_cpu
     0.47%  recommendation  [kernel.kallsyms]  [k] switch_fpu_return
     0.46%  recommendation  [vdso]             [.] __vdso_clock_gettime
     0.46%  recommendation  recommendation     [.] runtime.newobject
     0.45%  recommendation  [kernel.kallsyms]  [k] update_curr
     0.45%  recommendation  [kernel.kallsyms]  [k] reweight_entity
     0.44%  recommendation  recommendation     [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.44%  recommendation  [kernel.kallsyms]  [k] dequeue_task_fair
     0.44%  recommendation  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.42%  recommendation  recommendation     [.] runtime.checkTimers
     0.38%  recommendation  recommendation     [.] runtime.unlock2
     0.37%  recommendation  [kernel.kallsyms]  [k] timerqueue_add
     0.37%  recommendation  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.36%  recommendation  [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.36%  recommendation  recommendation     [.] runtime.findrunnable
     0.35%  recommendation  [kernel.kallsyms]  [k] tcp_sendmsg_locked
     0.35%  recommendation  [kernel.kallsyms]  [k] _raw_spin_lock
     0.35%  recommendation  recommendation     [.] runtime.growslice
     0.34%  recommendation  recommendation     [.] encoding/json.(*Decoder).readValue
     0.34%  recommendation  [kernel.kallsyms]  [k] ipt_do_table
     0.32%  recommendation  recommendation     [.] runtime.casgstatus
     0.32%  recommendation  recommendation     [.] path/filepath.Clean
     0.31%  recommendation  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.31%  recommendation  [kernel.kallsyms]  [k] cpuacct_charge
     0.31%  recommendation  [kernel.kallsyms]  [k] nf_conntrack_tcp_packet
     0.31%  recommendation  [kernel.kallsyms]  [k] perf_event_update_userpage
     0.30%  recommendation  recommendation     [.] math.satan
     0.30%  recommendation  recommendation     [.] google.golang.org/grpc/transport.loopyWriter
     0.30%  recommendation  recommendation     [.] runtime.mapassign
     0.29%  recommendation  [kernel.kallsyms]  [k] try_to_wake_up
     0.29%  recommendation  [kernel.kallsyms]  [k] tcp_recvmsg
     0.29%  recommendation  [kernel.kallsyms]  [k] nf_hook_slow
     0.28%  recommendation  [kernel.kallsyms]  [k] nf_conntrack_in
     0.28%  recommendation  [kernel.kallsyms]  [k] native_write_msr
     0.28%  recommendation  recommendation     [.] runtime.netpoll
     0.27%  recommendation  [kernel.kallsyms]  [k] ctx_sched_in
     0.27%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders
     0.27%  recommendation  [kernel.kallsyms]  [k] __nf_conntrack_find_get
     0.27%  recommendation  recommendation     [.] runtime.retake
     0.27%  recommendation  recommendation     [.] runtime.mapaccess1
     0.26%  recommendation  [kernel.kallsyms]  [k] select_idle_sibling.part.0
     0.26%  recommendation  recommendation     [.] runtime.chansend
     0.26%  recommendation  recommendation     [.] strconv.ParseUint
     0.26%  recommendation  [kernel.kallsyms]  [k] __update_idle_core
     0.26%  recommendation  [kernel.kallsyms]  [k] futex_wait_queue_me
     0.26%  recommendation  recommendation     [.] time.Time.AppendFormat
     0.26%  recommendation  [kernel.kallsyms]  [k] __fget_light
     0.25%  recommendation  recommendation     [.] fmt.(*pp).printArg
     0.25%  recommendation  recommendation     [.] golang.org/x/net/http2.(*Framer).ReadFrame
     0.25%  recommendation  recommendation     [.] time.parse
     0.25%  recommendation  recommendation     [.] indexbytebody
     0.25%  recommendation  [kernel.kallsyms]  [k] br_handle_frame
     0.25%  recommendation  [kernel.kallsyms]  [k] enqueue_task_fair
     0.25%  recommendation  recommendation     [.] math.ldexp
     0.25%  recommendation  [kernel.kallsyms]  [k] find_next_bit
