# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1242858144
#
# Overhead  Command  Shared Object      Symbol                                                                                     
# ........  .......  .................  ...........................................................................................
#
     2.59%  user     [kernel.kallsyms]  [k] veth_xmit
     2.27%  user     user               [.] golang.org/x/net/http2/hpack.huffmanDecode
     2.25%  user     [kernel.kallsyms]  [k] rb_next
     2.13%  user     user               [.] runtime.memmove
     2.12%  user     [kernel.kallsyms]  [k] psi_task_change
     2.11%  user     [kernel.kallsyms]  [k] newidle_balance
     2.02%  user     [kernel.kallsyms]  [k] do_syscall_64
     1.87%  user     user               [.] runtime.mallocgc
     1.65%  user     [kernel.kallsyms]  [k] native_write_msr
     1.63%  user     [kernel.kallsyms]  [k] ipt_do_table
     1.57%  user     [kernel.kallsyms]  [k] kmem_cache_alloc
     1.54%  user     [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     1.54%  user     user               [.] runtime.stealWork
     1.54%  user     [kernel.kallsyms]  [k] clear_buddies
     1.50%  user     user               [.] runtime.unlock2
     1.49%  user     [kernel.kallsyms]  [k] enqueue_task_fair
     1.47%  user     [kernel.kallsyms]  [k] find_next_bit
     1.39%  user     [kernel.kallsyms]  [k] tcp_push
     1.37%  user     [kernel.kallsyms]  [k] visit_groups_merge
     1.32%  user     user               [.] golang.org/x/net/http2.FrameHeader.Header
     1.29%  user     [kernel.kallsyms]  [k] entry_SYSCALL_64
     1.25%  user     user               [.] runtime.mapaccess1
     1.23%  user     user               [.] google.golang.org/grpc/transport.(*quotaPool).compareAndExecute
     1.20%  user     [kernel.kallsyms]  [k] __x64_sys_futex
     1.18%  user     [kernel.kallsyms]  [k] apparmor_file_permission
     1.17%  user     [kernel.kallsyms]  [k] futex_wait_queue_me
     1.16%  user     user               [.] syscall.Syscall.abi0
     1.15%  user     user               [.] runtime.newobject
     1.13%  user     [kernel.kallsyms]  [k] mem_cgroup_throttle_swaprate
     1.11%  user     [kernel.kallsyms]  [k] br_forward
     1.09%  user     [kernel.kallsyms]  [k] tcp_event_data_recv
