# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 64K of event 'cycles'
# Event count (approx.): 141233915845
#
# Overhead  Command  Shared Object      Symbol                                                                                             
# ........  .......  .................  ...................................................................................................
#
     6.49%  geo      geo                [.] runtime.mapaccess2
     3.79%  geo      geo                [.] aeshashbody
     3.60%  geo      geo                [.] github.com/hailocab/go-geoindex.(*PointsIndex).KNearest
     3.04%  geo      geo                [.] runtime.mallocgc
     2.22%  geo      geo                [.] runtime.step
     1.99%  geo      [kernel.kallsyms]  [k] do_syscall_64
     1.72%  geo      geo                [.] runtime.heapBitsSetType
     1.64%  geo      geo                [.] runtime.pcvalue
     1.35%  geo      [kernel.kallsyms]  [k] psi_task_change
     1.30%  geo      geo                [.] runtime.stealWork
     1.23%  geo      geo                [.] runtime.nextFreeFast
     1.12%  geo      geo                [.] runtime.gentraceback
     1.04%  geo      geo                [.] runtime.memmove
     0.98%  geo      geo                [.] encoding/json.(*Decoder).readValue
     0.87%  geo      [kernel.kallsyms]  [k] entry_SYSCALL_64
     0.70%  geo      geo                [.] runtime.findfunc
     0.65%  geo      geo                [.] time.Time.AppendFormat
     0.64%  geo      geo                [.] path/filepath.Clean
     0.62%  geo      [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.60%  geo      geo                [.] encoding/json.unquoteBytes
     0.57%  geo      [kernel.kallsyms]  [k] update_load_avg
     0.55%  geo      geo                [.] time.nextStdChunk
     0.55%  geo      geo                [.] fmt.(*pp).doPrintf
     0.54%  geo      geo                [.] runtime.memhash128
     0.54%  geo      geo                [.] encoding/json.(*decodeState).object
     0.54%  geo      geo                [.] time.parse
     0.53%  geo      geo                [.] runtime.memclrNoHeapPointers
     0.52%  geo      [kernel.kallsyms]  [k] visit_groups_merge
     0.52%  geo      geo                [.] path/filepath.Rel
     0.49%  geo      geo                [.] runtime.newobject
     0.45%  geo      geo                [.] encoding/json.(*decodeState).rescanLiteral
     0.43%  geo      [kernel.kallsyms]  [k] update_cfs_group
     0.42%  geo      geo                [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.42%  geo      geo                [.] runtime.mapiternext
     0.40%  geo      geo                [.] runtime.adjustframe
     0.40%  geo      geo                [.] runtime.getStackMap
     0.39%  geo      geo                [.] runtime.selectgo
     0.39%  geo      geo                [.] runtime.casgstatus
     0.38%  geo      geo                [.] encoding/json.stateInString
     0.37%  geo      [vdso]             [.] __vdso_clock_gettime
     0.37%  geo      geo                [.] runtime.mapassign
     0.36%  geo      [kernel.kallsyms]  [k] update_curr
     0.35%  geo      [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.34%  geo      geo                [.] runtime.adjustpointers
     0.34%  geo      geo                [.] runtime.findrunnable
     0.33%  geo      [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.33%  geo      geo                [.] runtime.growslice
     0.32%  geo      geo                [.] fmt.(*pp).printArg
     0.31%  geo      [kernel.kallsyms]  [k] __fget_light
     0.28%  geo      [kernel.kallsyms]  [k] enqueue_entity
     0.27%  geo      [kernel.kallsyms]  [k] _raw_spin_lock
     0.27%  geo      geo                [.] memeqbody
     0.26%  geo      geo                [.] time.appendInt
     0.26%  geo      geo                [.] reflect.Value.assignTo
     0.26%  geo      geo                [.] syscall.Getwd
     0.26%  geo      [kernel.kallsyms]  [k] select_task_rq_fair
     0.26%  geo      [kernel.kallsyms]  [k] memset_erms
     0.25%  geo      geo                [.] runtime.memhash
     0.25%  geo      [kernel.kallsyms]  [k] available_idle_cpu
     0.25%  geo      [kernel.kallsyms]  [k] try_to_wake_up
     0.25%  geo      [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.24%  geo      [kernel.kallsyms]  [k] ipt_do_table
     0.24%  geo      [kernel.kallsyms]  [k] native_write_msr
     0.24%  geo      [kernel.kallsyms]  [k] select_idle_sibling.part.0
     0.24%  geo      [kernel.kallsyms]  [k] cpuacct_charge
     0.23%  geo      geo                [.] runtime.lock2
     0.23%  geo      geo                [.] github.com/rs/zerolog.ConsoleWriter.Write
     0.23%  geo      [kernel.kallsyms]  [k] enqueue_task_fair
     0.22%  geo      [kernel.kallsyms]  [k] reweight_entity
     0.22%  geo      geo                [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.21%  geo      [kernel.kallsyms]  [k] __nf_conntrack_find_get
     0.21%  geo      geo                [.] encoding/json.stateEndValue
     0.21%  geo      geo                [.] syscall.Getenv
     0.21%  geo      geo                [.] runtime.reentersyscall
     0.21%  geo      [kernel.kallsyms]  [k] kmem_cache_alloc
     0.21%  geo      [kernel.kallsyms]  [k] __schedule
     0.21%  geo      geo                [.] runtime.mapaccess1_faststr
     0.20%  geo      geo                [.] runtime.mapaccess1
     0.20%  geo      geo                [.] runtime.retake
     0.20%  geo      geo                [.] encoding/json.indirect
     0.20%  geo      geo                [.] github.com/rs/zerolog.ConsoleWriter.writePart
     0.20%  geo      [kernel.kallsyms]  [k] veth_xmit
     0.19%  geo      [kernel.kallsyms]  [k] __tcp_transmit_skb
     0.19%  geo      geo                [.] runtime.sysmon
     0.19%  geo      geo                [.] runtime.mapaccess2_faststr
     0.19%  geo      geo                [.] encoding/json.(*decodeState).literalStore
     0.18%  geo      geo                [.] runtime.unlock2
     0.18%  geo      geo                [.] runtime.exitsyscallfast
     0.18%  geo      [kernel.kallsyms]  [k] tcp_recvmsg
     0.18%  geo      [kernel.kallsyms]  [k] switch_fpu_return
     0.18%  geo      geo                [.] runtime.checkTimers
     0.18%  geo      [kernel.kallsyms]  [k] __update_load_avg_se
     0.18%  geo      [kernel.kallsyms]  [k] timerqueue_add
     0.18%  geo      [kernel.kallsyms]  [k] native_sched_clock
     0.18%  geo      geo                [.] fmt.(*fmt).fmtInteger
     0.17%  geo      [kernel.kallsyms]  [k] ep_poll_callback
     0.17%  geo      [kernel.kallsyms]  [k] dequeue_task_fair
     0.16%  geo      geo                [.] runtime.typedmemmove
     0.16%  geo      [kernel.kallsyms]  [k] __perf_event_task_sched_in
     0.16%  geo      geo                [.] runtime.netpoll
     0.16%  geo      geo                [.] runtime.(*mheap).allocSpan
     0.16%  geo      [kernel.kallsyms]  [k] nf_conntrack_tcp_packet
     0.16%  geo      geo                [.] runtime.resolveTypeOff
     0.16%  geo      [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.16%  geo      [kernel.kallsyms]  [k] nf_hook_slow
     0.16%  geo      [kernel.kallsyms]  [k] copy_user_generic_unrolled
     0.15%  geo      [kernel.kallsyms]  [k] perf_event_update_userpage
     0.15%  geo      [kernel.kallsyms]  [k] ip_finish_output2
     0.15%  geo      geo                [.] time.(*Location).lookup
     0.15%  geo      [kernel.kallsyms]  [k] perf_swevent_add
     0.15%  geo      geo                [.] runtime.nanotime1.abi0
     0.15%  geo      geo                [.] runtime.concatstrings
     0.14%  geo      geo                [.] runtime.(*itabTableType).find
     0.14%  geo      geo                [.] sync.(*Pool).pin
     0.14%  geo      geo                [.] time.absDate
     0.14%  geo      [kernel.kallsyms]  [k] prepend_path.isra.0
     0.14%  geo      geo                [.] runtime.slicebytetostring
     0.14%  geo      [kernel.kallsyms]  [k] nf_conntrack_in
     0.14%  geo      geo                [.] indexbytebody
     0.14%  geo      geo                [.] sync.(*Pool).Put
     0.14%  geo      geo                [.] runtime.(*Frames).Next
     0.14%  geo      geo                [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.14%  geo      [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.14%  geo      [kernel.kallsyms]  [k] br_handle_frame
     0.14%  geo      [kernel.kallsyms]  [k] prepend_name
     0.14%  geo      geo                [.] github.com/hailocab/go-geoindex.getPointsAppend
     0.13%  geo      [kernel.kallsyms]  [k] kmem_cache_free
     0.13%  geo      [kernel.kallsyms]  [k] __calc_delta
     0.13%  geo      [kernel.kallsyms]  [k] pick_next_task_fair
     0.13%  geo      geo                [.] reflect.Value.Set
     0.13%  geo      geo                [.] runtime.exitsyscall
     0.13%  geo      geo                [.] runtime.mapassign_faststr
     0.13%  geo      [kernel.kallsyms]  [k] common_file_perm
     0.13%  geo      [kernel.kallsyms]  [k] ctx_sched_in
     0.13%  geo      geo                [.] github.com/rs/zerolog.ConsoleWriter.writeFields
     0.13%  geo      geo                [.] runtime.duffcopy
     0.13%  geo      geo                [.] reflect.Value.SetMapIndex
     0.13%  geo      geo                [.] reflect.(*rtype).Elem
     0.13%  geo      geo                [.] runtime.schedule
     0.13%  geo      geo                [.] runtime.checkTimersNoP
     0.12%  geo      geo                [.] github.com/rs/zerolog.(*Event).write
     0.12%  geo      [kernel.kallsyms]  [k] __wake_up_common
     0.12%  geo      [kernel.kallsyms]  [k] tcp_in_window
     0.12%  geo      geo                [.] runtime.getitab
     0.12%  geo      geo                [.] runtime.usleep.abi0
     0.12%  geo      geo                [.] google.golang.org/grpc/transport.(*http2Server).itemHandler
     0.12%  geo      geo                [.] runtime.pidleget
     0.12%  geo      [kernel.kallsyms]  [k] find_next_bit
     0.12%  geo      geo                [.] golang.org/x/net/http2.(*Framer).ReadFrame
     0.12%  geo      geo                [.] runtime.mDoFixup
     0.12%  geo      geo                [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders
     0.12%  geo      geo                [.] sync.(*Pool).Get
     0.12%  geo      [kernel.kallsyms]  [k] rb_next
     0.12%  geo      geo                [.] runtime.chansend
     0.12%  geo      geo                [.] sync.runtime_procPin
     0.11%  geo      geo                [.] time.atoi
     0.11%  geo      geo                [.] google.golang.org/grpc.(*Server).processUnaryRPC
     0.11%  geo      geo                [.] internal/poll.(*FD).Write
     0.11%  geo      [kernel.kallsyms]  [k] tcp_sendmsg_locked
     0.11%  geo      [kernel.kallsyms]  [k] newidle_balance
     0.11%  geo      [kernel.kallsyms]  [k] __virt_addr_valid
     0.11%  geo      [kernel.kallsyms]  [k] set_task_cpu
     0.11%  geo      [kernel.kallsyms]  [k] br_nf_forward_ip
     0.11%  geo      geo                [.] runtime.stackalloc
