# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 24K of event 'cycles'
# Event count (approx.): 57795484652
#
# Overhead  Command         Shared Object      Symbol                                                                                                                
# ........  ..............  .................  ......................................................................................................................
#
     2.42%  recommendation  recommendation     [.] runtime.step
     2.39%  recommendation  [kernel.kallsyms]  [k] do_syscall_64
     2.21%  recommendation  recommendation     [.] runtime.stealWork
     2.14%  recommendation  recommendation     [.] runtime.mallocgc
     1.97%  recommendation  [kernel.kallsyms]  [k] psi_task_change
     1.82%  recommendation  recommendation     [.] runtime.pcvalue
     1.76%  recommendation  recommendation     [.] runtime.heapBitsSetType
     1.21%  recommendation  recommendation     [.] runtime.mapiternext
     1.15%  recommendation  [kernel.kallsyms]  [k] entry_SYSCALL_64
     1.06%  recommendation  recommendation     [.] runtime.nextFreeFast
     0.97%  recommendation  recommendation     [.] math.pow
     0.95%  recommendation  [kernel.kallsyms]  [k] visit_groups_merge
     0.92%  recommendation  [kernel.kallsyms]  [k] update_load_avg
     0.91%  recommendation  recommendation     [.] runtime.gentraceback
     0.90%  recommendation  recommendation     [.] math.sin
     0.85%  recommendation  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.85%  recommendation  recommendation     [.] runtime.memmove
     0.84%  recommendation  recommendation     [.] github.com/harlow/go-micro-services/services/recommendation.(*Server).GetRecommendations
     0.80%  recommendation  recommendation     [.] runtime.selectgo
     0.79%  recommendation  recommendation     [.] github.com/hailocab/go-geoindex.distance
     0.77%  recommendation  recommendation     [.] math.cos
     0.69%  recommendation  recommendation     [.] runtime.adjustpointers
     0.68%  recommendation  recommendation     [.] runtime.adjustframe
     0.64%  recommendation  [kernel.kallsyms]  [k] update_cfs_group
     0.64%  recommendation  recommendation     [.] runtime.newobject
     0.58%  recommendation  recommendation     [.] runtime.findrunnable
     0.54%  recommendation  recommendation     [.] runtime.getStackMap
     0.54%  recommendation  recommendation     [.] runtime.findfunc
     0.53%  recommendation  [kernel.kallsyms]  [k] ipt_do_table
     0.51%  recommendation  [kernel.kallsyms]  [k] cpuacct_charge
     0.50%  recommendation  [kernel.kallsyms]  [k] update_curr
     0.44%  recommendation  recommendation     [.] runtime.lock2
     0.43%  recommendation  [vdso]             [.] __vdso_clock_gettime
     0.42%  recommendation  recommendation     [.] runtime.casgstatus
     0.39%  recommendation  [kernel.kallsyms]  [k] available_idle_cpu
     0.39%  recommendation  [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.39%  recommendation  recommendation     [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.38%  recommendation  recommendation     [.] runtime.mapaccess1
     0.37%  recommendation  [kernel.kallsyms]  [k] __fget_light
     0.37%  recommendation  recommendation     [.] math.satan
     0.36%  recommendation  [kernel.kallsyms]  [k] nf_hook_slow
     0.36%  recommendation  [kernel.kallsyms]  [k] __nf_conntrack_find_get
     0.36%  recommendation  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.36%  recommendation  [kernel.kallsyms]  [k] __tcp_transmit_skb
     0.35%  recommendation  [kernel.kallsyms]  [k] perf_event_update_userpage
     0.35%  recommendation  recommendation     [.] runtime.memclrNoHeapPointers
     0.34%  recommendation  [kernel.kallsyms]  [k] __update_load_avg_se
     0.34%  recommendation  recommendation     [.] golang.org/x/net/http2.(*Framer).readMetaFrame.func1
     0.33%  recommendation  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.33%  recommendation  [kernel.kallsyms]  [k] enqueue_task_fair
     0.33%  recommendation  recommendation     [.] runtime.growslice
     0.33%  recommendation  [kernel.kallsyms]  [k] timerqueue_add
     0.32%  recommendation  [kernel.kallsyms]  [k] tcp_write_xmit
     0.32%  recommendation  [kernel.kallsyms]  [k] _raw_spin_lock
     0.30%  recommendation  [kernel.kallsyms]  [k] switch_fpu_return
     0.30%  recommendation  [kernel.kallsyms]  [k] native_sched_clock
     0.29%  recommendation  recommendation     [.] path/filepath.Clean
     0.29%  recommendation  recommendation     [.] runtime.futex.abi0
     0.29%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*http2Server).itemHandler
     0.29%  recommendation  [kernel.kallsyms]  [k] reweight_entity
     0.29%  recommendation  [kernel.kallsyms]  [k] select_idle_sibling.part.0
     0.28%  recommendation  recommendation     [.] google.golang.org/grpc/transport.(*decodeState).processHeaderField
     0.28%  recommendation  [kernel.kallsyms]  [k] __schedule
     0.28%  recommendation  [kernel.kallsyms]  [k] tcp_recvmsg
     0.27%  recommendation  recommendation     [.] runtime.netpoll
     0.27%  recommendation  [kernel.kallsyms]  [k] perf_swevent_add
     0.27%  recommendation  recommendation     [.] runtime.unlock2
     0.27%  recommendation  [kernel.kallsyms]  [k] native_write_msr
     0.26%  recommendation  recommendation     [.] runtime.checkTimers
     0.26%  recommendation  [kernel.kallsyms]  [k] enqueue_entity
     0.26%  recommendation  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.25%  recommendation  [kernel.kallsyms]  [k] ctx_sched_in
     0.25%  recommendation  [kernel.kallsyms]  [k] tcp_in_window
     0.25%  recommendation  [kernel.kallsyms]  [k] dequeue_task_fair
     0.25%  recommendation  [kernel.kallsyms]  [k] select_task_rq_fair
     0.25%  recommendation  [kernel.kallsyms]  [k] __perf_event_task_sched_in
     0.25%  recommendation  recommendation     [.] runtime.retake
     0.25%  recommendation  recommendation     [.] encoding/json.(*Decoder).readValue
     0.24%  recommendation  recommendation     [.] runtime.mapassign_faststr
     0.24%  recommendation  recommendation     [.] runtime.checkTimersNoP
     0.24%  recommendation  [kernel.kallsyms]  [k] veth_xmit
     0.24%  recommendation  recommendation     [.] time.nextStdChunk
     0.24%  recommendation  recommendation     [.] fmt.(*pp).doPrintf
     0.23%  recommendation  recommendation     [.] runtime.(*itabTableType).find
     0.23%  recommendation  recommendation     [.] aeshashbody
     0.23%  recommendation  recommendation     [.] encoding/json.unquoteBytes
     0.23%  recommendation  [kernel.kallsyms]  [k] __update_idle_core
     0.23%  recommendation  [kernel.kallsyms]  [k] __netif_receive_skb_core
     0.23%  recommendation  recommendation     [.] time.Time.AppendFormat
     0.23%  recommendation  [kernel.kallsyms]  [k] nf_conntrack_tcp_packet
     0.23%  recommendation  [kernel.kallsyms]  [k] find_next_bit
     0.22%  recommendation  recommendation     [.] math.frexp
     0.22%  recommendation  recommendation     [.] runtime.sysmon
     0.22%  recommendation  [kernel.kallsyms]  [k] tcp_sendmsg_locked
     0.22%  recommendation  [kernel.kallsyms]  [k] newidle_balance
     0.22%  recommendation  recommendation     [.] runtime.reentersyscall
     0.22%  recommendation  [kernel.kallsyms]  [k] try_to_wake_up
     0.22%  recommendation  recommendation     [.] golang.org/x/net/http2.(*Framer).ReadFrame
     0.20%  recommendation  [kernel.kallsyms]  [k] read_tsc
     0.20%  recommendation  recommendation     [.] math.ldexp
     0.20%  recommendation  recommendation     [.] runtime.runqgrab
     0.20%  recommendation  [kernel.kallsyms]  [k] br_nf_forward_ip
     0.20%  recommendation  recommendation     [.] runtime.pidleget
     0.20%  recommendation  recommendation     [.] time.parse
     0.20%  recommendation  recommendation     [.] runtime.mDoFixup
     0.20%  recommendation  recommendation     [.] runtime.notesleep
     0.20%  recommendation  recommendation     [.] github.com/rs/zerolog.ConsoleWriter.Write
     0.19%  recommendation  [kernel.kallsyms]  [k] common_file_perm
     0.19%  recommendation  recommendation     [.] path/filepath.Rel
     0.19%  recommendation  [kernel.kallsyms]  [k] record_times
     0.19%  recommendation  [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
