# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 111K of event 'cycles'
# Event count (approx.): 32297831238
#
# Overhead  Command          Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  .....................  ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     7.98%  HomeTimelineSer  libc-2.23.so           [.] __nss_passwd_lookup
     5.99%  HomeTimelineSer  libc-2.23.so           [.] _IO_str_seekoff
     2.22%  HomeTimelineSer  [kernel.kallsyms]      [k] ipt_do_table
     1.84%  HomeTimelineSer  libc-2.23.so           [.] malloc
     1.52%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::transport::TVirtualTransport<apache::thrift::transport::TFramedTransport, apache::thrift::transport::TBufferBase>::write_virt
     1.49%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::readFieldBegin_virt
     1.36%  HomeTimelineSer  [kernel.kallsyms]      [k] do_syscall_64
     1.13%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::transport::TVirtualTransport<apache::thrift::transport::TFramedTransport, apache::thrift::transport::TBufferBase>::readAll_virt
     1.10%  HomeTimelineSer  libstdc++.so.6.0.21    [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace
     0.89%  HomeTimelineSer  HomeTimelineService    [.] social_network::Post::read
     0.85%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::writeFieldBegin_virt
     0.74%  HomeTimelineSer  libc-2.23.so           [.] free
     0.70%  HomeTimelineSer  [kernel.kallsyms]      [k] nf_hook_slow
     0.70%  HomeTimelineSer  [kernel.kallsyms]      [k] psi_task_change
     0.68%  HomeTimelineSer  [kernel.kallsyms]      [k] copy_user_enhanced_fast_string
     0.58%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_finish_output2
     0.58%  HomeTimelineSer  [kernel.kallsyms]      [k] __dev_queue_xmit
     0.57%  HomeTimelineSer  [kernel.kallsyms]      [k] entry_SYSCALL_64
     0.55%  HomeTimelineSer  [kernel.kallsyms]      [k] __fget_light
