# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 103477710
#
# Overhead  Command          Shared Object       Symbol                                                                                                        
# ........  ...............  ..................  ..............................................................................................................
#
    14.23%  ftdc             mongod              [.] longest_match
    12.68%  ftdc             mongod              [.] mongo::FTDCCompressor::getCompressedSamples
     9.15%  ftdc             libc-2.27.so        [.] __nss_group_lookup
     4.08%  ftdc             mongod              [.] deflate_slow
     3.18%  ftdc             [kernel.kallsyms]   [k] do_syscall_64
     2.64%  ftdc             mongod              [.] mongo::FTDCCompressor::addSample
     2.57%  ftdc             [kernel.kallsyms]   [k] number
     2.39%  ftdc             mongod              [.] __wt_buf_fmt
     2.18%  ftdc             mongod              [.] mongo::FTDCBSONUtil::(anonymous namespace)::extractMetricsFromDocument
     2.16%  ftdc             mongod              [.] compress_block
     2.07%  ftdc             [kernel.kallsyms]   [k] memcpy_erms
     2.07%  ftdc             [kernel.kallsyms]   [k] ovl_permission
     2.07%  ftdc             [kernel.kallsyms]   [k] prepare_exit_to_usermode
     2.06%  ftdc             [kernel.kallsyms]   [k] inode_permission
     1.63%  ftdc             mongod              [.] mongo::WiredTigerUtil::exportTableToBSON
     1.62%  ftdc             [kernel.kallsyms]   [k] __radix_tree_lookup
     1.60%  ftdc             [kernel.kallsyms]   [k] kmem_cache_alloc
     1.60%  ftdc             libc-2.27.so        [.] cuserid
     1.58%  ftdc             [kernel.kallsyms]   [k] num_to_str
     1.58%  ftdc             mongod              [.] scan_tree
     1.57%  ftdc             [kernel.kallsyms]   [k] sum_vm_events
     1.54%  ftdc             mongod              [.] slide_hash
     1.54%  ftdc             mongod              [.] __curstat_get_value
     1.53%  ftdc             mongod              [.] std::vector<unsigned long, std::allocator<unsigned long> >::emplace_back<long long>
     1.49%  ftdc             [kernel.kallsyms]   [k] lockref_get
     1.45%  ftdc             [kernel.kallsyms]   [k] __lookup_mnt
     1.43%  ftdc             [kernel.kallsyms]   [k] native_sched_clock
     1.42%  ftdc             [kernel.kallsyms]   [k] get_futex_key
     1.11%  ftdc             [kernel.kallsyms]   [k] klist_dec_and_del
