# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 109K of event 'cycles'
# Event count (approx.): 33137979689
#
# Overhead  Command          Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  .....................  ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     7.77%  HomeTimelineSer  libc-2.23.so           [.] __nss_passwd_lookup
     5.97%  HomeTimelineSer  libc-2.23.so           [.] _IO_str_seekoff
     2.17%  HomeTimelineSer  [kernel.kallsyms]      [k] ipt_do_table
     1.98%  HomeTimelineSer  libc-2.23.so           [.] malloc
     1.49%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::transport::TVirtualTransport<apache::thrift::transport::TFramedTransport, apache::thrift::transport::TBufferBase>::write_virt
     1.40%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::readFieldBegin_virt
     1.32%  HomeTimelineSer  [kernel.kallsyms]      [k] do_syscall_64
     1.18%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::transport::TVirtualTransport<apache::thrift::transport::TFramedTransport, apache::thrift::transport::TBufferBase>::readAll_virt
     1.14%  HomeTimelineSer  libstdc++.so.6.0.21    [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace
     0.89%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::writeFieldBegin_virt
     0.86%  HomeTimelineSer  HomeTimelineService    [.] social_network::Post::read
     0.76%  HomeTimelineSer  [kernel.kallsyms]      [k] psi_task_change
     0.69%  HomeTimelineSer  [kernel.kallsyms]      [k] nf_hook_slow
     0.68%  HomeTimelineSer  [kernel.kallsyms]      [k] copy_user_enhanced_fast_string
     0.59%  HomeTimelineSer  libc-2.23.so           [.] free
     0.57%  HomeTimelineSer  [kernel.kallsyms]      [k] __dev_queue_xmit
     0.56%  HomeTimelineSer  [kernel.kallsyms]      [k] entry_SYSCALL_64
     0.56%  HomeTimelineSer  [kernel.kallsyms]      [k] __fget_light
     0.53%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_recvmsg
     0.53%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_finish_output2
     0.52%  HomeTimelineSer  [kernel.kallsyms]      [k] _raw_spin_lock
     0.50%  HomeTimelineSer  [kernel.kallsyms]      [k] __nf_conntrack_find_get
     0.49%  HomeTimelineSer  [kernel.kallsyms]      [k] veth_xmit
     0.48%  HomeTimelineSer  libc-2.23.so           [.] vfprintf
     0.48%  HomeTimelineSer  [kernel.kallsyms]      [k] __tcp_transmit_skb
     0.47%  HomeTimelineSer  [kernel.kallsyms]      [k] syscall_return_via_sysret
     0.46%  HomeTimelineSer  [kernel.kallsyms]      [k] br_handle_frame
     0.46%  HomeTimelineSer  [kernel.kallsyms]      [k] fib_table_lookup
     0.46%  HomeTimelineSer  [kernel.kallsyms]      [k] mlx5e_sq_xmit
     0.44%  HomeTimelineSer  [kernel.kallsyms]      [k] __this_module+0x8000000422be
     0.43%  HomeTimelineSer  libc-2.23.so           [.] __strtol_l
     0.42%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>::readStringBody<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >
     0.41%  HomeTimelineSer  [kernel.kallsyms]      [k] vxlan_xmit_one
     0.41%  HomeTimelineSer  libstdc++.so.6.0.21    [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate
     0.40%  HomeTimelineSer  [kernel.kallsyms]      [k] __netif_receive_skb_core
     0.40%  HomeTimelineSer  libpthread-2.23.so     [.] __pthread_mutex_lock
