# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1456439977
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                                                                                                                                                            
# ........  ...............  ..................  ..................................................................................................................................................................................................................................................................................................................................................................
#
     2.42%  conn44           libc-2.27.so        [.] __nss_group_lookup
     2.29%  conn56           mongod              [.] __wt_struct_unpackv
     2.28%  conn56           mongod              [.] __wt_btcur_next
     2.25%  conn44           mongod              [.] __wt_btcur_next
     1.89%  conn56           libc-2.27.so        [.] __nss_group_lookup
     1.78%  ftdc             mongod              [.] longest_match
     1.76%  conn56           mongod              [.] mongo::WorkingSetMember::resetDocument
     1.75%  conn44           mongod              [.] mongo::WorkingSetMember::resetDocument
     1.60%  conn56           mongod              [.] __wt_cursor_get_keyv
     1.56%  conn56           mongod              [.] __wt_cursor_get_valuev
     1.54%  conn44           mongod              [.] mongo::BSONElement::compareElements
     1.51%  conn44           mongod              [.] __wt_struct_unpackv
     1.48%  conn56           mongod              [.] __curfile_next
     1.36%  conn56           mongod              [.] mongo::PathMatchExpression::matches
     1.35%  conn44           mongod              [.] mongo::BSONElementIterator::more
     1.34%  conn56           mongod              [.] mongo::DocumentStorage::reset
     1.29%  conn56           mongod              [.] mongo::BSONElementIterator::more
     1.26%  conn56           mongod              [.] mongo::WiredTigerRecordStoreCursorBase::next
     1.23%  conn56           mongod              [.] mongo::BSONObj::getField
     1.23%  conn56           mongod              [.] __wt_txn_read
     1.19%  conn44           mongod              [.] __wt_cursor_get_valuev
     1.17%  conn44           mongod              [.] __curfile_next
     1.17%  conn56           mongod              [.] mongo::CollectionScan::doWork
     1.15%  conn44           mongod              [.] __wt_cursor_get_keyv
     1.15%  conn44           mongod              [.] __txn_logrec_init
     1.15%  conn56           mongod              [.] mongo::WorkingSet::allocate
     1.03%  conn56           mongod              [.] mongo::WorkingSetMatchableDocument::allocateIterator
     0.88%  conn44           mongod              [.] mongo::DocumentStorage::reset
     0.88%  conn56           mongod              [.] __wt_value_return_buf
     0.88%  ftdc             libc-2.27.so        [.] __nss_group_lookup
     0.87%  conn44           mongod              [.] mongo::BSONObjIterator::next
     0.86%  conn56           mongod              [.] mongo::BSONElement::numberDouble
     0.85%  conn56           mongod              [.] mongo::ComparisonMatchExpression::matchesSingleElement
     0.82%  conn44           mongod              [.] mongo::WiredTigerRecordStoreCursorBase::next
     0.80%  conn44           mongod              [.] mongo::BSONObj::getField
     0.78%  conn44           mongod              [.] __wt_txn_read
     0.73%  conn56           mongod              [.] operator delete
     0.72%  conn56           mongod              [.] __wt_cursor_get_key
     0.71%  conn56           mongod              [.] mongo::WiredTigerRecordStoreStandardCursor::hasWrongPrefix
     0.71%  conn56           mongod              [.] mongo::PlanStage::work
     0.69%  conn56           mongod              [.] mongo::AndMatchExpression::matches
     0.69%  conn44           mongod              [.] mongo::BSONElementIterator::subCursorHasMore
     0.68%  ftdc             mongod              [.] mongo::FTDCCompressor::getCompressedSamples
     0.67%  conn44           mongod              [.] mongo::(anonymous namespace)::compareElementStringValues
     0.65%  conn44           mongod              [.] mongo::BSONElementIterator::BSONElementIterator
     0.65%  conn44           mongod              [.] mongo::CollectionScan::doWork
     0.64%  conn56           mongod              [.] mongo::canonicalizeBSONType
     0.64%  conn44           mongod              [.] mongo::AndMatchExpression::matches
     0.58%  conn44           [kernel.kallsyms]   [k] psi_task_change
     0.56%  conn44           mongod              [.] mongo::ComparisonMatchExpression::matchesSingleElement
     0.54%  conn56           mongod              [.] mongo::StringData::compare
     0.53%  conn56           mongod              [.] mongo::ScopedTimer::~ScopedTimer
     0.53%  conn44           mongod              [.] mongo::WorkingSetMember::clear
     0.53%  conn56           mongod              [.] mongo::BSONElementIterator::~BSONElementIterator
     0.53%  conn56           mongod              [.] mongo::BSONElement::computeSize
     0.53%  conn44           mongod              [.] mongo::WiredTigerRecordStoreStandardCursor::hasWrongPrefix
     0.53%  conn56           mongod              [.] mongo::getFieldDottedOrArray
     0.52%  conn44           mongod              [.] operator delete
     0.52%  conn44           mongod              [.] mongo::PlanYieldPolicy::shouldYieldOrInterrupt
     0.52%  conn44           mongod              [.] __wt_cursor_get_key
     0.52%  conn44           mongod              [.] mongo::CollectionScan::returnIfMatches
     0.50%  JournalFlusher   [kernel.kallsyms]   [k] _cond_resched
     0.45%  conn44           mongod              [.] mongo::StringData::compare
     0.39%  conn56           mongod              [.] mongo::FailPoint::shouldFail<decltype(nullptr)>
     0.38%  conn44           mongod              [.] mongo::WorkingSet::free
     0.35%  conn44           mongod              [.] mongo::PathMatchExpression::matches
     0.35%  conn56           mongod              [.] mongo::BSONElementIterator::BSONElementIterator
     0.35%  conn56           mongod              [.] mongo::BSONElementIterator::next
     0.35%  conn56           mongod              [.] mongo::WorkingSet::transitionToRecordIdAndObj
     0.35%  conn44           mongod              [.] mongo::getFieldDottedOrArray
     0.35%  conn56           mongod              [.] mongo::BSONElement::compareElements
     0.35%  conn44           mongod              [.] mongo::WorkingSetMatchableDocument::allocateIterator
     0.35%  conn44           mongod              [.] mongo::PlanStage::work
     0.35%  conn56           mongod              [.] mongo::PlanYieldPolicy::shouldYieldOrInterrupt
     0.35%  conn56           mongod              [.] mongo::BSONElementIterator::~BSONElementIterator
     0.35%  conn44           mongod              [.] mongo::BackgroundThreadClockSource::now
     0.35%  conn56           mongod              [.] mongo::BackgroundThreadClockSource::now
     0.34%  conn44           mongod              [.] mongo::PlanExecutorImpl::_getNextImpl
     0.34%  conn44           mongod              [.] __wt_value_return_buf
     0.34%  conn56           mongod              [.] mongo::DocumentMetadataFields::operator=
     0.33%  conn56           [kernel.kallsyms]   [k] __tcp_transmit_skb
     0.33%  conn56           [kernel.kallsyms]   [k] aa_sk_perm
     0.33%  conn56           mongod              [.] __wt_cursor_set_value
     0.33%  conn56           mongod              [.] mongo::LatchAnalyzer::onAcquire
