# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 3186284182
#
# Overhead  Command      Shared Object          Symbol                                            
# ........  ...........  .....................  ..................................................
#
     3.17%  mc-worker    [kernel.kallsyms]      [k] ipt_do_table
     2.44%  mc-worker    libc.so.6              [.] __pthread_mutex_lock
     2.08%  mc-worker    [kernel.kallsyms]      [k] copy_user_generic_unrolled
     1.85%  mc-worker    memcached              [.] resp_allocate.isra.0
     1.65%  mc-worker    [kernel.kallsyms]      [k] psi_task_change
     1.58%  mc-worker    [kernel.kallsyms]      [k] do_syscall_64
     1.50%  mc-worker    libc.so.6              [.] __nss_database_lookup
     1.28%  mc-worker    memcached              [.] drive_machine
     1.19%  mc-worker    [kernel.kallsyms]      [k] visit_groups_merge
     1.17%  mc-worker    [kernel.kallsyms]      [k] veth_xmit
     1.15%  mc-worker    [kernel.kallsyms]      [k] _raw_spin_lock
     1.00%  mc-worker    memcached              [.] assoc_find
     0.90%  mc-worker    [kernel.kallsyms]      [k] fdb_find_rcu
     0.89%  mc-worker    [kernel.kallsyms]      [k] enqueue_entity
     0.88%  mc-worker    [kernel.kallsyms]      [k] update_load_avg
     0.87%  mc-worker    [kernel.kallsyms]      [k] br_handle_frame
     0.86%  mc-worker    [kernel.kallsyms]      [k] tcp_recvmsg
     0.81%  mc-worker    [kernel.kallsyms]      [k] update_cfs_group
     0.80%  mc-worker    libevent-2.1.so.7.0.1  [.] evmap_io_active_
     0.78%  mc-worker    [kernel.kallsyms]      [k] reweight_entity
     0.78%  mc-worker    [kernel.kallsyms]      [k] entry_SYSCALL_64
     0.76%  mc-worker    memcached              [.] MurmurHash3_x86_32
     0.75%  mc-worker    [kernel.kallsyms]      [k] copy_user_enhanced_fast_string
     0.73%  mc-worker    [kernel.kallsyms]      [k] nf_hook_slow
     0.73%  mc-worker    [kernel.kallsyms]      [k] enqueue_task_fair
     0.72%  mc-worker    [kernel.kallsyms]      [k] __tcp_transmit_skb
     0.66%  mc-worker    [kernel.kallsyms]      [k] ip_finish_output2
     0.65%  mc-worker    memcached              [.] process_get_command.constprop.0
     0.65%  mc-worker    libc.so.6              [.] __pthread_mutex_trylock
     0.64%  mc-worker    memcached              [.] _transmit_pre.isra.0
     0.63%  mc-worker    [kernel.kallsyms]      [k] tcp_sendmsg_locked
     0.61%  mc-worker    [kernel.kallsyms]      [k] ip_vs_in.part.0
     0.61%  mc-worker    [kernel.kallsyms]      [k] update_cfs_rq_h_load
     0.61%  mc-worker    [kernel.kallsyms]      [k] tcp_event_new_data_sent
     0.59%  mc-worker    [kernel.kallsyms]      [k] tcp_current_mss
     0.58%  mc-worker    [kernel.kallsyms]      [k] tcp_poll
     0.57%  mc-worker    [kernel.kallsyms]      [k] kmem_cache_free
     0.55%  mc-worker    [kernel.kallsyms]      [k] ip_local_out
     0.55%  mc-worker    [kernel.kallsyms]      [k] __nf_conntrack_find_get
     0.55%  mc-worker    [kernel.kallsyms]      [k] __update_load_avg_se
     0.53%  mc-worker    [kernel.kallsyms]      [k] br_nf_forward_ip
     0.53%  mc-worker    [kernel.kallsyms]      [k] sock_poll
     0.53%  mc-worker    memcached              [.] _transmit_post
     0.52%  mc-worker    [kernel.kallsyms]      [k] cpuacct_charge
     0.51%  mc-worker    [kernel.kallsyms]      [k] tcp_ack_update_rtt.isra.0
     0.51%  mc-worker    [kernel.kallsyms]      [k] get_l4proto
     0.49%  mc-worker    libevent-2.1.so.7.0.1  [.] evutil_gettime_monotonic_
     0.49%  mc-worker    [kernel.kallsyms]      [k] tcp_v4_rcv
     0.46%  mc-worker    [kernel.kallsyms]      [k] __update_idle_core
     0.46%  mc-worker    memcached              [.] try_read_command_ascii
     0.46%  mc-worker    [kernel.kallsyms]      [k] __wake_up_common
     0.45%  mc-worker    [kernel.kallsyms]      [k] tcp_clean_rtx_queue
     0.45%  mc-worker    [kernel.kallsyms]      [k] tcp_write_xmit
     0.45%  mc-worker    [kernel.kallsyms]      [k] __dev_queue_xmit
     0.45%  mc-worker    libevent-2.1.so.7.0.1  [.] event_strlcpy_
     0.44%  mc-worker    [kernel.kallsyms]      [k] __inet_lookup_established
     0.44%  mc-worker    [kernel.kallsyms]      [k] update_curr
     0.44%  mc-worker    libc.so.6              [.] epoll_wait
     0.43%  mc-worker    [kernel.kallsyms]      [k] skb_release_data
     0.43%  mc-worker    [kernel.kallsyms]      [k] ip_vs_out.part.0
     0.42%  mc-worker    libevent-2.1.so.7.0.1  [.] event_active_nolock_
     0.42%  mc-worker    [kernel.kallsyms]      [k] nf_xfrm_me_harder
     0.42%  mc-worker    [kernel.kallsyms]      [k] ep_scan_ready_list.constprop.0
     0.42%  mc-worker    [kernel.kallsyms]      [k] nf_conntrack_tcp_packet
     0.42%  mc-worker    [kernel.kallsyms]      [k] tcp_queue_rcv
     0.40%  mc-worker    [kernel.kallsyms]      [k] nf_nat_inet_fn
     0.40%  mc-worker    [kernel.kallsyms]      [k] __xfrm_decode_session
     0.39%  mc-worker    [kernel.kallsyms]      [k] syscall_return_via_sysret
     0.39%  mc-worker    [kernel.kallsyms]      [k] __ip_queue_xmit
     0.39%  mc-worker    libc.so.6              [.] __clock_gettime
     0.38%  mc-worker    [kernel.kallsyms]      [k] __netif_receive_skb_core
     0.38%  mc-worker    [kernel.kallsyms]      [k] br_nf_pre_routing
     0.37%  mc-worker    [kernel.kallsyms]      [k] apic_timer_interrupt
     0.36%  mc-worker    [kernel.kallsyms]      [k] ipv4_dst_check
     0.36%  mc-worker    [kernel.kallsyms]      [k] ip_output
     0.36%  mc-worker    [kernel.kallsyms]      [k] __fget_light
     0.36%  mc-worker    [kernel.kallsyms]      [k] tcp_release_cb
     0.36%  mc-worker    [kernel.kallsyms]      [k] __virt_addr_valid
     0.35%  mc-worker    [kernel.kallsyms]      [k] irq_entries_start
     0.35%  mc-worker    [kernel.kallsyms]      [k] dst_release
     0.35%  mc-worker    libevent-2.1.so.7.0.1  [.] event_base_loop
     0.35%  mc-worker    [kernel.kallsyms]      [k] x86_pmu_disable
     0.35%  mc-worker    [kernel.kallsyms]      [k] sock_rfree
     0.34%  mc-worker    [kernel.kallsyms]      [k] copyin
     0.33%  mc-worker    [kernel.kallsyms]      [k] process_backlog
     0.33%  mc-worker    [kernel.kallsyms]      [k] place_entity
     0.33%  mc-worker    [kernel.kallsyms]      [k] tcp_rearm_rto
     0.32%  mc-worker    [kernel.kallsyms]      [k] __lock_text_start
     0.32%  mc-worker    libevent-2.1.so.7.0.1  [.] event_reinit
     0.32%  mc-worker    [kernel.kallsyms]      [k] switch_fpu_return
     0.32%  mc-worker    [kernel.kallsyms]      [k] __kmalloc
     0.32%  mc-worker    [kernel.kallsyms]      [k] pick_next_entity
     0.32%  mc-worker    [kernel.kallsyms]      [k] dequeue_task_fair
     0.32%  mc-worker    libc.so.6              [.] __libc_alloca_cutoff
     0.32%  mc-worker    [kernel.kallsyms]      [k] nf_conntrack_in
     0.31%  mc-worker    [kernel.kallsyms]      [k] ep_poll
     0.31%  mc-worker    [kernel.kallsyms]      [k] ep_poll_callback
     0.31%  mc-worker    memcached              [.] event_handler
     0.30%  mc-worker    memcached              [.] tcp_read
     0.30%  mc-worker    [kernel.kallsyms]      [k] schedule_hrtimeout_range_clock
     0.30%  mc-worker    [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.30%  mc-worker    [kernel.kallsyms]      [k] ep_send_events_proc
     0.29%  mc-worker    [kernel.kallsyms]      [k] perf_swevent_add
     0.29%  mc-worker    memcached              [.] tokenize_command.constprop.0
     0.29%  mc-worker    [kernel.kallsyms]      [k] ip_rcv_core.isra.0
     0.29%  mc-worker    [kernel.kallsyms]      [k] ip_vs_local_reply4
     0.29%  mc-worker    [kernel.kallsyms]      [k] blkcg_maybe_throttle_current
     0.28%  mc-worker    [kernel.kallsyms]      [k] read_tsc
     0.28%  mc-worker    [kernel.kallsyms]      [k] update_rq_clock
     0.28%  mc-worker    [kernel.kallsyms]      [k] sk_filter_trim_cap
     0.28%  mc-worker    libc.so.6              [.] __read
     0.28%  mc-worker    [kernel.kallsyms]      [k] nf_ct_seq_offset
     0.28%  mc-worker    [kernel.kallsyms]      [k] kmem_cache_alloc
     0.28%  mc-worker    [kernel.kallsyms]      [k] ____sys_sendmsg
     0.28%  mc-worker    libevent-2.1.so.7.0.1  [.] bufferevent_base_set
     0.28%  mc-worker    [kernel.kallsyms]      [k] ctx_sched_out
     0.28%  mc-worker    [kernel.kallsyms]      [k] update_sd_lb_stats
     0.28%  mc-worker    [kernel.kallsyms]      [k] memcmp
     0.27%  mc-worker    [kernel.kallsyms]      [k] available_idle_cpu
     0.27%  mc-worker    [kernel.kallsyms]      [k] try_to_wake_up
     0.27%  mc-worker    [kernel.kallsyms]      [k] __update_load_avg_cfs_rq
     0.27%  mc-worker    [kernel.kallsyms]      [k] fput_many
     0.27%  mc-worker    [kernel.kallsyms]      [k] enqueue_to_backlog
     0.26%  mc-worker    [kernel.kallsyms]      [k] _copy_from_iter_full
     0.26%  mc-worker    [kernel.kallsyms]      [k] ipv4_confirm
     0.25%  mc-worker    [kernel.kallsyms]      [k] exit_to_usermode_loop
     0.25%  mc-worker    [kernel.kallsyms]      [k] native_write_msr
     0.25%  mc-worker    memcached              [.] conn_release_items
     0.24%  mc-worker    [kernel.kallsyms]      [k] select_idle_sibling.part.0
     0.24%  mc-worker    [kernel.kallsyms]      [k] select_task_rq_fair
     0.23%  mc-worker    memcached              [.] resp_start
     0.23%  mc-worker    [kernel.kallsyms]      [k] tcp_ack
     0.23%  mc-worker    [kernel.kallsyms]      [k] sock_def_readable
     0.23%  mc-worker    [kernel.kallsyms]      [k] __cgroup_bpf_run_filter_skb
     0.23%  mc-worker    [kernel.kallsyms]      [k] skb_ext_add
     0.23%  mc-worker    [kernel.kallsyms]      [k] copy_msghdr_from_user
     0.22%  mc-worker    libc.so.6              [.] pthread_mutex_unlock
     0.22%  mc-worker    [kernel.kallsyms]      [k] common_file_perm
     0.22%  mc-worker    [kernel.kallsyms]      [k] __kmalloc_node_track_caller
     0.22%  mc-worker    [kernel.kallsyms]      [k] rb_insert_color
     0.22%  mc-worker    [kernel.kallsyms]      [k] tcp_update_skb_after_send
     0.22%  mc-worker    [kernel.kallsyms]      [k] __check_object_size
     0.21%  mc-worker    libc.so.6              [.] sendmsg
     0.21%  mc-worker    [kernel.kallsyms]      [k] _raw_spin_lock_bh
     0.21%  mc-worker    [kernel.kallsyms]      [k] mutex_lock
     0.21%  mc-worker    [kernel.kallsyms]      [k] validate_xmit_xfrm
     0.21%  mc-worker    [kernel.kallsyms]      [k] iptable_mangle_hook
     0.21%  mc-worker    [kernel.kallsyms]      [k] xfrm_lookup_with_ifid
     0.20%  mc-worker    [kernel.kallsyms]      [k] tcp_update_pacing_rate
     0.20%  mc-worker    [kernel.kallsyms]      [k] tcp_rbtree_insert
     0.20%  mc-worker    [kernel.kallsyms]      [k] tcp_in_window
     0.20%  mc-worker    [kernel.kallsyms]      [k] net_rx_action
     0.20%  mc-worker    [kernel.kallsyms]      [k] __x86_indirect_thunk_rax
     0.20%  mc-worker    [kernel.kallsyms]      [k] ip_rcv
     0.20%  mc-worker    [kernel.kallsyms]      [k] apparmor_socket_recvmsg
     0.19%  mc-worker    [kernel.kallsyms]      [k] kmem_cache_alloc_node
     0.19%  mc-worker    [kernel.kallsyms]      [k] validate_xmit_skb
     0.19%  mc-worker    [kernel.kallsyms]      [k] ip_local_deliver_finish
     0.19%  mc-worker    memcached              [.] process_command_ascii.part.0
     0.19%  mc-worker    [kernel.kallsyms]      [k] __skb_datagram_iter
     0.19%  mc-worker    [kernel.kallsyms]      [k] nf_ct_get_tuple
     0.18%  mc-worker    memcached              [.] do_item_get
     0.18%  mc-worker    [kernel.kallsyms]      [k] tcp_rate_skb_sent
     0.18%  mc-worker    [kernel.kallsyms]      [k] update_nohz_stats
     0.18%  mc-worker    memcached              [.] conn_set_state
     0.18%  mc-worker    [kernel.kallsyms]      [k] conntrack_mt_v3
     0.18%  mc-worker    [kernel.kallsyms]      [k] ttwu_do_activate
     0.18%  mc-worker    [kernel.kallsyms]      [k] nf_ct_invert_tuple
     0.18%  mc-worker    [kernel.kallsyms]      [k] rb_erase
     0.17%  mc-worker    [kernel.kallsyms]      [k] rw_copy_check_uvector
     0.17%  mc-worker    [kernel.kallsyms]      [k] perf_event_update_userpage
     0.17%  mc-worker    [kernel.kallsyms]      [k] __account_cfs_rq_runtime
     0.17%  mc-worker    [kernel.kallsyms]      [k] nf_nat_ipv4_manip_pkt
     0.17%  mc-worker    [kernel.kallsyms]      [k] import_iovec
     0.17%  mc-worker    [kernel.kallsyms]      [k] netif_skb_features
     0.17%  mc-worker    [kernel.kallsyms]      [k] ktime_get_with_offset
     0.17%  mc-worker    [kernel.kallsyms]      [k] dev_hard_start_xmit
     0.17%  mc-worker    [kernel.kallsyms]      [k] comment_mt
     0.17%  mc-worker    [kernel.kallsyms]      [k] ipv4_mtu
     0.16%  mc-worker    [kernel.kallsyms]      [k] __sys_sendmsg
     0.16%  mc-worker    [kernel.kallsyms]      [k] tcp_rcv_established
