# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles'
# Event count (approx.): 532040136
#
# Overhead  Command  Shared Object      Symbol                                                                             
# ........  .......  .................  ...................................................................................
#
     5.98%  user     user               [.] runtime.mallocgc
     3.79%  user     [kernel.kallsyms]  [k] update_cfs_group
     3.66%  user     [kernel.kallsyms]  [k] smp_call_function_many
     3.49%  user     [kernel.kallsyms]  [k] do_syscall_64
     2.99%  user     [kernel.kallsyms]  [k] dequeue_task_fair
     2.42%  user     [kernel.kallsyms]  [k] enqueue_task_fair
     2.33%  user     user               [.] runtime.adjustframe
     2.03%  user     user               [.] runtime.reentersyscall
     1.70%  user     [kernel.kallsyms]  [k] update_load_avg
     1.67%  user     user               [.] runtime.mapaccess1
     1.62%  user     user               [.] runtime.retake
     1.60%  user     [kernel.kallsyms]  [k] ipt_do_table
     1.55%  user     [kernel.kallsyms]  [k] conntrack_mt
     1.53%  user     [kernel.kallsyms]  [k] tcp_rcv_space_adjust
     1.52%  user     [kernel.kallsyms]  [k] llist_add_batch
     1.42%  user     user               [.] runtime.sellock
     1.41%  user     [kernel.kallsyms]  [k] __perf_event_task_sched_in
     1.29%  user     [kernel.kallsyms]  [k] perf_event_update_userpage
     1.26%  user     [kernel.kallsyms]  [k] psi_task_change
     1.18%  user     [kernel.kallsyms]  [k] tcp_rcv_established
     1.14%  user     user               [.] syscall.fstatat
     1.09%  user     [kernel.kallsyms]  [k] tcp_cleanup_rbuf
     1.09%  user     user               [.] google.golang.org/grpc/transport.(*http2Server).HandleStreams
     1.07%  user     [kernel.kallsyms]  [k] dev_hard_start_xmit
     1.04%  user     user               [.] encoding/json.(*decodeState).unmarshal
     1.01%  user     user               [.] bufio.(*Reader).Read
     0.96%  user     user               [.] runtime.pidleget
     0.94%  user     [kernel.kallsyms]  [k] fdb_find_rcu
     0.92%  user     user               [.] runtime.findrunnable
     0.90%  user     user               [.] runtime.ifaceeq
     0.88%  user     user               [.] runtime.futexsleep
     0.86%  user     [kernel.kallsyms]  [k] ep_send_events_proc
     0.86%  user     [kernel.kallsyms]  [k] _raw_write_lock_irq
     0.84%  user     user               [.] fmt.(*fmt).pad
     0.82%  user     user               [.] github.com/harlow/go-micro-services/services/user/proto._User_CheckUser_Handler
     0.79%  user     [kernel.kallsyms]  [k] tcp_recvmsg
     0.77%  user     user               [.] runtime.mapaccess1_faststr
     0.75%  user     [kernel.kallsyms]  [k] __ip_queue_xmit
