# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 86552280
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                                                                                                                                                                                              
# ........  ...............  ..................  ....................................................................................................................................................................................................................................................................................................................................................................................................
#
    15.75%  ftdc             libc-2.27.so        [.] __nss_group_lookup
    13.68%  ftdc             mongod              [.] longest_match
     7.02%  ftdc             mongod              [.] mongo::FTDCCompressor::getCompressedSamples
     6.08%  DeadlineMonitor  [kernel.kallsyms]   [k] visit_groups_merge
     3.40%  ftdc             mongod              [.] compress_block
     2.77%  ftdc             mongod              [.] mongo::procparser::parseProcStat
     2.75%  ftdc             mongod              [.] mongo::MetricTree::appendTo
     2.74%  ftdc             [kernel.kallsyms]   [k] snmp_get_cpu_field
     2.71%  ftdc             [kernel.kallsyms]   [k] inode_io_list_move_locked
     2.25%  ftdc             mongod              [.] __wt_buf_grow_worker
     2.09%  ftdc             mongod              [.] mongo::FTDCBSONUtil::(anonymous namespace)::extractMetricsFromDocument
     1.97%  ftdc             [kernel.kallsyms]   [k] diskstats_show
     1.70%  ftdc             mongod              [.] deflate_slow
     1.69%  ftdc             mongod              [.] __wt_txn_get_pinned_timestamp
     1.67%  ftdc             mongod              [.] __wt_stat_connection_aggregate
     1.67%  ftdc             [kernel.kallsyms]   [k] disk_part_iter_next
     1.61%  ftdc             libc-2.27.so        [.] sched_getaffinity
     1.56%  ftdc             [kernel.kallsyms]   [k] kmem_cache_alloc_trace
     1.53%  ftdc             [kernel.kallsyms]   [k] getrusage
     1.53%  ftdc             mongod              [.] mongo::WiredTigerRecoveryUnit::doAbandonSnapshot
     1.51%  ftdc             [kernel.kallsyms]   [k] proc_get_inode
     1.49%  ftdc             mongod              [.] mongo::procparser::parseProcVMStat
     1.44%  ftdc             mongod              [.] std::vector<unsigned long, std::allocator<unsigned long> >::emplace_back<long long>
     1.31%  ftdc             [kernel.kallsyms]   [k] __radix_tree_lookup
     1.31%  ftdc             mongod              [.] __wt_buf_fmt
     1.21%  ftdc             mongod              [.] mongo::ServerStatusMetricField<mongo::Counter64>::appendAtLeaf
     1.12%  ftdc             mongod              [.] __curstat_get_value
     1.12%  ftdc             mongod              [.] mongo::UniqueOperationIdRegistry::acquireSlot
     1.08%  ftdc             mongod              [.] mongo::procparser::parseProcDiskStats
     1.06%  ftdc             [kernel.kallsyms]   [k] __d_lookup
     1.03%  ftdc             mongod              [.] mongo::procparser::parseProcNetstat
     1.00%  ftdc             mongod              [.] __gnu_cxx::__ops::_Iter_equals_val<mongo::StringData const>::operator()<__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >
     0.93%  ftdc             mongod              [.] std::basic_ios<char, std::char_traits<char> >::_M_cache_locale
     0.91%  ftdc             [kernel.kallsyms]   [k] futex_wait
     0.84%  ftdc             [kernel.kallsyms]   [k] vsnprintf
     0.79%  ftdc             [kernel.kallsyms]   [k] account_entity_dequeue
