# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 2791314818
#
# Overhead  Command          Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  .....................  ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     7.33%  HomeTimelineSer  libc-2.23.so           [.] __nss_passwd_lookup
     6.01%  HomeTimelineSer  libc-2.23.so           [.] _IO_str_seekoff
     1.88%  HomeTimelineSer  libstdc++.so.6.0.21    [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace
     1.43%  HomeTimelineSer  [kernel.kallsyms]      [k] ipt_do_table
     1.29%  HomeTimelineSer  libc-2.23.so           [.] malloc
     1.29%  HomeTimelineSer  [kernel.kallsyms]      [k] do_syscall_64
     1.22%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::writeFieldBegin_virt
     1.21%  HomeTimelineSer  [kernel.kallsyms]      [k] copy_user_enhanced_fast_string
     1.18%  HomeTimelineSer  [kernel.kallsyms]      [k] fib_table_lookup
     1.17%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::transport::TVirtualTransport<apache::thrift::transport::TFramedTransport, apache::thrift::transport::TBufferBase>::write_virt
     1.15%  HomeTimelineSer  [kernel.kallsyms]      [k] psi_task_change
     1.08%  HomeTimelineSer  [kernel.kallsyms]      [k] tcp_in_window
     1.01%  HomeTimelineSer  [kernel.kallsyms]      [k] __netif_receive_skb_core
     0.93%  HomeTimelineSer  [kernel.kallsyms]      [k] kfree
     0.84%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::protocol::TVirtualProtocol<apache::thrift::protocol::TBinaryProtocolT<apache::thrift::transport::TTransport, apache::thrift::protocol::TNetworkBigEndian>, apache::thrift::protocol::TProtocolDefaults>::readFieldBegin_virt
     0.81%  HomeTimelineSer  [kernel.kallsyms]      [k] process_backlog
     0.81%  HomeTimelineSer  [kernel.kallsyms]      [k] br_handle_frame
     0.76%  HomeTimelineSer  HomeTimelineService    [.] apache::thrift::transport::TVirtualTransport<apache::thrift::transport::TFramedTransport, apache::thrift::transport::TBufferBase>::readAll_virt
     0.76%  HomeTimelineSer  [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.76%  HomeTimelineSer  libc-2.23.so           [.] free
     0.76%  HomeTimelineSer  [kernel.kallsyms]      [k] br_nf_forward_ip
     0.74%  HomeTimelineSer  [kernel.kallsyms]      [k] ns_to_timespec64
     0.74%  HomeTimelineSer  [kernel.kallsyms]      [k] nf_conntrack_tcp_packet
     0.72%  HomeTimelineSer  [kernel.kallsyms]      [k] veth_xmit
     0.71%  HomeTimelineSer  [kernel.kallsyms]      [k] __nf_conntrack_find_get
     0.68%  HomeTimelineSer  [kernel.kallsyms]      [k] aa_sk_perm
     0.67%  HomeTimelineSer  libc-2.23.so           [.] vfprintf
     0.67%  HomeTimelineSer  [kernel.kallsyms]      [k] memcg_kmem_put_cache
     0.64%  HomeTimelineSer  [kernel.kallsyms]      [k] nf_ct_get_tuple
     0.61%  HomeTimelineSer  HomeTimelineService    [.] social_network::Post::read
     0.60%  HomeTimelineSer  [kernel.kallsyms]      [k] __tcp_select_window
     0.59%  HomeTimelineSer  [kernel.kallsyms]      [k] __x86_indirect_thunk_rax
     0.58%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_route_input_noref
     0.57%  HomeTimelineSer  [kernel.kallsyms]      [k] _raw_spin_lock
     0.56%  HomeTimelineSer  [kernel.kallsyms]      [k] nf_hook_slow
     0.56%  HomeTimelineSer  [kernel.kallsyms]      [k] ip_finish_output2
     0.55%  HomeTimelineSer  HomeTimelineService    [.] redisReaderGetReply
     0.54%  HomeTimelineSer  HomeTimelineService    [.] std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::~_Hashtable
