top - 09:14:36 up 5 days,  8:10,  3 users,  load average: 1.43, 0.91, 1.27
Tasks: 418 total,   6 running, 412 sleeping,   0 stopped,   0 zombie
%Cpu(s): 32.6 us,  4.2 sy,  0.0 ni, 61.7 id,  0.0 wa,  0.0 hi,  1.5 si,  0.0 st
MiB Mem :  64180.5 total,  27892.8 free,  24397.9 used,  11889.8 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  39066.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  82683 root      20   0   10.1g  22416  10192 S 164.7   0.0   4:06.29 PostStorageServ
  83101 root      20   0   10.1g  72700   8012 S  41.2   0.1   6:54.82 HomeTimelineSer
  68504 root      20   0 3900444 146456  60480 S  35.3   0.2  11:04.51 dockerd
  81549 11211     20   0  477136  70224   3388 S  29.4   0.1   0:17.47 memcached
  83240 nobody    20   0  141004  14716   7988 S  29.4   0.0   2:44.30 openresty
  83241 nobody    20   0  140828  14720   7980 S  29.4   0.0   2:45.80 openresty
  83242 nobody    20   0  141192  14968   7940 S  29.4   0.0   2:39.74 openresty
  83244 nobody    20   0  140900  14696   7980 S  29.4   0.0   2:22.01 openresty
  83261 nobody    20   0  141324  15144   7932 S  29.4   0.0   2:27.07 openresty
  83243 nobody    20   0  141280  15172   7988 S  23.5   0.0   2:43.92 openresty
  83246 nobody    20   0  141488  15280   7904 S  23.5   0.0   2:35.18 openresty
  83247 nobody    20   0  141160  14900   7856 S  23.5   0.0   2:32.64 openresty
  83248 nobody    20   0  140692  14496   7988 R  23.5   0.0   2:41.14 openresty
  83257 nobody    20   0  141388  15364   7988 R  23.5   0.0   2:50.24 openresty
  83263 nobody    20   0  141260  15144   7980 R  23.5   0.0   2:43.45 openresty
  80879 systemd+  20   0 2782856   1.2g  43220 S  17.6   1.8   7:50.06 mongod
  82988 root      20   0 3298952  13492   3192 S  17.6   0.0  27:12.66 docker-proxy
  83239 nobody    20   0  141976  15776   7988 S  17.6   0.0   2:52.38 openresty
  83250 nobody    20   0  141716  15544   7988 S  17.6   0.0   2:34.99 openresty
  83259 nobody    20   0  141228  14976   7984 S  17.6   0.0   2:30.29 openresty
  83268 nobody    20   0  141324  15220   7984 R  17.6   0.0   2:40.46 openresty
  81046 systemd+  20   0 3487000   2.8g   8208 S  11.8   4.5   4:33.06 redis-server
  83245 nobody    20   0  141204  14888   7940 R  11.8   0.0   2:48.22 openresty
  83262 nobody    20   0  140848  14564   7940 S  11.8   0.0   2:45.38 openresty
3589315 chenqh23  20   0 7807380  39916   3840 S  11.8   0.1   0:00.62 wrk
3590696 chenqh23  20   0   12392   4200   3376 R  11.8   0.0   0:00.02 top
  82011 10001     20   0   14.9g  13.7g  26332 S   5.9  21.8  93:27.34 all-in-one-linu
  83251 nobody    20   0  142552  16436   7988 S   5.9   0.0   2:58.95 openresty
      1 root      20   0  168492  12708   8508 S   0.0   0.0   0:33.78 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.06 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-kblockd
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
      9 root      20   0       0      0      0 S   0.0   0.0   0:02.45 ksoftirqd/0
     10 root      20   0       0      0      0 I   0.0   0.0   1:57.78 rcu_sched
     11 root      rt   0       0      0      0 S   0.0   0.0   0:01.22 migration/0
     12 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/0
     14 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/1
     17 root      rt   0       0      0      0 S   0.0   0.0   0:01.75 migration/1
     18 root      20   0       0      0      0 S   0.0   0.0   0:02.31 ksoftirqd/1
     20 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0H-kblockd
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/2
     23 root      rt   0       0      0      0 S   0.0   0.0   0:01.75 migration/2
     24 root      20   0       0      0      0 S   0.0   0.0   0:02.14 ksoftirqd/2
     26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0H-kblockd
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     28 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/3
     29 root      rt   0       0      0      0 S   0.0   0.0   0:01.80 migration/3
     30 root      20   0       0      0      0 S   0.0   0.0   0:02.21 ksoftirqd/3
     32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0H-kblockd
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     34 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/4
     35 root      rt   0       0      0      0 S   0.0   0.0   0:01.74 migration/4
     36 root      20   0       0      0      0 S   0.0   0.0   0:02.12 ksoftirqd/4
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/4:0H-kblockd
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     40 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/5
     41 root      rt   0       0      0      0 S   0.0   0.0   0:01.74 migration/5
     42 root      20   0       0      0      0 S   0.0   0.0   0:02.50 ksoftirqd/5
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/5:0H-kblockd
     45 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
     46 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/6
     47 root      rt   0       0      0      0 S   0.0   0.0   0:01.76 migration/6
     48 root      20   0       0      0      0 S   0.0   0.0   0:02.19 ksoftirqd/6
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/6:0H-kblockd
     51 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/7
     52 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/7
     53 root      rt   0       0      0      0 S   0.0   0.0   0:01.75 migration/7
